"zone","state","lga","sector","ea","hhid","s10q1","s10q2","s10q3","s10q4","s10q5","s10q6","s10q7","s10q8"
6,29,2923,1,396,290126,2,,2,,,1,,100000
6,29,2923,1,396,290127,2,,2,,,1,,50000
6,29,2920,1,1210,290159,1,126000,2,,,2,,
6,29,2920,1,1210,290160,2,,2,,,1,,28000
6,29,2914,1,214,290165,2,,1,,,2,,
6,30,3009,1,764,300001,1,117000,1,1,12000,2,,
6,30,3009,1,764,300007,2,,1,1,10000,2,,
6,30,3007,1,1624,300017,2,,1,1,24000,2,,
6,30,3018,2,914,300027,1,,2,,,2,,
6,30,3012,2,334,300032,1,1500,1,3,250000,2,,
6,30,3012,2,334,300033,1,150000,2,,,2,,
6,30,3012,2,334,300037,2,,1,2,,2,,
6,30,3014,2,120,300046,2,,1,1,56000,2,,
6,30,3024,1,1924,300060,2,,1,3,220000,2,,
6,30,3024,1,1406,300066,1,,1,1,1000,2,,
6,30,3025,1,2052,300073,1,,1,1,12000,2,,
6,30,3025,1,2052,300080,2,,1,2,14400,2,,
6,30,3005,1,2870,300087,2,,1,2,45000,2,,
6,30,3005,1,2870,300089,2,,1,1,24000,2,,
6,30,3005,1,2942,300093,1,50000,1,3,60000,2,,
6,30,3010,1,1762,300101,2,,2,,,1,,120000
6,30,3009,1,1642,300113,2,,1,1,500,2,,
6,30,3020,1,322,300122,2,,1,2,1500000,2,,
6,30,3020,1,322,300130,2,,1,1,50000,2,,
6,30,3002,1,1310,300140,2,,1,3,56000,2,,
6,30,3002,1,1264,300146,2,,1,2,25200,2,,
6,30,3030,1,946,300152,2,,1,3,15,2,,
6,30,3030,1,946,300153,2,,1,3,20000,2,,
6,30,3030,1,946,300154,2,,1,3,20000,2,,
6,30,3016,1,390,300165,2,,1,2,12000,2,,
6,30,3032,1,1088,300202,1,20000,2,,,2,,
6,30,3032,1,1088,300205,2,,1,2,30000,2,,
6,30,3032,1,1088,300207,1,3000,1,1,30000,2,,
6,30,3032,1,1088,300210,1,50000,1,1,50000,2,,
1,31,3105,1,2914,310001,2,,1,1,28800,2,,
1,31,3105,1,2914,310002,1,120000,2,,,2,,
1,31,3105,1,2914,310005,1,500,2,,,2,,
1,31,3105,1,2914,310006,2,,1,2,19000,2,,
1,31,3101,2,604,310014,1,50000,2,,,2,,
1,31,3101,2,604,310017,2,,1,2,16000,2,,
1,31,3101,2,604,310020,2,,1,3,,2,,
1,31,3115,2,680,310023,1,4000,2,,,2,,
1,31,3111,2,2966,310035,1,100000,2,,,2,,
1,31,3107,2,1092,310045,1,,2,,,2,,
