"zone","state","lga","sector","ea","hhid","indiv","s3q1","s3q2","s3q3","s3q4","s3q5","s3q6","s3q7","s3q8","s3q9","s3q10","s3q11","s3q12a","s3q12b","s3q13","s3q14","s3q15","s3q16","s3q17","s3q18","s3q19","s3q20","s3q21a","s3q21b","s3q22","s3q23a","s3q23b","s3q24","s3q25","s3q26","s3q27","s3q28","s3q29","s3q30","s3q31","s3q32","s3q33a","s3q33b","s3q34","s3q35a","s3q35b","s3q36","s3q37a","s3q37b","s3q38a","s3q38b"
4,1,111,1,1146,10032,1,1,1,,2,2,1,1,,,,,,,8272,3,10,12,52,9,1,,30000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,111,1,1146,10032,2,1,2,1,2,2,1,1,,,,,,,8272,3,5,12,52,9,1,,400,2,2,,,2,,,,,,,,,,,,,,2,,45,,50
4,1,111,1,1146,10032,3,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
4,1,111,1,1146,10033,1,1,1,,1,2,2,1,,,,,,,4132,13,5,12,52,48,1,,20000,5,1,24000,8,2,,,,,,,,,,,,,,1,0,15,0,0
4,1,111,1,1146,10033,2,1,2,1,1,2,2,1,,,,,,,2230,12,5,12,52,48,1,,0,5,1,,8,2,,,,,,,,,,,,,,2,0,15,0,0
4,1,111,1,1146,10033,3,1,2,1,2,2,2,2,2,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
4,1,111,1,1146,10034,1,1,2,8,2,2,2,2,2,10,,,7,2010,3416,8,10,12,52,54,2,2,,,,,,2,,,,,,,,,,,,,,2,0,0,0,0
4,1,111,1,1146,10034,2,1,2,8,2,2,2,2,2,10,,,7,2010,3416,8,10,12,52,54,2,2,,,,,,2,,,,,,,,,,,,,,2,0,0,0,0
4,1,111,1,1146,10034,3,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,0,5
4,1,111,1,1146,10034,4,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
4,1,111,1,1146,10034,5,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,0,5
4,1,111,1,1146,10034,6,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
4,1,111,1,1146,10034,7,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
4,1,111,1,1146,10034,8,1,1,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,0,5
4,1,111,1,1146,10034,9,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
4,1,111,1,1146,10034,10,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,0,5
4,1,111,1,1146,10034,11,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5
4,1,111,1,1146,10034,12,1,2,8,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5
4,1,111,1,1146,10035,1,1,1,,1,2,2,1,,,,,,,9333,7,5,12,52,40,1,,30000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,111,1,1146,10035,2,1,2,1,2,2,2,2,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,111,1,1146,10035,3,1,2,1,2,2,2,2,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,111,1,1146,10035,4,1,2,1,2,2,2,2,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,0,30
