"zone","state","lga","sector","ea","hhid","item_cd","s5q1"
4,1,104,2,1364,10017,322,1
4,1,104,2,1364,10017,323,1
4,1,104,2,1364,10017,326,1
4,1,104,2,1364,10017,327,1
4,1,104,2,1364,10017,329,1
4,1,104,2,1364,10018,301,1
4,1,104,2,1364,10018,303,1
4,1,104,2,1364,10018,304,3
4,1,104,2,1364,10018,305,4
4,1,104,2,1364,10018,306,1
4,1,104,2,1364,10018,311,1
4,1,104,2,1364,10018,318,1
4,1,104,2,1364,10018,321,1
4,1,104,2,1364,10018,322,1
4,1,104,2,1364,10018,323,1
4,1,104,2,1364,10018,326,1
4,1,104,2,1364,10018,327,1
4,1,104,2,1364,10018,329,1
4,1,104,2,1364,10019,305,1
4,1,104,2,1364,10019,306,1
4,1,104,2,1364,10020,303,1
4,1,104,2,1364,10020,304,1
4,1,104,2,1364,10020,305,1
4,1,104,2,1364,10020,311,1
4,1,106,2,880,10021,303,1
4,1,106,2,880,10021,304,3
4,1,106,2,880,10021,305,3
4,1,106,2,880,10021,306,1
4,1,106,2,880,10021,307,1
4,1,106,2,880,10021,317,1
4,1,106,2,880,10021,326,1
4,1,106,2,880,10022,304,2
4,1,106,2,880,10022,305,1
4,1,106,2,880,10022,318,1
4,1,106,2,880,10022,321,1
4,1,106,2,880,10022,322,1
4,1,106,2,880,10022,326,1
4,1,106,2,880,10023,302,5
4,1,106,2,880,10023,303,1
4,1,106,2,880,10023,304,3
4,1,106,2,880,10023,305,3
4,1,106,2,880,10023,306,1
4,1,106,2,880,10023,307,1
4,1,106,2,880,10023,311,1
4,1,106,2,880,10023,317,1
4,1,106,2,880,10023,321,1
4,1,106,2,880,10023,326,1
4,1,106,2,880,10023,327,1
4,1,106,2,880,10024,302,1
4,1,106,2,880,10024,304,2
4,1,106,2,880,10024,305,2
4,1,106,2,880,10024,306,1
4,1,106,2,880,10024,322,1
4,1,106,2,880,10025,302,1
4,1,106,2,880,10025,304,1
4,1,106,2,880,10025,311,1
4,1,106,2,880,10025,317,1
4,1,106,2,880,10026,302,1
4,1,106,2,880,10026,304,2
4,1,106,2,880,10026,305,2
4,1,106,2,880,10026,306,1
4,1,106,2,880,10026,317,1
4,1,106,2,880,10027,303,1
4,1,106,2,880,10027,304,2
4,1,106,2,880,10027,306,1
4,1,106,2,880,10027,311,1
4,1,106,2,880,10027,317,1
4,1,106,2,880,10027,318,1
4,1,106,2,880,10027,322,1
4,1,106,2,880,10028,302,1
