"zone","state","lga","sector","ea","hhid","item_cd","s8q1","s8q2"
4,4,416,1,616,40025,104,1,2800
4,4,416,1,616,40026,102,1,30
4,4,416,1,616,40026,103,1,100
4,4,416,1,616,40026,104,1,2500
4,4,416,1,616,40027,101,1,40
4,4,416,1,616,40027,102,1,5
4,4,416,1,616,40027,104,1,1200
4,4,416,1,616,40028,102,1,10
4,4,416,1,616,40028,104,1,500
4,4,416,1,616,40029,102,1,10
4,4,416,1,616,40029,104,1,500
4,4,416,1,616,40030,102,1,15
4,4,416,1,616,40030,104,1,600
4,4,414,1,2176,40031,102,1,10
4,4,414,1,2176,40031,104,1,1600
4,4,414,1,2176,40032,102,1,40
4,4,414,1,2176,40032,104,1,1000
4,4,414,1,2176,40033,102,1,20
4,4,414,1,2176,40033,104,1,300
4,4,414,1,2176,40034,102,1,50
4,4,414,1,2176,40034,104,1,1500
4,4,414,1,2176,40035,102,1,10
4,4,414,1,2176,40035,104,1,400
4,4,414,1,2176,40036,102,1,5
4,4,414,1,2176,40036,104,1,700
4,4,414,1,2176,40037,102,1,10
4,4,414,1,2176,40037,104,1,400
4,4,414,1,2176,40038,102,1,10
4,4,414,1,2176,40038,103,1,200
4,4,414,1,2176,40039,102,1,10
4,4,414,1,2176,40039,103,1,100
4,4,414,1,2176,40039,104,1,420
4,4,414,1,2176,40040,102,1,15
4,4,414,1,2176,40040,104,1,500
4,4,415,1,2108,40041,102,1,20
4,4,415,1,2108,40041,104,1,200
4,4,415,1,2108,40042,102,1,10
4,4,415,1,2108,40042,104,1,600
4,4,415,1,2108,40043,102,1,20
4,4,415,1,2108,40043,103,1,450
4,4,415,1,2108,40043,104,1,600
4,4,415,1,2108,40044,102,1,5
4,4,415,1,2108,40044,104,1,400
4,4,415,1,2108,40045,102,1,20
4,4,415,1,2108,40045,104,1,200
4,4,415,1,2108,40046,102,1,40
4,4,415,1,2108,40046,104,1,150
4,4,415,1,2108,40047,102,1,10
4,4,415,1,2108,40047,104,1,120
4,4,415,1,2108,40048,101,1,200
4,4,415,1,2108,40048,102,1,20
4,4,415,1,2108,40048,104,1,200
4,4,415,1,2108,40049,102,1,10
4,4,415,1,2108,40049,104,1,160
4,4,415,1,2108,40050,104,1,470
4,4,413,2,1540,40051,104,1,100
4,4,413,2,1540,40052,102,1,5
4,4,413,2,1540,40053,102,1,10
4,4,413,2,1540,40053,104,1,1250
4,4,413,2,1540,40054,102,1,20
4,4,413,2,1540,40054,104,1,400
4,4,413,2,1540,40055,101,1,200
4,4,413,2,1540,40055,102,1,20
4,4,413,2,1540,40056,102,1,20
4,4,413,2,1540,40058,104,1,700
4,4,413,2,1540,40059,101,1,300
4,4,413,2,1540,40059,104,1,300
4,4,413,2,1540,40060,102,1,10
4,4,413,2,1540,40060,104,1,600
4,4,405,2,722,40061,102,1,5
4,4,405,2,722,40061,104,1,200
4,4,405,2,722,40062,102,1,5
4,4,405,2,722,40062,104,1,500
4,4,405,2,722,40063,101,1,100
4,4,405,2,722,40063,102,1,10
4,4,405,2,722,40063,104,1,150
4,4,405,2,722,40064,102,1,10
4,4,405,2,722,40065,102,1,10
4,4,405,2,722,40065,104,1,80
4,4,405,2,722,40066,102,1,10
4,4,405,2,722,40066,104,1,100
4,4,405,2,722,40067,102,1,10
4,4,405,2,722,40067,104,1,250
4,4,405,2,722,40068,102,1,10
4,4,405,2,722,40069,102,1,10
4,4,405,2,722,40069,104,1,300
4,4,405,2,722,40070,102,1,5
4,4,405,2,722,40070,104,1,300
4,4,405,2,484,40071,101,1,100
4,4,405,2,484,40071,102,1,10
4,4,405,2,484,40071,104,1,200
4,4,405,2,484,40072,102,1,10
4,4,405,2,484,40072,104,1,600
4,4,405,2,484,40073,102,1,10
4,4,405,2,484,40073,104,1,300
4,4,405,2,484,40074,101,1,180
4,4,405,2,484,40074,102,1,10
4,4,405,2,484,40075,102,1,5
4,4,405,2,484,40076,104,1,400
4,4,405,2,484,40077,102,1,10
4,4,405,2,484,40077,104,1,340
4,4,405,2,484,40078,104,1,600
4,4,405,2,484,40079,102,1,5
4,4,405,2,484,40079,104,1,300
4,4,419,2,296,40081,102,1,10
4,4,419,2,296,40081,104,1,300
4,4,419,2,296,40082,102,1,20
4,4,419,2,296,40083,104,1,300
4,4,419,2,296,40084,102,1,10
4,4,419,2,296,40084,104,1,300
4,4,419,2,296,40085,102,1,40
4,4,419,2,296,40085,104,1,400
4,4,419,2,296,40086,104,1,200
4,4,419,2,296,40087,104,1,400
4,4,419,2,296,40088,101,1,100
4,4,419,2,296,40088,102,1,10
4,4,419,2,296,40088,104,1,400
4,4,419,2,296,40089,102,1,10
4,4,419,2,296,40089,104,1,200
4,4,419,2,296,40090,101,1,150
4,4,419,2,296,40090,102,1,20
4,4,419,2,296,40090,104,1,300
4,4,401,1,1460,40091,102,1,40
4,4,401,1,1460,40091,104,1,1600
4,4,401,1,1460,40092,102,1,10
4,4,401,1,1460,40093,102,1,20
4,4,401,1,1460,40094,102,1,20
4,4,401,1,1460,40095,104,1,300
4,4,401,1,1460,40096,102,1,10
4,4,401,1,1460,40096,104,1,1200
4,4,401,1,1460,40097,102,1,10
4,4,401,1,1460,40097,104,1,1500
4,4,401,1,1460,40098,102,1,5
