"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c"
2,2,216,2,200,20033,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,216,2,200,20034,4,2,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,216,2,200,20035,1,0,0,0,0,0,0,0,0,2,2,1,,,,1,,5,2,4,,,,,
2,2,216,2,200,20036,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
2,2,216,2,200,20037,3,0,2,1,2,0,0,1,5,3,5,1,,,,2,,,,,,,,,
2,2,216,2,200,20038,1,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,216,2,200,20039,0,0,0,0,0,0,0,0,0,2,,1,,,,1,8,9,,,,,1,4,9
2,2,216,2,200,20040,0,2,0,0,0,0,0,0,0,2,3,1,,,,1,5,8,,,,,,,
2,2,203,2,1224,20041,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
2,2,203,2,1224,20042,2,0,3,0,2,1,2,1,0,2,1,1,,,,2,,,,,,,,,
2,2,203,2,1224,20043,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,203,2,1224,20044,4,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,203,2,1224,20045,3,3,0,0,0,0,0,0,0,2,,1,,,,1,,7,,,,,1,,
2,2,203,2,1224,20046,3,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
2,2,203,2,1224,20047,1,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,203,2,1224,20048,3,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,203,2,1224,20049,2,0,0,2,2,0,1,0,1,2,2,1,,,,2,,,,,,,,,
2,2,203,2,1224,20050,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,,,,7,,,1,,
2,2,212,2,956,20051,1,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,212,2,956,20052,2,2,1,0,0,0,0,0,0,0,0,1,,,,2,,,,,,,,,
2,2,212,2,956,20053,3,3,2,0,0,0,0,0,0,2,2,1,,,,1,,8,,,,,4,5,
