"zone","state","lga","sector","ea","hhid","plotid","qa_type_plot","dist_household","srtmslp_nga","srtm_nga","twi_nga"
2,2,205,2,712,20106,2,1,2,3.2,492,13
2,2,205,2,712,20106,3,1,2.5,2.1,489,15
2,2,205,2,712,20106,4,1,1.4,4.5,523,16
2,2,205,2,712,20107,1,1,2.3,3,490,13
2,2,205,2,712,20107,2,1,3.3,0.8,470,19
2,2,205,2,712,20108,1,1,0.9,7.1,560,12
2,2,205,2,712,20108,2,1,0.2,3.6,540,15
2,2,205,2,712,20108,3,1,1.4,7.5,502,14
2,2,205,2,712,20109,1,1,1.8,0.9,488,16
2,2,205,2,712,20109,2,1,1.8,1.2,488,16
2,2,205,2,712,20109,3,1,1.7,1.1,489,15
2,2,205,2,712,20110,1,1,1.3,8.1,506,12
2,2,205,2,712,20110,2,1,1.3,7.6,508,12
2,2,218,2,1592,20111,1,1,1.9,2.1,230,15
2,2,218,2,1592,20112,1,1,0.1,1.6,227,14
2,2,218,2,1592,20112,2,1,0.4,1.1,224,21
2,2,218,2,1592,20112,3,1,1.7,1,226,15
2,2,218,2,1592,20113,1,1,1.2,1.2,222,19
2,2,218,2,1592,20113,2,1,0.3,0.6,225,31
2,2,218,2,1592,20113,3,2,0.4,0.8,227,15
2,2,218,2,1592,20114,1,1,0.1,1.3,226,14
2,2,218,2,1592,20114,2,1,0.4,0.5,225,16
2,2,218,2,1592,20114,3,1,0.5,0.6,224,16
2,2,218,2,1592,20115,1,1,4,1.1,243,15
2,2,218,2,1592,20115,2,1,0.4,1.1,225,15
2,2,218,2,1592,20115,3,1,0.3,1,226,20
2,2,218,2,1592,20115,4,2,0.3,0.8,227,15
2,2,218,2,1592,20116,1,1,0.2,1.5,226,14
2,2,218,2,1592,20116,2,1,0.4,2,224,15
2,2,218,2,1592,20118,1,1,0,1.7,225,15
2,2,218,2,1592,20118,2,1,2.7,0.7,238,15
2,2,218,2,1592,20119,1,3,0.1,1.1,225,14
2,2,218,2,1592,20119,2,3,1.3,0.6,224,16
2,2,218,2,1592,20120,1,3,0.5,0.6,228,14
2,2,218,2,1592,20120,2,3,0.4,1.2,227,14
5,3,331,1,2322,30001,1,1,0.1,0.6,65,23
5,3,331,1,2322,30001,2,1,0,2.1,66,15
5,3,331,1,2322,30005,1,1,0,2,65,16
5,3,331,1,2322,30005,2,1,0,1.5,65,16
5,3,331,1,516,30020,1,1,0,1.8,70,14
5,3,316,2,874,30021,1,1,0,1.5,73,15
5,3,316,2,874,30021,2,1,0,0.7,73,15
