"zone","state","lga","sector","ea","c0q2","c0q3","c0q4","c0q6","c0q7","c0q9","c0q10"
6,28,2810,1,3722,2801,11/2/2012,,2801,11/5/2012,,
6,28,2811,2,588,2801,10/16/2012,,2801,10/18/2012,,
6,28,2813,2,612,2801,10/8/2012,,2801,10/10/2012,,
6,28,2814,1,1876,2801,10/29/2012,11/1/2012,2801,11/1/2012,,
6,28,2815,2,1164,2801,10/3/2012,,2801,10/5/2012,,
6,28,2816,1,2302,2801,10/11/2012,,2801,10/17/2012,,
6,28,2816,2,3944,2801,10/23/2012,,2801,10/24/2012,,
6,29,2902,1,1028,2901,10/12/2012,,2901,10/18/2012,,
6,29,2905,1,384,2901,10/14/2012,,2901,10/18/2012,,
6,29,2905,1,1096,2901,10/13/2012,,2901,10/18/2012,,
6,29,2909,2,220,2901,9/26/2012,,2901,,,
6,29,2910,1,350,2902,10/1/2012,,2902,10/1/2012,,
6,29,2911,1,746,2902,10/3/2012,,2902,10/3/2012,,
6,29,2911,2,1870,2902,10/13/2012,,2902,12/13/2012,,
6,29,2914,1,214,2901,10/11/2012,,2901,,,
6,29,2918,1,952,2902,9/27/2012,,2902,9/27/2012,,
6,29,2920,1,506,2902,10/6/2012,,2902,10/6/2012,,
6,29,2920,1,1210,2902,10/10/2012,,2902,10/10/2012,,
6,29,2920,2,1628,2902,10/15/2012,,2902,10/18/2012,,
6,29,2923,1,396,2901,10/8/2012,,2901,10/11/2012,,
6,29,2923,2,1126,2901,10/3/2012,,2901,,,
6,29,2927,1,1124,2902,10/9/2012,,2902,10/9/2012,,
6,29,2930,1,530,2902,9/29/2012,,2902,9/29/2012,,
6,29,2930,1,1300,2901,9/28/2012,,2901,,,
