"zone","state","lga","sector","ea","pid","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
4,4,410,2,4036,1,1,51,1,,,41,16
4,4,410,2,4036,2,1,46,8,,,41,43
4,4,410,2,4036,3,1,63,8,,,46,26
4,4,410,2,4036,4,1,66,8,,,26,26
4,4,410,2,4036,5,1,71,8,,,21,43
4,4,411,1,1486,1,1,63,1,,,51,16
4,4,411,1,1486,2,1,61,3,,,31,16
4,4,411,1,1486,3,2,53,8,,,46,34
4,4,411,1,1486,4,1,41,8,,,37,41
4,4,411,1,1486,5,1,67,8,,,41,41
4,4,412,2,1606,1,1,60,3,,,46,43
4,4,412,2,1606,2,1,69,8,,,51,43
4,4,412,2,1606,3,1,76,8,,,71,43
4,4,412,2,1606,4,1,51,8,,,41,16
4,4,412,2,1606,5,2,49,8,,,21,16
4,4,412,2,2592,1,1,45,9,,,40,42
4,4,412,2,2592,2,1,60,8,,,60,31
4,4,412,2,2592,3,1,50,8,,,30,42
4,4,412,2,2592,4,2,62,8,,,35,16
4,4,412,2,2592,5,1,49,8,,,28,16
4,4,413,2,1540,1,1,73,1,,,12,41
4,4,413,2,1540,2,1,52,8,,,27,16
4,4,413,2,1540,3,2,68,9,,,32,28
4,4,413,2,1540,4,2,31,8,,,31,28
4,4,414,1,2176,1,1,47,3,,,41,43
4,4,414,1,2176,2,1,43,1,,,43,43
4,4,414,1,2176,3,2,41,8,,,41,23
4,4,414,1,2176,4,1,39,8,,,39,16
4,4,414,1,2176,5,1,35,8,,,35,22
4,4,415,1,2108,1,1,71,1,,,41,42
4,4,415,1,2108,2,1,39,8,,,31,42
4,4,415,1,2108,3,1,58,8,,,46,16
4,4,415,1,2108,4,2,36,8,,,26,16
4,4,415,1,2108,5,1,67,8,,,43,16
4,4,416,1,616,1,1,67,3,,,25,16
4,4,416,1,616,2,1,40,3,,,20,23
4,4,416,1,616,3,1,46,3,,,20,26
4,4,416,1,616,4,1,61,8,,,15,26
4,4,416,1,616,5,2,31,8,,,18,23
4,4,417,1,678,1,1,69,1,,,21,42
4,4,417,1,678,2,1,71,5,,,26,31
4,4,417,1,678,3,2,29,8,,,16,34
4,4,417,1,678,4,1,36,8,,,13,16
4,4,417,1,678,5,1,16,8,,,11,16
4,4,418,1,44,1,1,56,3,,,28,42
4,4,418,1,44,2,1,73,8,,,20,41
4,4,418,1,44,3,1,28,8,,,25,23
4,4,418,1,44,4,1,26,8,,,10,16
4,4,418,1,44,5,2,29,8,,,10,
4,4,419,2,296,1,1,47,1,,,16,41
4,4,419,2,296,2,2,76,9,,,40,14
4,4,419,2,296,3,1,81,8,,,50,16
4,4,419,2,296,4,1,86,8,,,86,16
