"zone","state","lga","sector","ea","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11","c3q12","c3q13"
4,4,401,2,2106,2,1120,1,3,1,2500,1,2500,2,,1,9000,20
4,4,401,2,2106,3,1020,1,3,1,2500,1,2500,2,,1,9000,
4,4,401,2,2106,4,1080,1,3,1,2000,1,2000,2,,1,6000,
4,4,401,2,2106,5,,2,,,,,,,,,,
4,4,401,2,2106,6,,1,3,1,2000,1,2000,2,,1,5000,
4,4,402,2,1080,1,,1,3,1,1500,1,1400,2,,2,,
4,4,402,2,1080,2,1120,1,3,1,1500,1,1400,2,,2,,
4,4,402,2,1080,3,1020,1,3,1,1500,1,1400,2,,2,,
4,4,402,2,1080,4,1040,1,3,1,1500,1,1400,2,,2,,
4,4,402,2,1080,5,,1,3,1,900,1,800,2,,2,,
4,4,402,2,1080,6,,1,3,1,900,1,800,2,,2,,
4,4,403,2,836,1,,1,3,1,1400,1,1000,2,,2,,
4,4,403,2,836,2,1120,1,3,1,1400,1,1000,2,,2,,
4,4,403,2,836,3,1020,1,3,1,1400,1,1000,2,,2,,
4,4,403,2,836,4,1040,1,3,1,1400,1,1000,2,,2,,
4,4,403,2,836,5,,1,3,2,,2,,2,,2,,
4,4,403,2,836,6,,1,3,1,800,1,900,2,,2,,
4,4,405,2,484,1,,1,3,1,900,1,900,2,,1,9000,
4,4,405,2,484,2,1120,1,3,1,1800,1,1800,2,,1,8000,20
4,4,405,2,484,3,1110,1,3,1,1800,1,1800,2,,1,10000,
4,4,405,2,484,4,1020,1,3,1,1800,1,1800,2,,1,8000,
4,4,405,2,484,5,,2,,,,,,,,,,
4,4,405,2,484,6,,2,,,,,,,,,,
4,4,405,2,722,1,,1,3,1,1200,1,1200,2,,1,4500,
4,4,405,2,722,2,1120,1,3,1,2000,1,2000,2,,1,9000,30
4,4,405,2,722,3,1020,1,3,1,2000,1,2000,2,,1,9000,
4,4,405,2,722,4,1080,1,3,1,1500,1,1500,2,,1,4000,
4,4,405,2,722,5,,2,,,,,,,,,,
4,4,405,2,722,6,,2,,,,,,,,,,
4,4,407,2,796,1,,1,3,1,1200,1,1200,2,,1,700,
4,4,407,2,796,2,1110,1,3,1,1500,1,1500,2,,1,1000,
4,4,407,2,796,3,1120,1,3,1,1500,1,1500,2,,1,8000,30
4,4,407,2,796,4,1020,1,3,1,1300,1,1300,2,,1,6000,
4,4,407,2,796,5,,2,,,,,,,,,,
4,4,407,2,796,6,,2,,,,,,,,,,
4,4,410,1,3192,1,,1,3,1,1300,1,1300,2,,1,5000,
4,4,410,1,3192,2,1120,1,3,1,1800,1,1800,2,,1,7000,13
4,4,410,1,3192,3,1020,1,3,1,1800,1,1800,2,,1,7000,
4,4,410,1,3192,4,1080,1,3,1,1800,1,1800,2,,1,7000,
4,4,410,1,3192,5,,2,,,,,,,,,,
4,4,410,1,3192,6,,2,,,,,,,,,,
4,4,410,1,3414,1,,1,3,1,1500,1,1500,2,,1,4000,
4,4,410,1,3414,2,1120,1,3,1,2000,1,2000,2,,1,7000,15
4,4,410,1,3414,3,1020,1,3,1,2000,1,2000,2,,1,7000,
4,4,410,1,3414,4,1080,1,3,1,1500,1,1500,2,,1,4000,
4,4,410,1,3414,5,,2,,,,,,,,,,
4,4,410,1,3414,6,,2,,,,,,,,,,
4,4,410,2,4036,1,,1,3,1,1800,1,1500,2,,2,,
4,4,410,2,4036,2,1120,1,3,1,1800,1,1500,2,,2,,
4,4,410,2,4036,3,1020,1,3,1,1800,1,1500,2,,2,,
4,4,410,2,4036,4,1040,1,3,1,1800,1,1500,2,,2,,
4,4,410,2,4036,5,,1,3,1,1800,1,1500,2,,2,,
4,4,410,2,4036,6,,1,3,1,1800,1,1500,2,,2,,
4,4,411,1,1486,1,,1,3,1,2000,1,1500,2,,2,,
4,4,411,1,1486,2,1120,1,3,1,2000,1,1500,2,,2,,
4,4,411,1,1486,3,1020,1,3,1,2000,1,1500,2,,2,,
4,4,411,1,1486,4,1040,1,3,1,2000,1,1500,2,,2,,
4,4,411,1,1486,5,,1,3,2,,2,,2,,2,,
4,4,411,1,1486,6,,1,3,1,1500,1,1000,2,,2,,
4,4,412,2,1606,1,,1,3,1,1300,1,1000,2,,2,,
4,4,412,2,1606,2,1120,1,3,1,1500,1,1200,2,,1,5000,10
4,4,412,2,1606,3,1020,1,3,1,1500,1,1200,2,,1,5000,10
4,4,412,2,1606,4,1040,1,3,1,1500,1,1200,2,,1,5000,10
4,4,412,2,1606,5,,1,3,2,,2,,2,,2,,
4,4,412,2,1606,6,,1,3,1,800,1,600,2,,2,,
4,4,412,2,2592,1,,1,3,1,1500,1,1000,2,,2,,
4,4,412,2,2592,2,1120,1,3,1,1500,1,1000,2,,1,5000,15
4,4,412,2,2592,3,1020,1,3,1,1500,1,1000,2,,1,5000,15
4,4,412,2,2592,4,1040,1,3,1,1500,1,1000,2,,1,5000,15
4,4,412,2,2592,5,,1,3,2,,2,,2,,2,,
4,4,412,2,2592,6,,1,3,1,700,1,1000,2,,2,,
4,4,413,2,1540,1,,1,3,1,1500,1,1500,2,,1,5000,
4,4,413,2,1540,2,1120,1,3,1,1500,1,2000,2,,1,10000,20
