"zone","state","lga","sector","ea","csource_cd","c4q5","c4q6","c4q7","c4q8","c4q9","c4q10","c4q11","c4q12","c4q13","c4q14","c4q15","c4q16"
2,5,518,2,1304,3,2,2,2,,,,,,,,,
2,5,518,2,1304,4,2,2,2,,,,,,,,,
2,5,518,2,1588,1,2,2,2,,,,,,,,,
2,5,518,2,1588,2,2,2,2,,,,,,,,,
2,5,518,2,1588,3,2,2,2,,,,,,,,,
2,5,518,2,1588,4,2,2,2,,,,,,,,,
2,5,520,2,1756,1,2,2,2,,,,,,,,,
2,5,520,2,1756,2,2,2,2,,,,,,,,,
2,5,520,2,1756,3,2,2,2,,,,,,,,,
2,5,520,2,1756,4,2,2,2,,,,,,,,,
5,6,601,2,640,1,2,2,2,,,,,,,,,
5,6,601,2,640,2,2,2,2,,,,,,,,,
5,6,601,2,640,3,2,2,2,,,,,,,,,
5,6,601,2,640,4,1,1,1,3,40,14000,3,40,70000,6,40,140000
5,6,602,2,1356,1,2,2,2,,,,,,,,,
5,6,602,2,1356,2,2,2,2,,,,,,,,,
5,6,602,2,1356,3,1,2,1,1,30,13000,1,30,65000,1,30,130000
5,6,602,2,1356,4,1,2,1,1,50,15000,1,50,75000,1,50,150000
5,6,605,2,162,1,1,2,1,12,,12000,12,20,60000,12,20,120000
5,6,605,2,162,2,1,2,1,12,20,12000,12,20,60000,12,20,120000
5,6,605,2,162,3,1,1,1,12,20,12000,12,20,60000,12,20,120000
5,6,605,2,162,4,1,1,1,12,40,14000,12,40,70000,12,40,140000
5,6,606,2,1372,1,2,2,2,,,,,,,,,
5,6,606,2,1372,2,2,2,2,,,,,,,,,
5,6,606,2,1372,3,1,1,1,2,50,15000,3,50,75000,4,50,150000
5,6,606,2,1372,4,2,2,2,,,,,,,,,
5,6,607,2,1892,1,2,2,2,,,,,,,,,
5,6,607,2,1892,2,1,1,1,1,50,15000,1,50,75000,1,50,150000
5,6,607,2,1892,3,1,1,1,1,20,12000,1,20,60000,1,20,120000
5,6,607,2,1892,4,1,1,1,1,30,13000,1,30,65000,1,30,130000
5,6,608,2,748,1,1,2,1,12,30,13000,12,30,65000,12,30,130000
5,6,608,2,748,2,2,2,2,,,,,,,,,
5,6,608,2,748,3,1,,,,,,,,,,,
5,6,608,2,748,4,2,2,2,,,,,,,,,
5,6,608,1,3978,1,2,2,2,,,,,,,,,
5,6,608,1,3978,2,2,2,2,,,,,,,,,
5,6,608,1,3978,3,1,1,1,1,30,13000,1,30,65000,1,30,130000
5,6,608,1,3978,4,1,2,1,1,40,14000,1,40,7000,1,40,140000
1,7,701,2,606,1,2,,,,,,,,,,,
1,7,701,2,606,2,2,,,,,,,,,,,
1,7,701,2,606,3,1,2,1,12,20,12000,12,20,5000,12,20,120000
1,7,701,2,606,4,2,,,,,,,,,,,
1,7,702,2,632,1,2,,,,,,,,,,,
1,7,702,2,632,2,2,,,,,,,,,,,
1,7,702,2,632,3,1,1,1,12,30,13000,12,30,65000,12,30,130000
1,7,702,2,632,4,1,1,1,12,30,13000,12,30,65000,12,30,130000
1,7,705,2,4186,1,2,,,,,,,,,,,
1,7,705,2,4186,2,2,,,,,,,,,,,
1,7,705,2,4186,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
1,7,705,2,4186,4,2,,,,,,,,,,,
1,7,707,2,560,1,2,,,,,,,,,,,
1,7,707,2,560,2,2,,,,,,,,,,,
1,7,707,2,560,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
1,7,707,2,560,4,2,,,,,,,,,,,
1,7,708,2,754,1,2,,,,,,,,,,,
1,7,708,2,754,2,2,,,,,,,,,,,
1,7,708,2,754,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
1,7,708,2,754,4,1,,,,0,,,,,,,
1,7,709,2,1226,1,2,,,,,,,,,,,
1,7,709,2,1226,2,2,,,,,,,,,,,
1,7,709,2,1226,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
1,7,709,2,1226,4,2,,,,,,,,,,,
1,7,710,2,2726,1,2,,,,,,,,,,,
1,7,710,2,2726,2,2,,,,,,,,,,,
1,7,710,2,2726,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
1,7,710,2,2726,4,2,,,,,,,,,,,
1,7,711,2,2532,1,2,,2,,,,,,,,,
1,7,711,2,2532,2,2,2,2,,,,,,,,,
1,7,711,2,2532,3,1,2,1,12,10,11000,12,10,55000,12,10,110000
1,7,711,2,2532,4,2,2,,,,,,,,,,
1,7,713,2,304,1,2,,,,,,,,,,,
1,7,713,2,304,2,2,,,,,,,,,,,
1,7,713,2,304,3,1,2,1,6,10,11000,6,20,70000,12,20,120000
1,7,713,2,304,4,2,,,,,,,,,,,
1,7,715,1,294,1,2,,,,,,,,,,,
1,7,715,1,294,2,2,,,,,,,,,,,
1,7,715,1,294,3,1,2,1,12,20,12000,12,20,60000,12,20,120000
1,7,715,1,294,4,2,,,,,,,,,,,
1,7,715,2,780,1,2,,,,,,,,,,,
1,7,715,2,780,2,2,,,,,,,,,,,
1,7,715,2,780,3,1,1,1,12,30,13000,12,30,65000,12,30,130000
1,7,715,2,780,4,1,1,1,12,40,14000,12,40,20,12,40,140000
1,7,717,2,1248,1,2,,,,,,,,,,,
1,7,717,2,1248,2,2,,,,,,,,,,,
1,7,717,2,1248,3,1,1,1,12,20,12000,12,20,60000,12,20,120000
1,7,717,2,1248,4,2,,,,,,,,,,,
1,7,718,2,1640,1,2,,,,,,,,,,,
1,7,718,2,1640,2,2,,,,,,,,,,,
1,7,718,2,1640,3,1,2,1,12,20,12000,12,20,60000,12,20,120000
1,7,718,2,1640,4,2,,,,,,,,,,,
1,7,719,1,1612,1,1,1,1,24,10,11000,24,10,55000,24,20,110000
1,7,719,1,1612,2,,,,,,,,,,,,
1,7,719,1,1612,3,1,1,1,12,20,12000,12,20,60000,12,20,120000
1,7,719,1,1612,4,1,1,1,6,20,12000,6,20,60000,6,20,120000
