"zone","state","lga","sector","ea","tenure_cd","c4q1","c4q2","c4q3","c4q4"
4,4,419,2,296,6,1,1,1,800000
4,4,419,2,296,7,1,1,1,
4,4,421,1,800,1,1,1,1,
4,4,421,1,800,2,1,1,1,
4,4,421,1,800,3,1,1,1,
4,4,421,1,800,4,1,1,1,
4,4,421,1,800,5,1,1,1,6000
4,4,421,1,800,6,1,1,1,2000000
4,4,421,1,800,7,1,1,1,
2,5,501,2,60,1,1,1,1,0
2,5,501,2,60,2,1,1,1,3000
2,5,501,2,60,3,2,,,
2,5,501,2,60,4,2,,,
2,5,501,2,60,5,1,1,1,3000
2,5,501,2,60,6,1,1,1,20000
2,5,501,2,60,7,1,1,1,0
2,5,502,1,2194,1,1,1,1,0
2,5,502,1,2194,2,1,1,1,2500
2,5,502,1,2194,3,1,1,1,0
2,5,502,1,2194,4,1,1,1,5000
2,5,502,1,2194,5,1,1,1,10
2,5,502,1,2194,6,1,1,1,0
2,5,502,1,2194,7,1,1,1,150000
2,5,502,2,3878,1,1,1,1,0
2,5,502,2,3878,2,2,,,
2,5,502,2,3878,3,1,1,1,0
2,5,502,2,3878,4,1,1,1,0
2,5,502,2,3878,5,1,1,1,0
2,5,502,2,3878,6,1,1,1,10000
2,5,502,2,3878,7,1,1,1,0
2,5,504,2,708,1,1,1,1,50000
2,5,504,2,708,2,2,,,
2,5,504,2,708,3,2,,,
2,5,504,2,708,4,2,,,
2,5,504,2,708,5,2,,,
2,5,504,2,708,6,1,1,1,50000
2,5,504,2,708,7,1,1,1,50000
2,5,506,2,830,1,2,,,
2,5,506,2,830,2,1,1,1,0
2,5,506,2,830,3,1,1,1,0
2,5,506,2,830,4,1,1,1,1000
2,5,506,2,830,5,1,1,1,0
2,5,506,2,830,6,1,1,1,10000
2,5,506,2,830,7,1,1,1,0
2,5,508,2,718,1,1,1,1,0
2,5,508,2,718,2,2,,,
2,5,508,2,718,3,1,1,1,0
2,5,508,2,718,4,1,1,1,3000
2,5,508,2,718,5,1,1,1,1000
2,5,508,2,718,6,1,1,1,0
2,5,508,2,718,7,1,1,1,0
2,5,508,2,984,1,1,1,1,0
2,5,508,2,984,2,1,1,1,3000
2,5,508,2,984,3,2,,,
2,5,508,2,984,4,2,,,
2,5,508,2,984,5,1,1,1,3000
2,5,508,2,984,6,1,1,1,20000
2,5,508,2,984,7,1,1,1,0
2,5,510,1,872,1,1,1,1,120000
2,5,510,1,872,2,1,1,1,
2,5,510,1,872,3,1,1,1,
2,5,510,1,872,4,1,1,1,
2,5,510,1,872,5,1,1,1,
2,5,510,1,872,6,1,1,1,
2,5,510,1,872,7,1,1,1,
2,5,510,2,1516,1,1,1,1,40000
2,5,510,2,1516,2,2,,,
2,5,510,2,1516,3,2,,,
2,5,510,2,1516,4,2,,,
2,5,510,2,1516,5,2,,,
2,5,510,2,1516,6,1,1,1,40000
2,5,510,2,1516,7,1,1,1,40000
2,5,513,2,348,1,1,1,1,0
2,5,513,2,348,2,1,1,1,3000
2,5,513,2,348,3,2,,,
2,5,513,2,348,4,2,,,
2,5,513,2,348,5,1,1,1,3000
2,5,513,2,348,6,1,1,1,20000
2,5,513,2,348,7,1,1,1,0
2,5,514,2,710,1,1,1,1,150000
2,5,514,2,710,2,1,1,1,
2,5,514,2,710,3,2,,,
2,5,514,2,710,4,2,,,
2,5,514,2,710,5,2,,,
2,5,514,2,710,6,1,1,1,
2,5,514,2,710,7,1,1,1,
2,5,514,1,2036,1,1,1,1,100000
2,5,514,1,2036,2,1,1,1,
2,5,514,1,2036,3,1,1,1,
2,5,514,1,2036,4,1,1,1,
2,5,514,1,2036,5,1,1,1,
2,5,514,1,2036,6,1,1,1,
2,5,514,1,2036,7,1,1,1,
2,5,515,2,18,1,1,1,1,80000
2,5,515,2,18,2,1,1,1,0
2,5,515,2,18,3,1,1,1,
2,5,515,2,18,4,2,,,
2,5,515,2,18,5,2,,,
2,5,515,2,18,6,1,1,1,
2,5,515,2,18,7,1,1,1,
2,5,516,2,942,1,1,1,1,
2,5,516,2,942,2,1,1,1,40000
2,5,516,2,942,3,1,1,1,
2,5,516,2,942,4,2,,,
2,5,516,2,942,5,2,,,
2,5,516,2,942,6,1,1,1,
2,5,516,2,942,7,1,1,1,
2,5,518,2,1304,1,1,1,1,0
2,5,518,2,1304,2,1,1,1,0
2,5,518,2,1304,3,1,1,2,0
2,5,518,2,1304,4,1,1,1,5000
2,5,518,2,1304,5,1,1,1,1500
2,5,518,2,1304,6,1,1,1,30000
2,5,518,2,1304,7,1,1,1,0
2,5,518,2,1588,1,2,,,
2,5,518,2,1588,2,1,1,1,0
2,5,518,2,1588,3,1,1,1,0
2,5,518,2,1588,4,1,1,1,1000
2,5,518,2,1588,5,1,1,1,0
2,5,518,2,1588,6,1,1,1,10000
2,5,518,2,1588,7,1,1,1,0
2,5,520,2,1756,1,1,1,1,30000
2,5,520,2,1756,2,1,1,1,
2,5,520,2,1756,3,1,1,1,
2,5,520,2,1756,4,2,,,
2,5,520,2,1756,5,2,,,
2,5,520,2,1756,6,1,1,1,
2,5,520,2,1756,7,1,1,1,
5,6,601,2,640,1,1,1,1,
5,6,601,2,640,2,2,,,
5,6,601,2,640,3,2,,,
5,6,601,2,640,4,1,3,1,
5,6,601,2,640,5,1,3,1,
5,6,601,2,640,6,2,,,
5,6,601,2,640,7,1,2,1,
5,6,602,2,1356,1,2,,,
5,6,602,2,1356,2,1,1,1,
5,6,602,2,1356,3,2,,,
5,6,602,2,1356,4,1,3,1,
5,6,602,2,1356,5,1,3,1,
5,6,602,2,1356,6,2,,,
5,6,602,2,1356,7,2,,,
5,6,605,2,162,1,1,1,1,1800000
5,6,605,2,162,2,1,3,1,
5,6,605,2,162,3,1,3,2,
5,6,605,2,162,4,1,3,1,
5,6,605,2,162,5,1,3,1,
5,6,605,2,162,6,2,,,
5,6,605,2,162,7,1,1,1,
5,6,606,2,1372,1,1,1,2,900000
5,6,606,2,1372,2,1,1,1,
5,6,606,2,1372,3,2,,,
5,6,606,2,1372,4,1,2,1,50000
5,6,606,2,1372,5,1,3,1,50000
5,6,606,2,1372,6,1,3,1,900000
5,6,606,2,1372,7,1,2,1,
5,6,607,2,1892,1,1,1,1,
5,6,607,2,1892,2,1,1,1,500000
5,6,607,2,1892,3,1,4,2,
5,6,607,2,1892,4,1,1,1,
5,6,607,2,1892,5,1,1,1,
5,6,607,2,1892,6,1,3,1,500000
5,6,607,2,1892,7,1,3,1,
5,6,608,2,748,1,1,1,2,1000000
5,6,608,2,748,2,1,1,2,
5,6,608,2,748,3,2,,,
5,6,608,2,748,4,1,1,2,
5,6,608,2,748,5,1,3,1,
5,6,608,2,748,6,1,1,2,1000000
5,6,608,2,748,7,1,1,2,
5,6,608,1,3978,1,1,3,1,
5,6,608,1,3978,2,1,1,1,
5,6,608,1,3978,3,2,,,
5,6,608,1,3978,4,1,3,1,
5,6,608,1,3978,5,1,1,1,
5,6,608,1,3978,6,2,,,
5,6,608,1,3978,7,1,3,1,
1,7,701,2,606,1,1,1,2,200000
1,7,701,2,606,2,1,1,2,50000
1,7,701,2,606,3,1,1,1,50000
1,7,701,2,606,4,1,4,2,40000
1,7,701,2,606,5,1,4,2,40000
1,7,701,2,606,6,1,1,2,
1,7,701,2,606,7,1,1,2,200000
1,7,702,2,632,1,1,1,2,150000
1,7,702,2,632,2,1,3,1,10000
