"zone","state","lga","sector","ea","hhid","source_cd","sa5bq1b","sa5bq2a","sa5bq2b","sa5bq2c","sa5bq2d","sa5bq3","sa5bq4","sa5bq5","sa5bq6","sa5bq7","sa5bq8","sa5bq9"
1,26,2613,2,2248,260126,1,,1,,,,5,0,0,2,2,,1
1,26,2613,2,2248,260127,1,,1,,,,0,,2,,2,,2
1,26,2613,2,2248,260128,1,,1,,,,2,0,0,,2,,1
1,26,2613,2,2248,260129,1,,1,,,,2,0,0,,2,,2
1,26,2613,2,2248,260130,1,,3,,,,0,,0,0,2,,2
1,26,2608,2,820,260135,1,,1,,,,0,,0,2,1,2500,1
1,26,2608,2,820,260138,1,,1,,,,1,0,0,1,2,,1
1,26,2608,2,820,260140,1,,1,,,,2,0,0,2,2,,1
1,26,2601,2,822,260142,10,,1,,,,2,0,2,,2,,1
1,26,2601,2,822,260142,12,,1,,,,,,,,2,,1
1,26,2601,2,822,260143,1,,1,,,,2,0,0,2,2,,2
1,26,2601,2,822,260146,1,,1,,,,2,0,2,2,2,,2
1,26,2625,2,926,260171,10,,1,,,,2,2,1,,2,,1
1,26,2625,2,926,260172,12,,1,,,,,,,,2,,1
1,26,2625,2,926,260174,1,,1,,,,,,,,,,1
6,27,2715,2,752,270021,12,"ELECTRONIC MEDIA(TV,RADIO,ETC)",1,1,,,,,,,,,1
6,27,2715,2,752,270023,12,"ELECTRONIC MEDIA(TV,REDIO,ETC)",1,1,,,,,,,,,1
6,27,2715,2,752,270026,12,,1,1,,,,,,,,,1
6,27,2719,2,100,270082,12,"ELECTRONIC MEDIA(TV,RADIO,ETC)",1,1,,,,,,,,,1
6,27,2719,2,100,270086,12,"ELECTRONIC MEDIA(TV,RADIO,ETC)",1,1,,,,,,,,,1
6,27,2719,2,100,270087,12,"ELECTRONIC MEDIA(TV,RADIO ETC)",1,1,,,,,,,,,1
6,27,2719,2,100,270089,12,"ELECTRONIC MEDIA(TV,RADIO,ETC)",1,1,,,,,,,,,1
6,30,3014,2,120,300041,7,,1,,,,,,,0,2,,1
6,30,3014,2,120,300045,1,,0,,,,,,,,,,
6,30,3014,2,120,300047,1,,,0,,,,,,,,,
6,30,3005,1,2942,300095,2,,,,,,,,,,2,,
6,30,3020,1,322,300129,12,,1,,,,,,,,,,
6,30,3020,1,322,300129,13,,1,,,,,,,,,,
6,30,3030,1,946,300156,11,,1,,,,0,,0,,2,,4
5,32,3223,2,578,320033,11,,1,2,3,4,3,0,2,,2,,1
5,32,3223,2,578,320033,12,,1,2,3,4,,,,,2,,1
5,32,3223,2,578,320034,11,,1,2,,,4,0,2,,2,,1
5,32,3201,2,2034,320104,11,,6,2,,,0,,5,,2,,1
5,32,3201,2,2034,320105,11,,1,,,,0,,5,,2,,1
5,32,3203,2,2644,320124,11,,1,2,,,0,,0,,2,,1
5,32,3203,2,2644,320126,11,,1,2,3,,0,,0,,2,,1
5,32,3202,2,84,320135,11,,1,2,,,0,,0,,2,,1
5,32,3202,2,84,320136,11,,1,2,,,0,,0,,2,,1
5,32,3216,2,1184,320144,11,,1,2,6,,0,,0,0,2,,1
5,32,3223,2,390,320156,11,,1,2,,,4,0,2,,1,0,1
5,32,3223,2,390,320156,12,,1,2,,,,,,,1,0,1
5,32,3221,2,132,320169,11,,1,2,,,5,0,3,,1,200,1
5,32,3221,2,132,320169,12,,1,2,,,,,,,2,,1
5,32,3210,2,1692,320179,11,,1,2,,,5,0,,6,2,,1
5,32,3210,2,1692,320179,12,,1,2,,,,,,,2,,1
5,32,3213,2,128,320181,11,,1,2,2,,4,,,,2,,1
5,32,3213,2,128,320181,12,,1,2,,,,,,,2,,1
5,32,3213,2,128,320182,11,,1,2,,,4,0,5,,2,,1
5,32,3213,2,128,320182,12,,1,2,,,,,,,2,,1
5,32,3216,2,1184,320187,11,,10,2,,,0,,0,,1,0,1
3,33,3321,1,1182,330002,11,,1,,,,4,0,2,,2,,1
3,33,3321,1,1182,330005,11,,1,,,,,,1,,2,,2
3,33,3321,1,1182,330005,12,,1,,,,,,,,,,2
3,33,3321,1,1182,330006,11,,1,,,,3,0,1,,2,,1
3,33,3321,1,1182,330007,11,,1,,,,3,0,2,,2,,1
3,33,3321,1,1182,330008,11,,1,,,,2,0,1,,2,,1
3,33,3321,1,1182,330008,12,,1,,,,,,,,,,1
3,33,3321,1,1182,330009,11,,1,,,,2,0,1,,2,,1
3,33,3321,1,1182,330009,12,,1,,,,,,,,,,1
3,33,3321,1,1182,330009,13,,1,,,,,,,,,,1
3,33,3321,1,1182,330010,11,,1,,,,6,0,4,,2,,1
3,33,3311,1,702,330011,11,,1,,,,7,0,6,,2,,1
3,33,3311,1,702,330012,11,,1,,,,6,0,2,,2,,1
3,33,3311,1,702,330013,11,,1,,,,5,0,2,,2,,1
3,33,3311,1,702,330014,11,,1,,,,8,0,4,,2,,1
3,33,3311,1,702,330015,11,,1,,,,2,0,1,,2,,1
3,33,3311,1,702,330015,12,,1,,,,,,,,,,1
3,33,3311,1,702,330016,11,,1,,,,7,0,2,,2,,1
3,33,3311,1,702,330017,11,,1,,,,1,0,1,,2,,1
3,33,3311,1,702,330017,12,,1,,,,,,,,,,1
3,33,3311,1,702,330018,10,,1,,,,,,1,,2,,1
3,33,3311,1,702,330018,11,,1,,,,,,2,,2,,1
3,33,3311,1,702,330019,11,,1,2,,,,,,,2,,1
3,33,3311,1,702,330020,11,,1,,,,2,,,,2,,1
3,33,3311,1,702,330020,12,,1,,,,,,,,,,1
3,33,3310,2,476,330021,11,,1,,,,0,,1,,2,,1
3,33,3310,2,476,330021,12,,1,,,,,,,,,,1
3,33,3310,2,476,330022,11,,1,,,,8,0,3,,2,,1
3,33,3310,2,476,330023,11,,1,,,,8,0,2,,2,,1
3,33,3310,2,476,330024,1,,1,,,,7,0,3,,2,,1
3,33,3310,2,476,330025,11,,1,,,,0,,1,,2,,1
3,33,3310,2,476,330025,12,,1,,,,,,,,,,
3,33,3310,2,476,330026,11,,1,,,,11,0,3,,2,,1
3,33,3310,2,476,330027,11,,1,,,,0,,1,,2,,1
3,33,3310,2,476,330027,12,,1,,,,,,,,,,1
3,33,3310,2,476,330028,11,,1,,,,0,,1,,2,,1
3,33,3310,2,476,330028,12,,1,,,,,,,,,,1
3,33,3310,2,476,330029,11,,1,0,,,,,1,,2,,1
3,33,3310,2,476,330029,12,,1,,,,,,,,,,1
3,33,3310,2,476,330030,1,,1,,,,6,0,2,,2,,1
3,33,3323,2,92,330031,11,,1,,,,18,0,3,,2,,1
3,33,3323,2,92,330032,11,,1,,,,1,0,1,,2,,1
3,33,3323,2,92,330032,12,,1,,,,,,,,,,1
3,33,3323,2,92,330033,11,,1,,,,2,0,1,,2,,1
3,33,3323,2,92,330033,12,,1,,,,,,,,,,1
3,33,3323,2,92,330034,11,,1,,,,12,0,4,,2,,1
3,33,3323,2,92,330035,11,,1,,,,12,0,4,,2,,1
3,33,3323,2,92,330036,11,,1,,,,12,0,8,,2,,1
3,33,3323,2,92,330037,11,,1,,,,1,0,2,,2,,1
3,33,3323,2,92,330037,12,,1,,,,,,,,,,1
3,33,3323,2,92,330038,11,,1,,,,1,0,1,,2,,1
3,33,3323,2,92,330038,12,,1,,,,,,,,,,1
3,33,3323,2,92,330039,11,,1,,,,18,0,4,,2,,1
3,33,3323,2,92,330040,11,,1,,,,2,0,2,,2,,1
3,33,3323,2,92,330040,12,,1,,,,,,,,,,1
3,33,3318,2,30,330041,11,,1,,,,7,0,2,,2,,1
3,33,3318,2,30,330042,11,,1,,,,3,0,2,,2,,1
3,33,3318,2,30,330043,11,,1,,,,6,0,4,,2,,1
3,33,3318,2,30,330044,11,,1,,,,8,0,4,,2,,1
3,33,3318,2,30,330045,11,,1,,,,6,0,3,,2,,1
3,33,3318,2,30,330046,11,,1,,,,3,0,1,,2,,2
3,33,3318,2,30,330046,12,,1,,,,,,,,,,1
3,33,3318,2,30,330047,11,,1,,,,2,0,1,,2,,1
3,33,3318,2,30,330047,12,,1,,,,,,,,,,1
3,33,3318,2,30,330048,11,,1,,,,3,0,1,,2,,1
3,33,3318,2,30,330048,12,,1,,,,,,,,,,1
3,33,3318,2,30,330049,11,,1,,,,3,0,1,,2,,1
3,33,3318,2,30,330049,12,,1,,,,,,,,,,1
3,33,3318,2,30,330050,11,,1,,,,2,0,1,,2,,1
3,33,3318,2,30,330050,12,,1,,,,,,,,,,1
3,33,3313,2,930,330051,11,,1,,,,7,0,3,,2,,1
3,33,3313,2,930,330052,11,,1,,,,6,0,2,,2,,1
3,33,3313,2,930,330053,11,,1,,,,1,0,1,,2,,1
3,33,3313,2,930,330053,12,,1,,,,,,,,,,1
3,33,3313,2,930,330055,11,,1,,,,7,0,4,,2,,1
3,33,3313,2,930,330056,11,,1,,,,10,0,1,,2,,1
3,33,3313,2,930,330056,12,,1,,,,,,,,,,1
3,33,3313,2,930,330057,11,,1,,,,0,,1,,2,,1
3,33,3313,2,930,330057,12,,1,,,,,,,,,,1
3,33,3313,2,930,330058,11,,1,,,,2,0,2,,2,,1
3,33,3313,2,930,330058,12,,1,,,,,,,,,,1
3,33,3313,2,930,330059,11,,1,,,,,0,1,,2,,1
3,33,3313,2,930,330059,12,,1,,,,,,,,,,1
3,33,3313,2,930,330060,11,,1,,,,4,0,3,,2,,1
3,33,3304,2,418,330061,11,,1,,,,4,0,2,,2,,1
3,33,3304,2,418,330061,12,,1,,,,,,,,,,1
3,33,3304,2,418,330062,11,,1,,,,3,0,1,,2,,1
3,33,3304,2,418,330062,12,,1,,,,,,,,,,1
3,33,3304,2,418,330063,11,,1,,,,2,0,1,,2,,1
3,33,3304,2,418,330063,12,,1,,,,,,,,,,1
3,33,3304,2,418,330064,11,,1,,,,7,0,2,,2,,1
3,33,3304,2,418,330065,11,,1,,,,2,0,1,,2,,1
3,33,3304,2,418,330065,12,,1,,,,,,,,,,1
3,33,3304,2,418,330066,11,,1,,,,6,0,2,,2,,1
3,33,3304,2,418,330067,11,,1,,,,6,0,2,,2,,1
3,33,3304,2,418,330068,11,,1,,,,2,0,1,,1,,1
3,33,3304,2,418,330068,12,,1,,,,,,,,,,1
3,33,3304,2,418,330069,11,,1,,,,2,0,4,,2,,1
3,33,3304,2,418,330070,11,,1,,,,10,0,4,,2,,1
3,33,3307,2,688,330071,11,,3,,,,3,0,3,,2,,1
3,33,3307,2,688,330071,12,,3,,,,,,,,,,
3,33,3307,2,688,330072,11,,1,,,,2,,1,,2,,1
3,33,3307,2,688,330072,12,,1,,,,,,,,,,1
3,33,3307,2,688,330073,11,,1,,,,2,,1,,1,,1
3,33,3307,2,688,330073,12,,,,,,,,,,,,1
3,33,3307,2,688,330074,11,,1,,,,6,0,3,,2,,1
3,33,3307,2,688,330075,11,,1,,,,1,,1,,2,,1
3,33,3307,2,688,330075,12,,1,,,,,,,,,,1
3,33,3307,2,688,330076,11,,1,,,,6,0,3,,2,,1
3,33,3307,2,688,330077,11,,1,,,,1,,1,,2,,1
3,33,3307,2,688,330077,12,,1,,,,,,,,,,1
3,33,3307,2,688,330078,11,,1,,,,5,0,2,,2,,1
3,33,3307,2,688,330079,11,,1,,,,7,0,3,,2,,1
3,33,3307,2,688,330080,11,,1,,,,6,0,2,,2,,1
3,36,3605,2,240,360012,1,,1,,,,2,0,0,,2,,1
3,36,3605,2,240,360012,11,,1,,,,4,0,0,,2,,1
3,36,3605,2,240,360013,5,,1,,,,2,0,0,,2,,1
3,36,3605,2,240,360017,1,"GOVERNMENT AGRIC.EXTEN. SERVIC",1,,,,1,0,0,1,2,,1
3,36,3605,2,240,360018,5,,1,,,,0,,1,,1,500,1
3,36,3605,2,240,360019,11,,1,,,,0,,0,1,2,,2
3,36,3605,2,240,360020,11,,1,,,,2,1,2,0,2,,2
3,36,3603,2,978,360029,2,,1,,,,0,,2,0,2,,3
3,36,3603,2,978,360029,11,,1,,,,0,,2,0,2,,3
3,36,3613,2,1066,360041,5,,1,,,,1,0,0,0,2,,1
3,36,3613,2,1066,360042,1,,1,,,,0,,0,1,2,,1
3,36,3613,2,1066,360042,8,,1,,,,0,,0,1,2,,1
3,36,3613,2,1066,360044,1,,1,3,4,,0,,0,0,2,,1
3,36,3610,2,1826,360055,1,,1,,,,0,,0,1,2,,1
3,36,3610,2,1826,360055,8,,1,,,,0,,0,2,2,,1
3,36,3610,2,1826,360057,1,,1,,,,0,,0,0,2,,1
3,36,3610,2,1826,360057,5,,1,,,,0,,0,0,2,,1
3,36,3610,2,1826,360057,11,,1,,,,0,,0,0,2,,1
