"zone","state","lga","sector","ea","hhid","item_cd","sa7q1","sa7q2","sa7q3","sa7q4a","sa7q4b","sa7q5"
5,12,1208,2,526,120047,2,1,,1500,"N2",,2
5,12,1216,2,618,120052,2,1,700,500,"N2",,2
5,12,1216,2,618,120053,2,1,5000,,"N1","N2",2
5,12,1216,2,618,120053,6,1,1500,,"N1","N2",2
5,12,1216,2,618,120055,2,1,3000,,"N1",,2
5,12,1216,2,618,120055,6,1,200,,"N1",,2
5,12,1216,2,618,120058,2,1,300,600,"N2",,2
5,12,1210,2,462,120063,2,1,6800,,"N3","N4",2
5,12,1210,2,462,120063,6,1,2400,,"N3","N4",2
5,12,1210,2,462,120064,2,1,,500,"N2",,2
5,12,1210,2,462,120066,2,1,,300,"N2",,2
5,12,1210,2,462,120068,2,1,,200,"N2",,2
5,12,1214,2,452,120094,2,1,2000,,"N12",,2
6,13,1305,1,1232,130046,2,1,1500,,"N1",,2
6,13,1309,2,674,130051,2,1,2100,,"N3",,2
6,13,1309,2,674,130055,2,1,1200,,"N2",,2
6,13,1309,2,674,130058,2,1,1000,,"N2",,2
4,14,1415,2,952,140043,3,1,15000,,"N1",,2
4,14,1415,2,952,140044,2,1,36000,36000,"N3",,2
4,14,1415,2,952,140044,3,1,15000,15000,"N1",,2
4,14,1413,2,670,140075,2,1,20000,,"N1","N1",2
4,14,1413,2,670,140075,3,1,10000,,"N1","N1",2
4,14,1413,2,670,140075,6,1,2000,,,,2
4,14,1408,2,968,140109,2,1,1800,,"N9",,
4,14,1408,2,968,140109,3,1,2000,,"N9",,
4,14,1408,2,968,140109,6,1,1500,,"N9",,
4,14,1411,2,1066,140117,2,1,800,,"N1",,2
4,14,1411,2,1066,140119,1,1,2500,1000,"N2","N3",2
4,14,1416,2,2314,140122,2,1,5000,500,"N2",,2
4,14,1416,2,2314,140122,3,1,300,300,"N2",,2
2,15,1506,1,398,150001,2,1,2500,,"N2",,2
2,15,1506,1,398,150001,7,1,500,,,,
2,15,1506,1,398,150002,2,1,4000,,"N2",,2
2,15,1506,1,398,150002,3,1,2300,,"N2",,2
