"zone","state","lga","sector","ea","hhid","network_cd","sa10q2a","sa10q2b","sa10q3","trackingobs"
2,2,203,2,1224,20047,"N1",9,,2,0
2,2,203,2,1224,20047,"N2",9,,2,0
2,2,203,2,1224,20047,"N3",9,,2,0
2,2,203,2,1224,20047,"N4",9,,2,0
2,2,203,2,1224,20047,"N5",9,,2,0
2,2,203,2,1224,20048,"N1",2,,1,0
2,2,203,2,1224,20048,"N2",1,,1,0
2,2,203,2,1224,20048,"N3",1,,1,0
2,2,203,2,1224,20048,"N4",9,,2,0
2,2,203,2,1224,20049,"N1",2,,1,0
2,2,203,2,1224,20049,"N2",9,,2,0
2,2,203,2,1224,20050,"N1",1,,1,0
2,2,212,2,956,20051,"N1",1,,1,0
2,2,212,2,956,20051,"N2",1,,1,0
2,2,212,2,956,20051,"N3",2,,1,0
2,2,212,2,956,20051,"N4",2,,1,0
2,2,212,2,956,20051,"N5",9,,6,0
2,2,212,2,956,20051,"N6",9,,6,0
2,2,212,2,956,20052,"N1",10,,2,0
2,2,212,2,956,20052,"N2",10,,2,0
2,2,212,2,956,20052,"N3",2,,1,0
2,2,212,2,956,20052,"N4",10,,2,0
2,2,212,2,956,20052,"N5",10,,2,0
2,2,212,2,956,20053,"N1",12,,5,0
2,2,212,2,956,20053,"N2",13,,5,0
2,2,212,2,956,20053,"N3",9,,2,0
2,2,212,2,956,20053,"N4",31,"PRIVATE NOMAD",7,0
2,2,212,2,956,20054,"N1",1,,1,0
2,2,212,2,956,20054,"N2",2,,1,0
2,2,212,2,956,20054,"N3",28,,2,0
2,2,212,2,956,20054,"N4",2,,1,0
2,2,212,2,956,20054,"N5",1,,1,0
2,2,212,2,956,20055,"N1",8,,5,0
2,2,212,2,956,20055,"N2",9,,2,0
2,2,212,2,956,20055,"N3",2,,1,0
2,2,212,2,956,20056,"N1",1,,1,0
2,2,212,2,956,20056,"N2",1,,1,0
2,2,212,2,956,20056,"N3",2,,1,0
2,2,212,2,956,20056,"N4",2,,1,0
2,2,212,2,956,20056,"N5",9,,2,0
2,2,212,2,956,20057,"N1",9,,2,0
2,2,212,2,956,20058,"N1",7,,2,0
2,2,212,2,956,20059,"N1",8,,2,0
2,2,212,2,956,20059,"N2",8,,2,0
2,2,212,2,956,20059,"N3",8,,2,0
2,2,212,2,956,20059,"N4",8,,2,0
2,2,212,2,956,20060,"N1",8,,3,0
2,2,212,2,956,20060,"N2",9,,2,0
2,2,212,2,956,20060,"N3",9,,3,0
2,2,212,2,956,20060,"N4",13,,5,0
2,2,212,2,956,20060,"N5",2,,1,0
2,2,212,2,956,20060,"N6",9,,2,0
2,2,210,2,1300,20061,"N1",1,,3,0
2,2,210,2,1300,20061,"N2",1,,2,0
2,2,210,2,1300,20061,"N3",1,,2,0
2,2,210,2,1300,20061,"N4",1,,3,0
2,2,210,2,1300,20061,"N5",1,,2,0
2,2,210,2,1300,20061,"N6",1,,2,0
2,2,210,2,1300,20062,"N1",2,,1,0
2,2,210,2,1300,20062,"N2",1,,1,0
2,2,210,2,1300,20062,"N3",9,,2,0
2,2,210,2,1300,20062,"N4",7,,1,0
2,2,210,2,1300,20063,"N1",9,,1,0
2,2,210,2,1300,20063,"N2",9,,1,0
2,2,210,2,1300,20063,"N3",9,,1,0
2,2,210,2,1300,20063,"N4",2,,1,0
2,2,210,2,1300,20064,"N1",9,,3,0
2,2,210,2,1300,20064,"N2",13,,2,0
2,2,210,2,1300,20064,"N3",2,,1,0
2,2,210,2,1300,20064,"N4",2,,1,0
2,2,210,2,1300,20066,"N1",8,,1,0
2,2,210,2,1300,20067,"N1",30,,1,0
2,2,210,2,1300,20067,"N2",26,,1,0
2,2,210,2,1300,20067,"N3",2,,1,0
2,2,210,2,1300,20067,"N4",9,,5,0
2,2,210,2,1300,20068,"N1",9,,2,0
2,2,210,2,1300,20068,"N2",9,,2,0
2,2,210,2,1300,20069,"N1",1,,1,0
2,2,210,2,1300,20069,"N2",2,,1,0
2,2,210,2,1300,20069,"N3",12,,2,0
2,2,210,2,1300,20069,"N4",9,,2,0
2,2,210,2,1300,20070,"N1",2,,1,0
2,2,210,2,1300,20070,"N2",2,,1,0
2,2,210,2,1300,20070,"N3",2,,3,0
2,2,210,2,1300,20070,"N4",1,,1,0
2,2,214,2,898,20072,"N1",28,,5,0
2,2,214,2,898,20072,"N2",9,,5,0
2,2,214,2,898,20072,"N3",1,,3,0
2,2,214,2,898,20073,"N1",9,,3,0
2,2,214,2,898,20074,"N1",1,,3,0
2,2,214,2,898,20074,"N2",12,,3,0
2,2,214,2,898,20074,"N3",28,,3,0
2,2,214,2,898,20074,"N4",31,"NOMAD",6,0
2,2,214,2,898,20075,"N1",12,,3,0
2,2,214,2,898,20075,"N2",28,,3,0
2,2,214,2,898,20075,"N3",8,,3,0
2,2,214,2,898,20075,"N4",2,,3,0
2,2,214,2,898,20077,"N1",1,,4,0
2,2,214,2,898,20078,"N1",12,,3,0
2,2,215,1,8,20081,"N1",12,,5,0
2,2,215,1,8,20085,"N1",1,,3,0
2,2,215,1,8,20085,"N2",12,,3,0
2,2,215,1,8,20086,"N1",12,,5,0
2,2,215,1,8,20088,"N1",1,,3,0
2,2,215,1,8,20088,"N2",12,,3,0
2,2,215,1,8,20088,"N3",7,,3,0
2,2,215,1,8,20088,"N4",10,,4,0
2,2,215,1,8,20089,"N1",12,,3,0
2,2,215,1,8,20089,"N2",2,,1,0
2,2,215,1,8,20089,"N3",8,,3,0
2,2,207,2,1302,20091,"N1",1,,4,0
2,2,207,2,1302,20092,"N1",2,,1,0
2,2,207,2,1302,20092,"N2",1,,1,0
2,2,207,2,1302,20092,"N3",1,,2,0
2,2,207,2,1302,20092,"N4",13,,2,0
2,2,207,2,1302,20092,"N5",10,,2,0
2,2,207,2,1302,20092,"N6",12,,5,0
2,2,207,2,1302,20092,"N7",7,,1,0
2,2,207,2,1302,20093,"N1",2,,2,0
2,2,207,2,1302,20093,"N2",12,,2,0
2,2,207,2,1302,20093,"N3",10,,5,0
2,2,207,2,1302,20093,"N4",9,,2,0
2,2,207,2,1302,20093,"N5",12,,5,0
2,2,207,2,1302,20094,"N1",8,,1,0
2,2,207,2,1302,20095,"N1",2,,1,0
2,2,207,2,1302,20095,"N2",2,,1,0
2,2,207,2,1302,20095,"N3",9,,2,0
2,2,207,2,1302,20095,"N4",9,,2,0
2,2,207,2,1302,20095,"N5",9,,2,0
2,2,207,2,1302,20096,"N1",9,,2,0
2,2,207,2,1302,20096,"N2",9,,2,0
2,2,207,2,1302,20096,"N3",9,,2,0
2,2,207,2,1302,20096,"N4",9,,2,0
2,2,207,2,1302,20096,"N5",9,,2,0
2,2,207,2,1302,20096,"N6",9,,2,0
2,2,207,2,1302,20096,"N7",28,,3,0
2,2,207,2,1302,20098,"N1",9,,2,0
2,2,207,2,1302,20098,"N2",9,,2,0
2,2,207,2,1302,20098,"N3",9,,2,0
2,2,207,2,1302,20100,"N1",26,,2,0
2,2,207,2,1302,20100,"N2",9,,1,0
2,2,205,2,712,20101,"N1",9,,2,0
2,2,205,2,712,20101,"N2",9,,2,0
2,2,205,2,712,20101,"N3",9,,2,0
2,2,205,2,712,20102,"N1",12,,5,0
2,2,205,2,712,20102,"N2",13,,5,0
2,2,205,2,712,20102,"N3",17,,5,0
2,2,205,2,712,20103,"N1",9,,2,0
2,2,205,2,712,20104,"N1",13,,2,0
2,2,205,2,712,20104,"N2",10,,1,0
2,2,205,2,712,20104,"N3",2,,1,0
2,2,205,2,712,20104,"N4",9,,2,0
2,2,205,2,712,20106,"N1",2,,1,0
