"zone","state","lga","sector","ea","hhid","plotid","sa2q1a1","sa2q1a2","sa2q1a3","sa2q1a4","sa2q1b1","sa2q1b2","sa2q1b3","sa2q1b4","sa2q1c1","sa2q1c2","sa2q1c3","sa2q1c4","sa2q1d1","sa2q1d2","sa2q1d3","sa2q1d4","sa2q2","sa2q3","sa2q4","sa2q5","sa2q6","sa2q7","sa2q8","sa2q9","sa2q10","sa2q11a","sa2q11b","sa2q11c","sa2q12a","sa2q12b","sa2q12c","sa2q13a","sa2q13b","sa2q13c"
4,1,117,2,560,10076,4,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10076,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10077,1,1,4,3,3,2,3,3,2,3,3,2,3,4,2,1,1,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10077,2,1,3,2,2,2,2,2,3,3,4,3,2,4,2,1,2,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10078,1,1,4,3,3,2,3,3,2,3,3,2,3,4,2,1,1,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10078,2,1,3,2,2,2,2,2,3,3,4,3,2,4,2,1,2,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10079,1,1,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10079,2,1,2,3,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10079,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10079,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,1,1,3,3,3,2,2,2,2,3,2,2,2,4,1,1,1,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10080,2,1,2,2,3,2,3,2,2,3,2,2,2,4,1,1,1,,,,,,,,,,,,,0,0,0,,,
4,1,117,2,560,10080,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10081,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10081,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10081,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10082,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10082,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10082,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10084,1,1,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10084,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10084,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10085,1,1,4,3,4,,,,,,,,,,,,,3,3,,,,,,,,1120,2,12,3,,,,,
4,1,110,2,76,10085,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10086,1,1,36,5,8,2,36,5,8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,110,2,76,10087,1,1,36,5,7,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,110,2,76,10087,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,10087,3,1,36,5,7,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,110,2,76,10087,4,1,36,5,7,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,110,2,76,10088,1,2,36,5,8,5,25,3,6,6,2,50,3,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,110,2,76,10088,2,2,36,5,8,5,25,3,6,6,25,3,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,110,2,76,10088,3,2,36,5,8,5,25,3,6,6,25,3,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10091,1,1,3,2,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10091,2,1,2,1,3,2,2,1,3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10091,3,1,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10092,1,1,6,3,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10092,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10093,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10094,1,1,32,4,5,2,32,4,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10094,2,1,32,4,5,2,32,4,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10094,3,1,32,4,5,2,32,4,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10095,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10095,2,1,2,3,11,,,,,,,,,,,,,1,1,400,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10096,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10096,2,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10096,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10096,4,4,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10096,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10097,1,1,3,5,4,1,3,5,4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10097,2,2,3,5,4,2,3,3,4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10097,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10099,1,1,3,4,4,,,,,,,,,,,,,,,,1,2,500,0,0,0,1080,1,31,0,1,0,,,
4,1,105,2,638,10099,2,1,,,,,,,,,,,,,,,,,,,1,2,500,,,,1080,1,31,0,1,0,,,
4,1,105,2,638,10099,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,1,1,4,2,2,2,3,2,2,3,2,1,2,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,105,2,638,10100,2,1,4,3,3,2,2,2,2,3,2,1,2,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10102,1,1,36,4,7,2,36,4,7,3,30,2,5,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10102,2,1,36,4,7,2,36,4,7,3,30,2,5,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10102,3,1,36,4,7,2,36,4,7,3,30,2,5,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10102,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
