"zone","state","lga","sector","ea","hhid","animal_cd","sa6q1a","sa6q1b","sa6q2","sa6q3","sa6q4a","sa6q4b","sa6q5a","sa6q5b","sa6q6","sa6q7","sa6q8a","sa6q8b","sa6q9","sa6q10","sa6q11","sa6q12","sa6q13","sa6q14a","sa6q14b","sa6q15","sa6q16","sa6q17","sa6q18","sa6q19","sa6q20a","sa6q20b","sa6q21","sa6q22","sa6q23","sa6q24a1","sa6q24a2","sa6q24a3","sa6q25a1","sa6q25a2","sa6q25a3","sa6q26","sa6q27a","sa6q27b","sa6q28a","sa6q28b","sa6q28c","sa6q28d","trackingobs"
2,2,209,2,1040,20002,114,1,,2,500,1,,2,,2,,,,100,,,,,,,,,5,,,,,,,1,3,,,103,,,,,,,,,,0
2,2,209,2,1040,20005,114,1,,1,200,1,,1,2,2,,,,12,,,,,,,,,,,,,,,,1,1,,,11,,,,,,,,,,0
2,2,209,2,1040,20005,122,1,,1,300,1,,1,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20006,101,1,,6,15000,1,,3,4,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,6,"N4",,3,4,,,0
2,2,209,2,1040,20006,102,1,,4,20000,1,,3,4,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,"N4",,3,4,,,0
2,2,209,2,1040,20006,103,1,,3,25000,1,,3,4,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,"N4",,3,4,,,0
2,2,209,2,1040,20006,105,1,,9,50000,1,,3,4,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
2,2,209,2,1040,20006,106,1,,1,70000,1,,3,4,2,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
2,2,209,2,1040,20006,110,1,,7,7000,1,4,3,4,2,,,,1,,,,,,,,,,2,,,,,,2,,,,,,7,,,"N4",,3,4,,0
2,2,209,2,1040,20006,114,1,,8,600,1,3,3,4,2,,,,,,,,,,,2,,,,,,,,2,2,,,,,,,2,,,,,,,0
2,2,209,2,1040,20006,118,1,,4,1000,1,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20006,120,1,,19,500,1,3,3,4,2,,,,3,,,,,,,,,,,,,,,3,2,,,,,,,2,,,,,,,0
2,2,209,2,1040,20007,106,1,,2,40000,1,,1,,1,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20007,110,1,,2,5000,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20007,114,1,,3,700,2,,2,,2,,,,10,,,,,,,,,,,,,,,,1,,,,10,,,,,,,,,,0
2,2,209,2,1040,20007,122,1,,1,1000,1,,2,3,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20008,110,1,,2,500,1,,1,3,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
2,2,209,2,1040,20009,110,1,,9,700,7,,7,,1,2,1,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0
2,2,209,2,1040,20010,114,1,,,,1,,1,,2,,,,14,,,,,,,,,,10,5000,"N1",,,2,1,4,,,14,,,,,,,,,,0
2,2,201,2,60,20021,110,1,,7,5000,1,,11,,2,,,,4,0,0,0,,,,0,0,1,3,12000,"N5",,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20021,114,1,,2,700,1,,11,,2,,,,18,0,0,0,,,,0,0,15,0,,,,3,3,,,,,,,,,,,,,,,0
2,2,201,2,60,20021,118,1,,5,400,1,,11,,2,,,,8,0,0,0,,,,0,0,4,0,,,,0,4,,,,,,,,,,,,,,,0
2,2,201,2,60,20022,101,1,,2,3000,1,,1,2,2,,,,,,2,0,,,,0,0,0,0,,,,0,,1,4,,,0,,,2,"N4",,4,10,11,,0
2,2,201,2,60,20022,102,1,,2,25000,1,,1,2,2,,,,,,2,0,,,,0,0,0,0,,,,0,,1,4,,,0,,,2,"N4",,4,10,11,,0
2,2,201,2,60,20022,103,1,,7,60000,1,,1,2,2,,,,,,2,1,50000,"N2",,0,0,0,0,,,,0,,1,4,,,0,,,7,"N4",,4,10,1,,0
2,2,201,2,60,20022,105,1,,14,70000,1,,1,2,2,,,,,,2,0,,,,0,0,0,0,,,,0,,1,4,,,0,,,14,"N4",,4,10,11,,0
2,2,201,2,60,20022,106,1,,4,120000,1,,1,2,2,,,,,,2,0,,,,0,0,0,3,23000,"N2","N3",0,2,2,,,,,,,,,,4,10,11,,0
2,2,201,2,60,20022,110,1,,20,8000,1,,1,2,2,,,,,,2,0,,,,0,0,0,4,6000,"N2","N3",0,3,1,1,9,,7,,,40,"N4",,1,9,,,0
2,2,201,2,60,20023,114,1,,23,500,1,2,2,3,2,,,,11,0,0,0,,,,1,0,0,5,4000,"N1",,0,2,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20023,118,1,,5,1000,1,2,2,3,2,,,,7,0,0,0,,,,2,0,0,2,1100,"N1",,0,1,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20024,110,1,,1,10000,2,,2,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,2,,,,,,,0
2,2,201,2,60,20024,114,1,,11,500,2,,2,,2,,,,3,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,,,2,,,,,,,0
2,2,201,2,60,20025,105,1,,17,50000,1,,1,,1,12,5,,0,0,0,17,500000,"N1","N2",0,0,0,0,,,,0,0,2,,,,,,,17,"N4",,3,,,,0
2,2,201,2,60,20025,110,1,,20,10000,1,2,2,1,2,,,,16,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20025,114,1,,13,1000,1,4,4,,2,,,,32,0,0,0,,,,0,0,0,1,600,"N3",,0,2,1,1,,,16,,0,,,,,,,,0
2,2,201,2,60,20026,105,1,,5,45000,1,,1,,2,,,,2,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20026,110,1,,5,6000,1,,1,,2,,,,2,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20026,111,1,,6,10000,1,,1,,2,,,,2,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20026,114,1,,20,500,2,,2,,2,,,,35,0,0,0,,,,4,0,10,12,6000,"N2","N3",0,9,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20027,119,1,,2,400,1,,,,2,,,,2,,0,2,200,"N1",,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20028,107,1,,2,90000,1,,,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,2,"N4",,4,5,7,,0
2,2,201,2,60,20028,118,1,,11,500,2,6,3,2,2,,,,5,0,0,0,,,,3,0,0,4,2600,"N3",,0,3,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20030,110,1,,62,5000,1,,1,2,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,201,2,60,20030,120,1,,44,800,1,,1,2,2,,,,10,0,0,0,,,,0,0,0,0,,,,0,2,1,1,1,,,,,0,,,,,,,0
2,2,216,2,200,20032,110,1,,5,5000,1,,1,6,2,,,,3,0,0,0,,,,0,0,1,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,216,2,200,20033,110,1,,4,4000,1,,1,,2,,,,3,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,216,2,200,20034,107,1,,2,90000,1,,1,8,2,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20035,114,1,,4,600,1,,1,,2,,,,7,0,0,0,,,,1,0,1,2,1100,"N3",,0,2,1,1,,,2,,,0,,,,,,,0
2,2,216,2,200,20037,110,1,,6,6000,1,,2,,2,,,,3,0,0,0,,,,0,0,1,2,11000,"N2",,0,1,2,,,,,,,0,,,,,,,0
2,2,216,2,200,20037,112,1,,1,4000,1,,2,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
2,2,216,2,200,20038,114,1,,3,600,1,6,1,3,2,,,,4,0,0,0,,,,0,0,0,1,500,"N3",,0,1,2,,,,,,,0,,,,,,,0
2,2,216,2,200,20040,107,1,,4,70000,1,,5,1,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
