"zone","state","lga","sector","ea","hhid","topic_cd","sa5aq1","sa5aq2a","sa5aq2b","trackingobs"
3,33,3321,1,1182,330006,3,1,11,,0
3,33,3321,1,1182,330007,1,1,11,,0
3,33,3321,1,1182,330007,2,1,11,,0
3,33,3321,1,1182,330007,3,1,11,,0
3,33,3321,1,1182,330009,1,1,11,,0
3,33,3321,1,1182,330009,2,1,12,,0
3,33,3321,1,1182,330009,3,1,11,,0
3,33,3321,1,1182,330009,5,1,12,,0
3,33,3321,1,1182,330010,1,1,11,,0
3,33,3321,1,1182,330010,2,1,11,,0
3,33,3321,1,1182,330010,3,1,11,,0
3,33,3321,1,1182,330010,5,1,11,,0
3,33,3311,1,702,330011,1,1,11,,0
3,33,3311,1,702,330011,3,1,11,,0
3,33,3311,1,702,330011,4,1,11,,0
3,33,3311,1,702,330011,5,1,11,,0
3,33,3311,1,702,330011,6,1,11,,0
3,33,3311,1,702,330011,10,1,11,,0
3,33,3311,1,702,330012,1,1,11,,0
3,33,3311,1,702,330012,2,1,11,,0
3,33,3311,1,702,330012,3,1,11,,0
3,33,3311,1,702,330012,4,1,11,,0
3,33,3311,1,702,330012,5,1,11,,0
3,33,3311,1,702,330012,6,1,11,,0
3,33,3311,1,702,330012,10,1,11,,0
3,33,3311,1,702,330012,11,1,11,,0
3,33,3311,1,702,330013,1,1,11,,0
3,33,3311,1,702,330013,2,1,11,,0
3,33,3311,1,702,330013,3,1,11,,0
3,33,3311,1,702,330013,4,1,11,,0
3,33,3311,1,702,330013,5,1,11,,0
3,33,3311,1,702,330013,6,1,11,,0
3,33,3311,1,702,330013,10,1,11,,0
3,33,3311,1,702,330014,1,1,11,,0
3,33,3311,1,702,330014,2,1,11,,0
3,33,3311,1,702,330014,3,1,11,,0
3,33,3311,1,702,330014,4,1,11,,0
3,33,3311,1,702,330014,5,1,11,,0
3,33,3311,1,702,330014,6,1,11,,0
3,33,3311,1,702,330014,10,1,11,,0
3,33,3311,1,702,330015,1,1,12,,0
3,33,3311,1,702,330015,3,1,12,,0
3,33,3311,1,702,330016,1,1,11,,0
3,33,3311,1,702,330016,2,1,11,,0
3,33,3311,1,702,330016,3,1,11,,0
3,33,3311,1,702,330016,4,1,11,,0
3,33,3311,1,702,330016,5,1,11,,0
3,33,3311,1,702,330016,6,1,11,,0
3,33,3311,1,702,330016,10,1,11,,0
3,33,3311,1,702,330018,2,1,11,,0
3,33,3311,1,702,330018,3,1,10,,0
3,33,3311,1,702,330019,2,1,11,,0
3,33,3311,1,702,330019,3,1,11,,0
3,33,3310,2,476,330021,3,1,11,,0
3,33,3310,2,476,330021,5,1,11,,0
3,33,3310,2,476,330022,1,1,11,,0
3,33,3310,2,476,330022,2,1,11,,0
3,33,3310,2,476,330022,3,1,11,,0
3,33,3310,2,476,330022,5,1,11,,0
3,33,3310,2,476,330022,6,1,11,,0
3,33,3310,2,476,330022,10,1,11,,0
3,33,3310,2,476,330022,11,1,11,,0
3,33,3310,2,476,330023,1,1,11,,0
3,33,3310,2,476,330023,2,1,11,,0
3,33,3310,2,476,330023,3,1,11,,0
3,33,3310,2,476,330023,5,1,11,,0
3,33,3310,2,476,330023,6,1,11,,0
3,33,3310,2,476,330023,10,1,11,,0
3,33,3310,2,476,330024,1,1,1,,0
3,33,3310,2,476,330024,2,1,1,,0
3,33,3310,2,476,330024,3,1,1,,0
3,33,3310,2,476,330024,4,1,1,,0
3,33,3310,2,476,330024,5,1,1,,0
3,33,3310,2,476,330024,6,1,1,,0
3,33,3310,2,476,330024,10,1,1,,0
3,33,3310,2,476,330024,11,1,1,,0
3,33,3310,2,476,330025,1,1,11,,0
3,33,3310,2,476,330025,3,1,11,,0
3,33,3310,2,476,330025,5,1,11,,0
3,33,3310,2,476,330026,1,1,11,,0
3,33,3310,2,476,330026,2,1,11,,0
3,33,3310,2,476,330026,3,1,11,,0
3,33,3310,2,476,330026,5,1,11,,0
3,33,3310,2,476,330026,10,1,11,,0
3,33,3310,2,476,330027,3,1,11,,0
3,33,3310,2,476,330027,5,1,11,,0
3,33,3310,2,476,330028,3,1,11,,0
3,33,3310,2,476,330028,5,1,11,,0
3,33,3310,2,476,330029,1,1,11,,0
3,33,3310,2,476,330029,3,1,11,,0
3,33,3310,2,476,330029,5,1,11,,0
3,33,3310,2,476,330030,1,1,1,,0
3,33,3310,2,476,330030,2,1,1,,0
3,33,3310,2,476,330030,3,1,1,,0
3,33,3310,2,476,330030,5,1,1,,0
3,33,3310,2,476,330030,6,1,1,,0
3,33,3310,2,476,330030,10,1,1,,0
3,33,3310,2,476,330030,11,1,1,,0
3,33,3323,2,92,330031,1,1,11,,0
3,33,3323,2,92,330031,2,1,11,,0
3,33,3323,2,92,330031,3,1,11,,0
3,33,3323,2,92,330031,5,1,11,,0
3,33,3323,2,92,330031,10,1,11,,0
3,33,3323,2,92,330032,1,1,11,,0
3,33,3323,2,92,330032,3,1,11,,0
3,33,3323,2,92,330032,5,1,11,,0
3,33,3323,2,92,330033,1,1,11,,0
3,33,3323,2,92,330033,3,1,11,,0
3,33,3323,2,92,330033,5,1,11,,0
3,33,3323,2,92,330034,1,1,11,,0
3,33,3323,2,92,330034,2,1,11,,0
3,33,3323,2,92,330034,3,1,11,,0
3,33,3323,2,92,330034,4,1,11,,0
3,33,3323,2,92,330034,5,1,11,,0
3,33,3323,2,92,330034,6,1,11,,0
3,33,3323,2,92,330034,10,1,11,,0
3,33,3323,2,92,330034,11,1,11,,0
3,33,3323,2,92,330034,12,1,11,,0
3,33,3323,2,92,330035,1,1,11,,0
3,33,3323,2,92,330035,2,1,11,,0
3,33,3323,2,92,330035,3,1,11,,0
3,33,3323,2,92,330035,5,1,11,,0
3,33,3323,2,92,330035,6,1,11,,0
3,33,3323,2,92,330035,10,1,11,,0
3,33,3323,2,92,330036,1,1,11,,0
3,33,3323,2,92,330036,2,1,11,,0
3,33,3323,2,92,330036,3,1,11,,0
3,33,3323,2,92,330036,5,1,11,,0
3,33,3323,2,92,330036,6,1,11,,0
3,33,3323,2,92,330036,10,1,11,,0
3,33,3323,2,92,330036,11,1,11,,0
3,33,3323,2,92,330037,1,1,11,,0
3,33,3323,2,92,330037,3,1,11,,0
3,33,3323,2,92,330037,5,1,11,,0
3,33,3323,2,92,330038,1,1,11,,0
3,33,3323,2,92,330038,3,1,11,,0
3,33,3323,2,92,330038,5,1,11,,0
3,33,3323,2,92,330039,1,1,11,,0
3,33,3323,2,92,330039,2,1,11,,0
3,33,3323,2,92,330039,3,1,11,,0
3,33,3323,2,92,330039,5,1,11,,0
