"zone","state","lga","sector","ea","resource_cd","resource_specify","c4q1","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4d","c4q5a","c4q5b","c4q5c"
2,5,516,2,942,402,,1,1,1,,,,,,,
2,5,516,2,942,403,,1,1,1,,,,,,,
2,5,516,2,942,404,,2,,,,,,,,,
2,5,516,2,942,405,,2,,,,,,,,,
2,5,518,2,1304,401,,2,,,,,,,,,
2,5,518,2,1304,402,,2,,,,,,,,,
2,5,518,2,1304,403,,2,,,,,,,,,
2,5,518,2,1304,404,,2,,,,,,,,,
2,5,518,2,1304,405,,2,,,,,,,,,
2,5,518,2,1588,401,,2,,,,,,,,,
2,5,518,2,1588,402,,2,,,,,,,,,
2,5,518,2,1588,403,,2,,,,,,,,,
2,5,518,2,1588,404,,2,,,,,,,,,
2,5,518,2,1588,405,,2,,,,,,,,,
2,5,520,2,1756,401,,1,1,1,4,,,,,,
2,5,520,2,1756,402,,1,1,1,4,,,,,,
2,5,520,2,1756,403,,1,1,1,4,,,,,,
2,5,520,2,1756,404,,2,,,,,,,,,
2,5,520,2,1756,405,,2,,,,,,,,,
5,6,601,2,640,401,,2,,,,,,,,,
5,6,601,2,640,402,,1,2,1,2,,,,1,,
5,6,601,2,640,403,,2,,,,,,,,,
5,6,601,2,640,404,,1,1,1,4,,,,3,,
5,6,601,2,640,405,,2,,,,,,,,,
5,6,602,2,1356,401,,1,1,1,4,,,,8,,
5,6,602,2,1356,402,,1,1,1,4,,,,8,,
5,6,602,2,1356,403,,1,1,1,4,,,,8,,
5,6,602,2,1356,404,,1,1,1,4,,,,8,,
5,6,602,2,1356,405,,2,,,,,,,,,
5,6,605,2,162,401,,1,1,1,5,,,,1,3,
5,6,605,2,162,402,,1,1,1,2,1,,,1,3,5
5,6,605,2,162,403,,1,1,1,5,1,,,1,3,
5,6,605,2,162,404,,1,1,1,4,,,,1,3,5
5,6,605,2,162,405,"RIVER",2,,,,,,,,,
5,6,606,2,1372,401,,1,1,1,4,,,,8,,
5,6,606,2,1372,402,,1,1,1,4,,,,8,,
5,6,606,2,1372,403,,1,1,1,4,,,,8,,
5,6,606,2,1372,404,,1,1,1,4,,,,8,,
5,6,607,2,1892,401,,1,2,1,3,,,,1,9,
5,6,607,2,1892,402,,1,2,1,3,,,,1,9,
5,6,607,2,1892,403,,2,,,,,,,,,
5,6,607,2,1892,404,,1,2,1,4,,,,8,,
5,6,607,2,1892,405,"SWAMP",1,1,1,4,,,,8,,
5,6,608,2,748,401,,1,1,1,2,4,,,1,,
5,6,608,2,748,402,,1,1,1,2,4,,,1,3,
5,6,608,2,748,403,,1,1,1,2,4,,,1,,
5,6,608,2,748,404,,1,1,1,2,4,,,1,,
5,6,608,2,748,405,,2,,,,,,,,,
5,6,608,1,3978,401,,1,2,1,1,2,,,1,3,
5,6,608,1,3978,402,,1,2,1,1,2,,,1,3,
5,6,608,1,3978,403,,1,2,1,1,2,,,1,3,
5,6,608,1,3978,404,,1,2,1,1,2,,,1,3,
5,6,608,1,3978,405,"RIVER",1,2,1,1,2,,,1,3,
1,7,701,2,606,401,,1,1,1,3,,,,1,5,
1,7,701,2,606,402,,1,1,1,3,,,,1,5,
1,7,701,2,606,403,,1,1,1,3,,,,1,5,
1,7,701,2,606,404,,1,1,1,4,,,,1,,
1,7,702,2,632,401,,1,1,1,3,,,,1,5,
1,7,702,2,632,402,,2,,,,,,,,,
1,7,702,2,632,403,,1,1,1,3,,,,1,5,
1,7,702,2,632,404,,1,1,1,4,,,,1,5,
1,7,705,2,4186,401,,2,,,,,,,,,
1,7,705,2,4186,402,,2,,,,,,,,,
1,7,705,2,4186,403,,2,,,,,,,,,
1,7,705,2,4186,404,,2,,,,,,,,,
1,7,705,2,4186,405,,2,,,,,,,,,
1,7,707,2,560,401,,2,,,,,,,,,
1,7,707,2,560,402,,2,,,,,,,,,
1,7,707,2,560,403,,2,,,,,,,,,
1,7,707,2,560,404,,2,,,,,,,,,
1,7,707,2,560,405,,2,,,,,,,,,
1,7,708,2,754,401,,2,,,,,,,,,
1,7,708,2,754,402,,2,,,,,,,,,
1,7,708,2,754,403,,2,,,,,,,,,
1,7,708,2,754,404,,2,,,,,,,,,
1,7,708,2,754,405,,2,,,,,,,,,
1,7,709,2,1226,401,,2,,,,,,,,,
1,7,709,2,1226,402,,2,,,,,,,,,
1,7,709,2,1226,403,,2,,,,,,,,,
1,7,709,2,1226,404,,2,,,,,,,,,
1,7,709,2,1226,405,,2,,,,,,,,,
1,7,710,2,2726,401,,2,,,,,,,,,
1,7,710,2,2726,402,,2,,,,,,,,,
1,7,710,2,2726,403,,2,,,,,,,,,
1,7,710,2,2726,404,,2,,,,,,,,,
1,7,710,2,2726,405,,2,,,,,,,,,
1,7,711,2,2532,401,,2,,,,,,,,,
1,7,711,2,2532,402,,2,,,,,,,,,
1,7,711,2,2532,403,,2,,,,,,,,,
1,7,711,2,2532,404,,2,,,,,,,,,
1,7,711,2,2532,405,,2,,,,,,,,,
1,7,713,2,304,401,,2,,,,,,,,,
1,7,713,2,304,402,,2,,,,,,,,,
1,7,713,2,304,403,,1,1,1,3,,,,1,5,
1,7,713,2,304,404,,1,1,1,4,,,,1,5,
1,7,715,1,294,401,,1,1,1,3,,,,1,,
1,7,715,1,294,402,,2,,,,,,,,,
1,7,715,1,294,403,,1,1,1,3,,,,1,,
1,7,715,1,294,404,,1,1,1,4,,,,1,,
1,7,715,2,780,401,,1,1,1,3,,,,1,5,
1,7,715,2,780,402,,1,1,1,3,,,,1,5,
1,7,715,2,780,403,,1,1,1,3,,,,1,5,
1,7,715,2,780,404,,1,1,1,4,,,,1,5,
1,7,717,2,1248,401,,1,1,1,3,,,,1,5,
1,7,717,2,1248,402,,1,1,1,4,,,,1,5,
1,7,717,2,1248,403,,1,1,2,3,,,,1,5,
1,7,717,2,1248,404,,1,1,2,4,,,,1,5,
1,7,717,2,1248,405,,1,1,2,3,,,,1,5,
1,7,718,2,1640,401,,1,1,1,3,,,,5,1,
1,7,718,2,1640,402,,1,1,1,3,,,,5,1,
1,7,718,2,1640,403,,1,1,1,3,,,,5,1,
1,7,718,2,1640,404,,1,1,1,4,,,,5,1,
1,7,719,1,1612,401,,2,,,,,,,,,
1,7,719,1,1612,402,,2,,,,,,,,,
1,7,719,1,1612,403,,2,,,,,,,,,
1,7,719,1,1612,404,,2,,,,,,,,,
1,7,722,2,234,401,,2,,,,,,,,,
1,7,722,2,234,402,,2,,,,,,,,,
1,7,722,2,234,403,,2,,,,,,,,,
1,7,722,2,234,404,,2,,,,,,,,,
1,7,722,2,234,405,,2,,,,,,,,,
1,7,722,2,892,401,,2,,,,,,,,,
1,7,722,2,892,402,,2,,,,,,,,,
1,7,722,2,892,403,,2,,,,,,,,,
1,7,722,2,892,404,,2,,,,,,,,,
1,7,722,2,892,405,,2,,,,,,,,,
2,8,802,2,1152,404,,1,1,1,1,,,,2,,
2,8,803,1,944,401,,2,,,,,,,,,
2,8,807,2,946,402,,1,1,1,4,,,,,,
2,8,807,2,946,403,,1,1,1,4,,,,,,
2,8,807,2,2396,402,,1,1,1,4,,,,,,
2,8,807,2,2396,403,,1,1,1,4,,,,,,
2,8,809,2,1748,401,,2,,,,,,,,,
2,8,813,2,2094,401,,2,,,,,,,,,
2,8,813,2,2094,402,,2,,,,,,,,,
2,8,813,2,2094,403,,2,,,,,,,,,
2,8,813,2,2094,404,,2,,,,,,,,,
2,8,813,2,2094,405,,2,,,,,,,,,
2,8,815,2,362,401,,2,,,,,,,,,
2,8,816,2,1270,401,,2,,,,,,,,,
2,8,816,2,1270,402,,2,,,,,,,,,
2,8,817,1,2476,401,,2,,,,,,,,,
2,8,820,2,1030,401,,2,,,,,,,,,
2,8,821,1,5062,401,,2,,,,,,,,,
2,8,821,1,5062,402,,2,,,,,,,,,
2,8,821,1,5062,403,,2,,,,,,,,,
2,8,821,1,5062,404,,2,,,,,,,,,
2,8,821,1,5062,405,,2,,,,,,,,,
2,8,823,2,548,401,,2,,,,,,,,,
2,8,824,2,768,401,,2,,,,,,,,,
2,8,826,2,926,401,,2,,,,,,,,,
5,9,901,2,398,401,,2,,,,,,,,,
5,9,901,2,398,402,,2,,,,,,,,,
5,9,901,2,398,403,,2,,,,,,,,,
5,9,901,2,398,404,,2,,,,,,,,,
5,9,903,2,48,401,,2,,,,,,,,,
5,9,903,2,48,402,,2,,,,,,,,,
5,9,903,2,48,403,,2,,,,,,,,,
5,9,903,2,48,404,,2,,,,,,,,,
5,9,903,2,48,405,,2,,,,,,,,,
5,9,905,2,978,401,,2,,,,,,,,,
