"zone","state","lga","sector","ea","amenities_cd","c5q1"
2,2,205,2,712,519,4
2,2,205,2,712,520,4
2,2,205,2,712,521,4
2,2,205,2,712,522,3
2,2,205,2,712,523,3
2,2,205,2,712,524,4
2,2,205,2,712,525,2
2,2,205,2,712,526,4
2,2,205,2,712,527,3
2,2,205,2,712,528,5
2,2,205,2,712,529,5
2,2,205,2,712,530,4
2,2,205,2,712,531,4
2,2,205,2,712,532,4
2,2,205,2,712,533,2
2,2,205,2,712,534,4
2,2,207,2,1302,501,4
2,2,207,2,1302,502,5
2,2,207,2,1302,503,4
2,2,207,2,1302,504,4
2,2,207,2,1302,505,2
2,2,207,2,1302,506,2
2,2,207,2,1302,507,1
2,2,207,2,1302,508,3
2,2,207,2,1302,509,6
2,2,207,2,1302,510,3
2,2,207,2,1302,511,2
2,2,207,2,1302,512,5
2,2,207,2,1302,513,3
2,2,207,2,1302,514,3
2,2,207,2,1302,515,4
2,2,207,2,1302,516,4
2,2,207,2,1302,517,4
2,2,207,2,1302,518,4
2,2,207,2,1302,519,4
2,2,207,2,1302,520,3
2,2,207,2,1302,521,3
2,2,207,2,1302,522,4
2,2,207,2,1302,523,4
2,2,207,2,1302,524,2
2,2,207,2,1302,525,2
2,2,207,2,1302,526,3
2,2,207,2,1302,527,4
2,2,207,2,1302,528,4
2,2,207,2,1302,529,5
2,2,207,2,1302,530,4
2,2,207,2,1302,531,3
2,2,207,2,1302,532,4
2,2,207,2,1302,533,2
2,2,207,2,1302,534,4
2,2,209,2,1040,501,2
2,2,209,2,1040,502,5
2,2,209,2,1040,503,2
2,2,209,2,1040,504,2
2,2,209,2,1040,505,2
2,2,209,2,1040,506,4
2,2,209,2,1040,507,4
2,2,209,2,1040,508,5
2,2,209,2,1040,509,5
2,2,209,2,1040,510,3
2,2,209,2,1040,511,2
2,2,209,2,1040,512,2
2,2,209,2,1040,513,5
2,2,209,2,1040,514,5
2,2,209,2,1040,515,4
2,2,209,2,1040,516,5
2,2,209,2,1040,517,5
2,2,209,2,1040,518,5
2,2,209,2,1040,519,5
2,2,209,2,1040,520,4
2,2,209,2,1040,521,3
2,2,209,2,1040,522,3
2,2,209,2,1040,523,3
2,2,209,2,1040,524,2
2,2,209,2,1040,525,3
2,2,209,2,1040,526,3
2,2,209,2,1040,527,5
2,2,209,2,1040,528,4
2,2,209,2,1040,529,4
2,2,209,2,1040,530,4
2,2,209,2,1040,531,3
2,2,209,2,1040,532,4
2,2,209,2,1040,533,2
2,2,209,2,1040,534,4
2,2,210,2,1300,501,4
2,2,210,2,1300,502,4
2,2,210,2,1300,503,4
2,2,210,2,1300,504,3
2,2,210,2,1300,505,2
2,2,210,2,1300,506,2
2,2,210,2,1300,507,2
2,2,210,2,1300,508,3
2,2,210,2,1300,509,3
2,2,210,2,1300,510,4
2,2,210,2,1300,511,4
2,2,210,2,1300,512,4
2,2,210,2,1300,513,4
2,2,210,2,1300,514,3
2,2,210,2,1300,515,3
2,2,210,2,1300,516,3
2,2,210,2,1300,517,3
2,2,210,2,1300,518,3
2,2,210,2,1300,519,3
2,2,210,2,1300,520,3
2,2,210,2,1300,521,4
2,2,210,2,1300,522,4
2,2,210,2,1300,523,4
2,2,210,2,1300,524,2
2,2,210,2,1300,525,2
2,2,210,2,1300,526,4
2,2,210,2,1300,527,4
2,2,210,2,1300,528,4
2,2,210,2,1300,529,4
2,2,210,2,1300,530,2
2,2,210,2,1300,531,2
2,2,210,2,1300,532,2
2,2,210,2,1300,533,4
2,2,210,2,1300,534,3
2,2,212,2,956,501,3
2,2,212,2,956,502,3
2,2,212,2,956,503,2
2,2,212,2,956,504,2
2,2,212,2,956,505,1
2,2,212,2,956,506,2
2,2,212,2,956,507,1
2,2,212,2,956,508,2
2,2,212,2,956,509,2
2,2,212,2,956,510,4
2,2,212,2,956,511,2
2,2,212,2,956,512,4
2,2,212,2,956,513,4
2,2,212,2,956,514,4
2,2,212,2,956,515,3
2,2,212,2,956,516,3
2,2,212,2,956,517,3
2,2,212,2,956,518,3
2,2,212,2,956,519,3
2,2,212,2,956,520,3
2,2,212,2,956,521,2
2,2,212,2,956,522,2
2,2,212,2,956,523,2
2,2,212,2,956,524,2
2,2,212,2,956,525,2
2,2,212,2,956,526,3
2,2,212,2,956,527,3
2,2,212,2,956,528,3
2,2,212,2,956,529,3
2,2,212,2,956,530,3
2,2,212,2,956,531,3
2,2,212,2,956,532,3
2,2,212,2,956,533,3
2,2,212,2,956,534,3
2,2,214,2,898,501,5
2,2,214,2,898,502,5
2,2,214,2,898,503,5
2,2,214,2,898,504,5
2,2,214,2,898,505,4
2,2,214,2,898,506,4
2,2,214,2,898,507,3
2,2,214,2,898,508,5
2,2,214,2,898,509,5
2,2,214,2,898,510,5
2,2,214,2,898,511,5
2,2,214,2,898,512,5
2,2,214,2,898,513,5
2,2,214,2,898,514,5
2,2,214,2,898,515,4
2,2,214,2,898,516,4
2,2,214,2,898,517,4
2,2,214,2,898,518,4
2,2,214,2,898,519,4
2,2,214,2,898,520,4
2,2,214,2,898,521,4
2,2,214,2,898,522,4
2,2,214,2,898,523,4
2,2,214,2,898,524,4
2,2,214,2,898,525,3
2,2,214,2,898,526,3
2,2,214,2,898,527,3
2,2,214,2,898,528,3
2,2,214,2,898,529,3
2,2,214,2,898,530,3
2,2,214,2,898,531,3
2,2,214,2,898,532,3
2,2,214,2,898,533,2
2,2,214,2,898,534,3
2,2,215,1,8,501,2
2,2,215,1,8,502,3
2,2,215,1,8,503,3
2,2,215,1,8,504,3
2,2,215,1,8,505,3
2,2,215,1,8,506,3
2,2,215,1,8,507,4
2,2,215,1,8,508,3
2,2,215,1,8,509,3
2,2,215,1,8,510,3
2,2,215,1,8,511,3
2,2,215,1,8,512,3
2,2,215,1,8,513,3
2,2,215,1,8,514,3
2,2,215,1,8,515,3
2,2,215,1,8,516,3
2,2,215,1,8,517,3
2,2,215,1,8,518,3
2,2,215,1,8,519,3
2,2,215,1,8,520,3
2,2,215,1,8,521,3
2,2,215,1,8,522,5
2,2,215,1,8,523,5
2,2,215,1,8,524,3
2,2,215,1,8,525,3
2,2,215,1,8,526,3
2,2,215,1,8,527,3
2,2,215,1,8,528,3
2,2,215,1,8,529,3
2,2,215,1,8,530,3
2,2,215,1,8,531,3
2,2,215,1,8,532,3
2,2,215,1,8,533,3
2,2,215,1,8,534,3
2,2,216,2,200,501,4
2,2,216,2,200,502,4
2,2,216,2,200,503,4
2,2,216,2,200,504,4
2,2,216,2,200,505,3
2,2,216,2,200,506,6
2,2,216,2,200,507,6
2,2,216,2,200,508,3
2,2,216,2,200,509,6
2,2,216,2,200,510,4
2,2,216,2,200,511,4
2,2,216,2,200,512,5
2,2,216,2,200,513,4
2,2,216,2,200,514,4
2,2,216,2,200,515,4
2,2,216,2,200,516,4
2,2,216,2,200,517,4
2,2,216,2,200,518,4
2,2,216,2,200,519,3
2,2,216,2,200,520,3
2,2,216,2,200,521,3
2,2,216,2,200,522,2
2,2,216,2,200,523,4
2,2,216,2,200,524,3
2,2,216,2,200,525,2
2,2,216,2,200,527,3
2,2,216,2,200,528,4
2,2,216,2,200,529,4
2,2,216,2,200,530,3
2,2,216,2,200,531,2
2,2,216,2,200,532,3
2,2,216,2,200,533,1
2,2,216,2,200,534,3
2,2,218,2,1592,501,3
2,2,218,2,1592,502,4
2,2,218,2,1592,503,4
2,2,218,2,1592,504,4
2,2,218,2,1592,506,3
2,2,218,2,1592,507,6
2,2,218,2,1592,508,6
2,2,218,2,1592,509,3
2,2,218,2,1592,510,3
2,2,218,2,1592,511,3
2,2,218,2,1592,512,4
2,2,218,2,1592,513,3
2,2,218,2,1592,514,3
2,2,218,2,1592,515,4
2,2,218,2,1592,516,4
2,2,218,2,1592,517,4
2,2,218,2,1592,518,4
2,2,218,2,1592,519,4
2,2,218,2,1592,520,3
2,2,218,2,1592,521,6
2,2,218,2,1592,522,6
2,2,218,2,1592,523,6
2,2,218,2,1592,524,6
2,2,218,2,1592,525,6
2,2,218,2,1592,526,6
2,2,218,2,1592,527,4
2,2,218,2,1592,528,4
2,2,218,2,1592,529,4
2,2,218,2,1592,530,4
2,2,218,2,1592,531,3
2,2,218,2,1592,532,3
2,2,218,2,1592,533,2
2,2,218,2,1592,534,3
2,2,221,2,18,501,3
2,2,221,2,18,502,5
2,2,221,2,18,503,5
2,2,221,2,18,504,3
2,2,221,2,18,505,3
2,2,221,2,18,506,3
2,2,221,2,18,507,1
2,2,221,2,18,508,3
2,2,221,2,18,509,2
2,2,221,2,18,510,3
2,2,221,2,18,511,3
2,2,221,2,18,512,4
2,2,221,2,18,513,4
2,2,221,2,18,514,3
2,2,221,2,18,515,4
2,2,221,2,18,516,5
2,2,221,2,18,517,5
2,2,221,2,18,518,5
2,2,221,2,18,519,5
2,2,221,2,18,520,4
2,2,221,2,18,521,3
2,2,221,2,18,522,3
2,2,221,2,18,523,1
2,2,221,2,18,524,2
2,2,221,2,18,526,2
2,2,221,2,18,527,1
2,2,221,2,18,528,4
2,2,221,2,18,529,4
2,2,221,2,18,530,5
2,2,221,2,18,531,3
2,2,221,2,18,532,4
2,2,221,2,18,533,3
2,2,221,2,18,534,3
5,3,301,1,1198,501,4
5,3,301,1,1198,502,4
5,3,301,1,1198,503,4
5,3,301,1,1198,504,3
5,3,301,1,1198,506,5
5,3,301,1,1198,507,3
5,3,301,1,1198,508,4
5,3,301,1,1198,509,6
5,3,301,1,1198,510,4
5,3,301,1,1198,511,4
5,3,301,1,1198,512,4
5,3,301,1,1198,513,4
5,3,301,1,1198,514,4
5,3,301,1,1198,515,3
5,3,301,1,1198,516,4
5,3,301,1,1198,517,4
5,3,301,1,1198,518,4
5,3,301,1,1198,519,4
5,3,301,1,1198,520,5
5,3,301,1,1198,521,4
5,3,301,1,1198,522,4
5,3,301,1,1198,523,4
5,3,301,1,1198,524,6
5,3,301,1,1198,525,6
5,3,301,1,1198,526,4
5,3,301,1,1198,527,3
5,3,301,1,1198,528,3
5,3,301,1,1198,529,3
5,3,301,1,1198,530,3
5,3,301,1,1198,531,4
5,3,301,1,1198,532,4
5,3,301,1,1198,533,4
5,3,301,1,1198,534,4
5,3,305,2,4,501,4
5,3,305,2,1542,501,3
5,3,305,2,1542,502,4
5,3,305,2,1542,503,3
5,3,305,2,1542,504,3
5,3,305,2,1542,505,3
5,3,305,2,1542,506,4
5,3,305,2,1542,507,3
5,3,305,2,1542,508,3
5,3,305,2,1542,509,3
5,3,305,2,1542,510,3
5,3,305,2,1542,511,4
5,3,305,2,1542,512,4
5,3,305,2,1542,513,4
5,3,305,2,1542,514,3
5,3,305,2,1542,516,4
5,3,305,2,1542,517,3
5,3,305,2,1542,518,3
5,3,305,2,1542,519,3
5,3,305,2,1542,520,4
5,3,305,2,1542,521,3
5,3,305,2,1542,522,4
5,3,305,2,1542,523,4
5,3,305,2,1542,524,6
5,3,305,2,1542,525,3
5,3,305,2,1542,526,4
5,3,305,2,1542,527,3
5,3,305,2,1542,528,3
5,3,305,2,1542,529,3
5,3,305,2,1542,530,4
5,3,305,2,1542,531,4
5,3,305,2,1542,532,5
5,3,305,2,1542,533,3
5,3,305,2,1542,534,3
5,3,307,1,634,501,4
5,3,307,1,634,502,4
5,3,307,1,634,503,3
