"zone","state","lga","sector","ea","item_cd","sc8q1","sc8q2"
4,1,106,2,880,88,1,300
4,1,106,2,880,90,2,0
4,1,106,2,880,91,1,120
4,1,106,2,880,101,2,0
4,1,106,2,880,102,1,30
4,1,106,2,880,103,2,0
4,1,106,2,880,104,2,0
4,1,106,2,880,105,2,0
4,1,106,2,880,106,2,0
4,1,106,2,880,107,1,100
4,1,106,2,880,108,1,30
4,1,106,2,880,109,2,20
4,1,106,2,880,111,1,160
4,1,106,2,880,120,2,0
4,1,106,2,880,121,2,0
4,1,106,2,880,122,2,0
4,1,106,2,880,123,2,0
4,1,106,2,880,125,1,800
4,1,106,2,880,126,1,25
4,1,106,2,880,130,1,700
4,1,106,2,880,131,2,0
4,1,106,2,880,132,2,0
4,1,106,2,880,133,1,700
4,1,106,2,880,134,2,0
4,1,106,2,880,136,2,0
4,1,106,2,880,140,2,0
4,1,106,2,880,141,1,350
4,1,106,2,880,142,1,350
4,1,106,2,880,143,1,450
4,1,106,2,880,144,2,0
4,1,106,2,880,145,1,350
4,1,106,2,880,146,2,0
4,1,106,2,880,147,1,100
4,1,106,2,880,150,2,0
4,1,106,2,880,152,1,1200
4,1,106,2,880,154,2,0
4,1,106,2,880,170,1,150
4,1,106,2,880,171,1,150
4,1,106,2,880,172,2,0
4,1,106,2,880,173,2,0
4,1,106,2,880,174,1,150
4,1,106,2,880,175,2,0
4,1,106,2,880,181,2,0
4,1,106,2,880,182,2,0
4,1,106,2,880,183,2,0
4,1,106,2,880,184,2,0
4,1,106,2,880,201,1,10
4,1,106,2,880,202,1,100
4,1,106,2,880,204,1,50
4,1,106,2,880,903,1,50
4,1,106,2,880,904,2,0
4,1,106,2,880,906,2,0
4,1,106,2,880,951,1,600
4,1,106,2,880,952,2,0
4,1,106,2,880,1511,2,0
4,1,106,2,880,1512,1,600
4,1,106,2,880,1513,1,1400
4,1,106,2,880,1531,1,60
4,1,106,2,880,1532,1,120
4,1,106,2,880,1533,2,0
4,1,106,2,880,1551,2,0
4,1,106,2,880,1552,2,0
4,1,106,2,880,1553,2,0
4,1,106,2,880,1601,1,20
4,1,106,2,880,1602,1,300
4,1,106,2,880,1611,2,0
4,1,106,2,880,1612,1,600
4,1,106,2,880,1613,1,1300
4,1,106,2,880,1621,1,10
4,1,106,2,880,1622,1,170
4,1,106,2,880,1801,1,10
4,1,106,2,880,1802,1,200
4,1,106,2,880,1901,1,10
4,1,106,2,880,1902,2,0
4,1,106,2,880,2001,1,60
4,1,106,2,880,2002,1,100
4,1,106,2,880,2003,1,150
4,1,106,2,880,2031,1,50
4,1,106,2,880,2032,2,0
4,1,106,2,880,2033,1,100
4,1,106,2,880,9001,2,0
4,1,106,2,880,9002,2,0
4,1,106,2,880,9003,1,200
4,1,106,2,880,9004,2,0
4,1,106,2,880,9011,1,180
4,1,106,2,880,9012,2,0
4,1,106,2,880,9013,1,300
4,1,106,2,880,9014,1,180
4,1,107,2,1044,1,2,0
4,1,107,2,1044,2,2,0
4,1,107,2,1044,3,1,100
4,1,107,2,1044,4,2,0
4,1,107,2,1044,5,1,120
4,1,107,2,1044,7,1,1160
4,1,107,2,1044,8,1,100
4,1,107,2,1044,9,1,10
4,1,107,2,1044,10,1,10
4,1,107,2,1044,11,2,0
4,1,107,2,1044,20,2,0
4,1,107,2,1044,21,2,0
4,1,107,2,1044,22,2,0
4,1,107,2,1044,23,2,0
4,1,107,2,1044,24,2,0
4,1,107,2,1044,30,2,0
4,1,107,2,1044,31,1,200
4,1,107,2,1044,32,1,90
4,1,107,2,1044,33,1,90
4,1,107,2,1044,34,1,5
4,1,107,2,1044,35,1,30
4,1,107,2,1044,36,2,0
4,1,107,2,1044,37,2,0
4,1,107,2,1044,38,1,100
4,1,107,2,1044,50,1,150
4,1,107,2,1044,51,2,0
4,1,107,2,1044,52,1,20
4,1,107,2,1044,53,1,10
4,1,107,2,1044,54,2,0
4,1,107,2,1044,55,2,0
4,1,107,2,1044,60,2,0
4,1,107,2,1044,61,2,0
4,1,107,2,1044,62,1,300
4,1,107,2,1044,63,2,0
4,1,107,2,1044,64,2,0
4,1,107,2,1044,65,1,30
4,1,107,2,1044,70,1,150
4,1,107,2,1044,71,2,0
4,1,107,2,1044,72,2,0
4,1,107,2,1044,73,2,0
4,1,107,2,1044,74,2,0
4,1,107,2,1044,75,2,0
4,1,107,2,1044,76,1,250
4,1,107,2,1044,78,1,250
4,1,107,2,1044,80,1,700
4,1,107,2,1044,81,2,0
4,1,107,2,1044,82,1,10
4,1,107,2,1044,83,2,0
4,1,107,2,1044,84,1,20
4,1,107,2,1044,85,1,10
4,1,107,2,1044,86,1,100
4,1,107,2,1044,87,2,0
4,1,107,2,1044,88,2,0
4,1,107,2,1044,90,2,0
4,1,107,2,1044,91,2,0
4,1,107,2,1044,101,2,0
4,1,107,2,1044,102,1,40
4,1,107,2,1044,103,2,0
4,1,107,2,1044,104,2,0
4,1,107,2,1044,105,2,0
4,1,107,2,1044,106,2,0
4,1,107,2,1044,107,2,0
4,1,107,2,1044,108,2,0
4,1,107,2,1044,109,2,0
4,1,107,2,1044,111,1,40
4,1,107,2,1044,120,2,0
4,1,107,2,1044,121,2,0
4,1,107,2,1044,122,2,0
4,1,107,2,1044,123,2,0
4,1,107,2,1044,125,1,800
4,1,107,2,1044,126,1,85
4,1,107,2,1044,130,2,0
4,1,107,2,1044,131,2,0
4,1,107,2,1044,132,2,0
4,1,107,2,1044,133,2,0
4,1,107,2,1044,134,2,0
4,1,107,2,1044,136,2,0
4,1,107,2,1044,140,2,0
4,1,107,2,1044,141,1,350
4,1,107,2,1044,142,1,400
4,1,107,2,1044,143,1,350
4,1,107,2,1044,144,2,0
4,1,107,2,1044,145,2,0
4,1,107,2,1044,146,2,0
4,1,107,2,1044,147,1,100
4,1,107,2,1044,150,2,0
4,1,107,2,1044,152,2,0
4,1,107,2,1044,154,2,0
4,1,107,2,1044,170,1,100
4,1,107,2,1044,171,1,150
4,1,107,2,1044,172,2,0
4,1,107,2,1044,173,2,0
4,1,107,2,1044,174,1,150
4,1,107,2,1044,175,2,0
4,1,107,2,1044,181,2,0
4,1,107,2,1044,182,2,0
4,1,107,2,1044,183,2,0
4,1,107,2,1044,184,2,0
4,1,107,2,1044,201,1,5
4,1,107,2,1044,202,1,100
4,1,107,2,1044,204,2,0
4,1,107,2,1044,903,1,50
4,1,107,2,1044,904,2,0
4,1,107,2,1044,905,2,0
4,1,107,2,1044,906,1,650
4,1,107,2,1044,951,1,200
4,1,107,2,1044,952,2,0
4,1,107,2,1044,1511,2,0
4,1,107,2,1044,1512,1,650
4,1,107,2,1044,1513,1,1400
4,1,107,2,1044,1531,1,60
4,1,107,2,1044,1532,1,120
4,1,107,2,1044,1533,2,0
4,1,107,2,1044,1551,2,0
4,1,107,2,1044,1552,2,0
4,1,107,2,1044,1553,2,0
4,1,107,2,1044,1601,1,20
4,1,107,2,1044,1602,1,300
4,1,107,2,1044,1611,2,0
4,1,107,2,1044,1612,1,600
4,1,107,2,1044,1613,1,1300
4,1,107,2,1044,1621,1,10
4,1,107,2,1044,1622,1,180
4,1,107,2,1044,1801,1,10
4,1,107,2,1044,1802,1,220
