"zone","state","lga","sector","ea","item_cd","itemspecify","sc7q1","sc7q2a","sc7q2b","sc7q3","sc7q4a","sc7q4b","sc7q4c","sc7q4d","sc7q4e","sc7q4f","sc7q5","sc7q6a","sc7q6b","sc7q6c","sc7q6d","sc7q6e","sc7q6f","sc7q7","sc7q8a","sc7q8b","sc7q8c","sc7q8d","sc7q8e","sc7q8f"
4,1,117,2,560,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,701,,1,3,,1,1,,,,,,2,,,,,,,,,,,,,
2,2,201,2,60,702,,1,3,,1,1,,,,,,1,2,,,,,,,,,,,,
2,2,201,2,60,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,705,,1,3,,1,1,,,,,,2,,,,,,,,,,,,,
2,2,201,2,60,706,,1,,,,,,,,,,1,2,,,,,,,,,,,,
2,2,201,2,60,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,708,,1,3,,1,,,,,,,1,2,,,,,,,,,,,,
2,2,201,2,60,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,710,,1,3,,1,1,,,,,,1,2,,,,,,,,,,,,
2,2,201,2,60,711,,1,3,,1,1,,,,,,1,2,,,,,,,,,,,,
2,2,201,2,60,712,,1,3,,1,1,,,,,,1,2,,,,,,,,,,,,
2,2,201,2,60,713,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,714,,1,3,,1,1,,,,,,1,2,,,,,,,,,,,,
2,2,201,2,60,715,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,701,,1,3,,,1,2,5,,,,1,1,1,2,2,2,,,,,,,,
2,2,203,2,1224,702,,1,3,,,1,2,5,,,,1,1,1,2,2,2,,1,2,1,1,1,1,
2,2,203,2,1224,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,705,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,706,,1,3,,,1,4,2,,,,1,1,1,2,2,2,,2,1,1,1,1,1,1
2,2,203,2,1224,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,708,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,709,,1,3,,,1,2,4,5,,,1,1,1,1,1,2,,2,1,1,1,1,1,1
2,2,203,2,1224,710,,1,3,,,1,2,4,5,,,1,1,1,1,1,2,,2,1,1,1,1,1,1
2,2,203,2,1224,711,,1,3,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,712,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,713,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,203,2,1224,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,701,,1,3,,1,8,1,3,,,,2,,,,,,,,,,,,,
2,2,205,2,712,702,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,703,,1,3,,1,8,1,3,,,,2,,,,,,,,,,,,,
2,2,205,2,712,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,705,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,706,,1,10,,2,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,708,,1,10,,2,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,710,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,711,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,712,,1,10,,2,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,713,,1,10,,2,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,205,2,712,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,701,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,702,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,705,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,706,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,708,,1,11,,1,1,2,3,,,,1,1,2,2,2,1,,2,1,2,1,1,1,2
2,2,207,2,1302,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,710,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,711,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,712,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,713,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,207,2,1302,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,701,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,702,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,705,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,706,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,708,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,710,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,711,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,712,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,713,".",2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,715,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,701,,1,3,,1,1,2,8,7,,,1,2,2,2,1,1,,1,1,2,2,2,2,1
2,2,210,2,1300,702,,1,3,,1,1,2,,,,,1,2,2,2,1,1,,1,1,2,2,2,2,1
2,2,210,2,1300,703,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,704,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,705,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,706,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,707,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,708,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,709,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,710,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,711,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,712,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,713,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,714,,2,,,,,,,,,,,,,,,,,,,,,,,
2,2,210,2,1300,715,,2,,,,,,,,,,,,,,,,,,,,,,,
