"zone","state","lga","sector","ea","resource_cd","resourcespec","sc4q1","sc4q2","sc4q3","sc4q4a","sc4q4b","sc4q4c","sc4q4d","sc4q5a","sc4q5b","sc4q5c","sc4q5d"
1,7,709,2,1226,402,,2,,,,,,,,,,
1,7,709,2,1226,403,,2,,,,,,,,,,
1,7,709,2,1226,404,,2,,,,,,,,,,
1,7,709,2,1226,405,,2,,,,,,,,,,
1,7,710,2,2726,401,,2,,,,,,,,,,
1,7,710,2,2726,402,,2,,,,,,,,,,
1,7,710,2,2726,403,,2,,,,,,,,,,
1,7,710,2,2726,404,,2,,,,,,,,,,
1,7,710,2,2726,405,,2,,,,,,,,,,
1,7,711,2,2532,401,,2,,,,,,,,,,
1,7,711,2,2532,402,,2,,,,,,,,,,
1,7,711,2,2532,403,,2,,,,,,,,,,
1,7,711,2,2532,404,,2,,,,,,,,,,
1,7,711,2,2532,405,,2,,,,,,,,,,
1,7,713,2,304,401,,2,,,,,,,,,,
1,7,713,2,304,402,,2,,,,,,,,,,
1,7,713,2,304,403,,2,,,,,,,,,,
1,7,713,2,304,404,,2,,,,,,,,,,
1,7,715,1,294,401,"ARABLE",1,1,1,3,1,,,1,2,5,
1,7,715,2,780,401,"ARABLE LAND",1,1,1,3,2,,,1,2,5,
1,7,717,2,1248,401,,2,,,,,,,,,,
1,7,717,2,1248,402,,2,,,,,,,,,,
1,7,717,2,1248,403,,2,,,,,,,,,,
1,7,717,2,1248,404,,2,,,,,,,,,,
1,7,717,2,1248,405,,2,,,,,,,,,,
1,7,718,2,1640,401,"ARABLE LAND",1,1,1,4,,,,1,5,2,
1,7,718,2,1640,404,"WATER BODY",1,1,1,4,,,,1,5,2,
1,7,722,2,234,401,,2,,,,,,,,,,
1,7,722,2,234,402,,2,,,,,,,,,,
1,7,722,2,234,403,,2,,,,,,,,,,
1,7,722,2,234,404,,2,,,,,,,,,,
1,7,722,2,234,405,,2,,,,,,,,,,
1,7,722,2,892,401,,2,,,,,,,,,,
1,7,722,2,892,402,,2,,,,,,,,,,
1,7,722,2,892,403,,2,,,,,,,,,,
1,7,722,2,892,404,,2,,,,,,,,,,
1,7,722,2,892,405,,2,,,,,,,,,,
2,8,802,2,1152,404,,1,1,1,1,,,,2,,,
2,8,803,1,944,401,,2,,,,,,,,,,
2,8,803,1,944,402,,2,,,,,,,,,,
2,8,803,1,944,403,,2,,,,,,,,,,
2,8,803,1,944,404,,2,,,,,,,,,,
2,8,803,1,944,405,,2,,,,,,,,,,
2,8,805,2,46,401,,2,,,,,,,,,,
2,8,807,2,946,401,,2,,,,,,,,,,
2,8,807,2,2396,403,,1,2,1,4,,,,8,,,
2,8,809,2,1748,401,,1,1,1,1,3,,,3,,,
2,8,811,1,1558,401,,2,,,,,,,,,,
2,8,811,1,1558,402,,2,,,,,,,,,,
2,8,811,1,1558,403,,1,1,1,4,,,,8,,,
2,8,811,1,1558,404,,1,1,1,1,,,,2,5,,
2,8,811,1,1558,405,,2,,,,,,,,,,
2,8,815,2,362,401,,2,,,,,,,,,,
2,8,821,1,1448,401,,,,,,,,,,,,
2,8,823,2,548,401,,2,,,,,,,,,,
2,8,826,2,926,401,,1,1,1,2,4,,,3,,,
5,9,901,2,398,401,,2,,,,,,,,,,
5,9,901,2,398,402,,2,,,,,,,,,,
5,9,901,2,398,403,,2,,,,,,,,,,
5,9,901,2,398,404,,2,,,,,,,,,,
5,9,901,2,398,405,,2,,,,,,,,,,
5,9,903,2,48,401,,2,,,,,,,,,,
5,9,903,2,48,402,,2,,,,,,,,,,
5,9,903,2,48,403,,2,,,,,,,,,,
5,9,903,2,48,404,,2,,,,,,,,,,
5,9,903,2,48,405,,2,,,,,,,,,,
5,9,905,2,978,401,,2,,,,,,,,,,
5,9,905,2,978,402,,2,,,,,,,,,,
5,9,905,2,978,403,,2,,,,,,,,,,
5,9,905,2,978,404,,2,,,,,,,,,,
5,9,905,2,978,405,,2,,,,,,,,,,
5,9,907,2,1446,401,,2,,,,,,,,,,
5,9,907,2,1446,402,,2,,,,,,,,,,
5,9,907,2,1446,403,,2,,,,,,,,,,
5,9,907,2,1446,404,,2,,,,,,,,,,
5,9,907,2,1446,405,,,,,,,,,,,,
5,9,908,1,278,401,,2,,,,,,,,,,
5,9,908,1,278,402,,2,,,,,,,,,,
5,9,908,1,278,403,,2,,,,,,,,,,
5,9,908,1,278,404,,2,,,,,,,,,,
