"zone","state","lga","sector","ea","group_cd","groupspecify","sc3q1","sc3q2","sc3q3a","sc3q3b","sc3q4","sc3q5","sc3q6"
2,2,215,1,8,307,,1,1,1,,40,15,12
2,2,215,1,8,308,,2,,,,,,
2,2,215,1,8,309,,2,,,,,,
2,2,215,1,8,310,,1,1,3,,13,3,0
2,2,215,1,8,311,,1,2,3,,26,0,0
2,2,215,1,8,312,,2,,,,,,
2,2,215,1,8,313,,2,,,,,,
2,2,215,1,8,314,,2,,,,,,
2,2,215,1,8,315,,2,,,,,,
2,2,216,2,200,301,,2,,,,,,
2,2,216,2,200,302,,2,,,,,,
2,2,216,2,200,303,,1,1,5,,23,13,20
2,2,216,2,200,304,,2,,,,,,
2,2,216,2,200,305,,1,1,2,,15,15,5
2,2,216,2,200,306,,1,1,2,,25,10,20
2,2,216,2,200,307,,1,3,1,,36,12,30
2,2,216,2,200,308,,1,1,5,,40,10,20
2,2,216,2,200,309,,2,,,,,,
2,2,216,2,200,310,,2,,,,,,
2,2,216,2,200,311,,1,1,3,,31,5,10
2,2,216,2,200,312,,2,,,,,,
2,2,216,2,200,313,,2,,,,,,
2,2,216,2,200,314,,2,,,,,,
2,2,216,2,200,315,,2,,,,,,
2,2,218,2,1592,301,,2,,,,,,
2,2,218,2,1592,302,,2,,,,,,
2,2,218,2,1592,303,,2,,,,,,
2,2,218,2,1592,304,,2,,,,,,
2,2,218,2,1592,305,,2,,,,,,
2,2,218,2,1592,306,,1,1,2,,50,0,10
2,2,218,2,1592,307,,2,,,,,,
2,2,218,2,1592,308,,2,,,,,,
2,2,218,2,1592,309,,2,,,,,,
2,2,218,2,1592,310,,2,,,,,,
2,2,218,2,1592,311,,2,,,,,,
2,2,218,2,1592,312,,2,,,,,,
2,2,218,2,1592,313,,2,,,,,,
2,2,218,2,1592,314,,2,,,,,,
2,2,218,2,1592,315,,2,,,,,,
2,2,221,2,18,301,,2,,,,,,
2,2,221,2,18,302,,2,,,,,,
2,2,221,2,18,303,,2,,,,,,
2,2,221,2,18,304,,2,,,,,,
2,2,221,2,18,305,,2,,,,,,
2,2,221,2,18,306,,2,,,,,,
2,2,221,2,18,307,,1,3,1,,56,16,38
2,2,221,2,18,308,,2,,,,,,
2,2,221,2,18,309,,2,,,,,,
2,2,221,2,18,310,,2,,,,,,
2,2,221,2,18,311,,1,1,2,,30,10,15
2,2,221,2,18,312,,2,,,,,,
2,2,221,2,18,313,,2,,,,,,
2,2,221,2,18,314,,2,,,,,,
2,2,221,2,18,315,,2,,,,,,
5,3,301,1,1198,301,"VILLAGE DEVELOPNENT",1,1,6,"WHEN NEED ARISE",6,,1
5,3,301,1,1198,302,"SAVIING /credit co-opera",2,,,,,,
5,3,301,1,1198,303,,2,,,,,,
