"zone","state","lga","sector","ea","pid","sc1q2","sc1q3","sc1q5","sc1q6"
2,8,802,2,1152,4,1,52,52,23
2,8,802,2,1152,5,1,39,39,23
2,8,802,2,1152,6,1,60,60,28
2,8,803,1,944,1,1,51,51,43
2,8,803,1,944,2,2,48,48,41
2,8,803,1,944,3,1,58,58,51
2,8,803,1,944,4,1,55,55,0
2,8,803,1,944,5,1,59,59,34
2,8,805,2,46,1,1,65,65,41
2,8,805,2,46,2,1,70,70,51
2,8,805,2,46,3,1,50,50,42
2,8,805,2,46,4,1,49,49,16
2,8,805,2,46,5,1,35,35,41
2,8,807,2,946,1,1,75,75,0
2,8,807,2,946,2,2,48,45,0
2,8,807,2,946,3,1,40,40,52
2,8,807,2,946,4,1,42,42,16
2,8,807,2,946,5,1,50,50,0
2,8,807,2,946,6,1,51,51,16
2,8,807,2,1438,1,1,72,72,0
2,8,807,2,1438,2,1,44,44,26
2,8,807,2,1438,3,2,68,68,0
2,8,807,2,1438,4,1,50,50,41
2,8,807,2,1438,5,1,69,42,51
2,8,807,2,2396,1,1,52,51,23
2,8,807,2,2396,2,2,30,11,34
2,8,807,2,2396,3,1,48,48,34
2,8,807,2,2396,4,1,50,50,52
2,8,807,2,2396,5,1,45,40,34
2,8,807,2,2396,6,1,35,35,13
2,8,809,2,1748,1,1,50,50,0
2,8,809,2,1748,2,2,58,38,0
2,8,809,2,1748,3,1,60,60,0
2,8,809,2,1748,4,1,42,42,34
2,8,809,2,1748,5,1,75,75,51
2,8,811,2,390,1,1,44,44,51
2,8,811,2,390,2,2,35,35,26
2,8,811,2,390,3,1,36,36,23
2,8,811,2,390,4,1,42,30,51
2,8,811,2,390,5,1,34,34,51
2,8,811,2,390,6,1,30,30,26
2,8,811,1,1558,1,1,44,44,42
2,8,811,1,1558,2,2,35,35,41
2,8,811,1,1558,3,1,54,54,41
2,8,811,1,1558,4,1,45,30,28
2,8,811,1,1558,5,1,40,40,23
2,8,812,2,866,1,1,60,60,51
2,8,812,2,866,2,2,45,45,14
