"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d"
2,2,221,2,18,20020,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,201,2,60,20021,7,0,0,0,0,0,0,0,0,1,2,1,,,,2,,,,,,,,,,
2,2,201,2,60,20022,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,201,2,60,20023,5,2,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,,,,,4,5,,
2,2,201,2,60,20024,4,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
2,2,201,2,60,20025,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,,,,,,10,,,"SOLD PART OF PRODUCE"
2,2,201,2,60,20026,4,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,
2,2,201,2,60,20027,7,0,0,0,0,0,0,0,2,2,0,1,,,,2,,,,,,,,,,
2,2,201,2,60,20028,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,1,3,2,1,2,3,4,5,1,
2,2,201,2,60,20029,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
2,2,201,2,60,20030,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,216,2,200,20031,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
2,2,216,2,200,20032,7,0,0,0,0,0,0,0,0,2,3,1,,,,1,8,,,,,,2,1,3,
2,2,216,2,200,20033,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,216,2,200,20034,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,216,2,200,20035,3,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
