"zone","state","lga","sector","ea","hhid","item_cd","s10cq9","s10cq10"
1,7,722,2,234,70035,3,5,8
1,7,722,2,234,70035,4,1,2
1,7,722,2,234,70036,1,7,3
1,7,722,2,234,70036,2,7,3
1,7,722,2,234,70036,3,7,3
1,7,722,2,234,70036,4,7,3
1,7,722,2,234,70037,2,2,4
1,7,722,2,234,70037,3,3,3
1,7,722,2,234,70037,4,1,1
1,7,722,2,234,70038,1,3,3
1,7,722,2,234,70038,2,7,3
1,7,722,2,234,70038,3,7,3
1,7,722,2,234,70039,2,7,3
1,7,722,2,234,70039,3,7,3
1,7,722,2,234,70039,4,3,3
1,7,722,2,234,70040,2,3,3
1,7,722,2,234,70040,3,7,3
1,7,722,2,892,70041,1,3,3
1,7,722,2,892,70041,2,7,3
1,7,722,2,892,70041,3,3,1
1,7,722,2,892,70042,1,3,1
1,7,722,2,892,70042,2,2,2
1,7,722,2,892,70042,3,3,1
1,7,722,2,892,70043,2,2,4
1,7,722,2,892,70043,3,3,4
1,7,722,2,892,70043,4,1,1
1,7,722,2,892,70044,2,2,4
1,7,722,2,892,70044,3,4,6
1,7,722,2,892,70044,4,1,2
1,7,722,2,892,70045,2,2,4
1,7,722,2,892,70045,3,2,2
1,7,722,2,892,70047,2,7,3
1,7,710,2,2726,70051,1,7,3
1,7,710,2,2726,70051,2,7,3
1,7,710,2,2726,70051,3,7,3
1,7,710,2,2726,70052,2,3,6
1,7,710,2,2726,70052,3,4,5
1,7,710,2,2726,70052,4,1,2
1,7,710,2,2726,70053,1,7,3
1,7,710,2,2726,70053,2,7,3
1,7,710,2,2726,70053,3,7,3
1,7,710,2,2726,70053,4,7,3
1,7,710,2,2726,70054,2,3,5
1,7,710,2,2726,70054,3,5,6
1,7,710,2,2726,70054,4,1,2
1,7,710,2,2726,70055,2,2,3
1,7,710,2,2726,70055,3,3,3
1,7,710,2,2726,70057,1,1,1
1,7,710,2,2726,70057,2,7,3
1,7,710,2,2726,70057,3,1,1
1,7,710,2,2726,70058,2,2,4
1,7,710,2,2726,70058,3,5,7
1,7,710,2,2726,70058,4,1,1
1,7,711,2,2532,70062,2,4,7
1,7,711,2,2532,70062,3,3,7
1,7,711,2,2532,70063,1,2,1
1,7,711,2,2532,70063,2,7,3
1,7,711,2,2532,70063,3,4,3
1,7,711,2,2532,70065,2,3,6
1,7,711,2,2532,70065,3,3,4
1,7,711,2,2532,70065,4,1,2
1,7,711,2,2532,70066,1,7,3
1,7,711,2,2532,70066,2,7,3
1,7,711,2,2532,70066,3,7,3
1,7,711,2,2532,70066,4,7,3
1,7,711,2,2532,70068,1,3,7
1,7,711,2,2532,70068,2,3,7
1,7,711,2,2532,70068,3,3,7
1,7,711,2,2532,70070,1,7,3
1,7,711,2,2532,70070,2,7,3
1,7,711,2,2532,70070,3,7,3
1,7,709,2,1226,70071,3,1,1
1,7,709,2,1226,70072,2,2,4
1,7,709,2,1226,70072,3,4,7
1,7,709,2,1226,70072,4,1,1
1,7,709,2,1226,70074,3,4,7
1,7,709,2,1226,70074,4,1,1
1,7,709,2,1226,70075,1,2,3
1,7,709,2,1226,70075,2,5,3
1,7,709,2,1226,70075,3,7,3
1,7,709,2,1226,70076,1,2,2
1,7,709,2,1226,70076,2,3,5
1,7,709,2,1226,70076,3,2,6
1,7,709,2,1226,70077,3,2,4
1,7,709,2,1226,70079,3,1,1
1,7,709,2,1226,70080,3,2,2
2,8,813,2,2094,80001,1,4,4
2,8,813,2,2094,80001,2,3,5
2,8,813,2,2094,80001,3,6,12
2,8,813,2,2094,80003,1,1,2
2,8,813,2,2094,80003,2,2,1
2,8,813,2,2094,80003,3,2,1
2,8,813,2,2094,80007,2,7,8
2,8,821,1,1448,80013,3,7,14
2,8,821,1,1448,80013,4,7,9
2,8,821,1,1448,80019,2,7,14
2,8,821,1,5062,80029,1,2,
2,8,821,1,5062,80029,2,2,
2,8,821,1,5062,80029,3,1,3
2,8,821,1,5062,80029,4,2,
2,8,821,1,5062,80030,2,3,6
2,8,821,1,5062,80030,3,7,13
2,8,816,2,1270,80034,3,4,6
2,8,816,2,1270,80037,1,2,3
2,8,816,2,1270,80037,2,2,4
2,8,803,1,944,80049,1,3,4
2,8,803,1,944,80049,2,4,5
2,8,803,1,944,80049,3,2,2
2,8,811,1,1558,80051,1,2,4
2,8,811,1,1558,80051,2,5,6
2,8,811,1,1558,80051,3,5,6
2,8,811,1,1558,80058,2,3,3
2,8,811,1,1558,80058,3,4,4
2,8,811,1,1558,80059,3,4,12
2,8,811,1,1558,80060,3,5,1
2,8,811,2,390,80061,1,2,3
2,8,811,2,390,80061,2,1,4
2,8,811,2,390,80061,3,2,2
2,8,811,2,390,80062,4,7,
2,8,811,2,390,80064,1,1,
2,8,811,2,390,80064,2,3,
2,8,811,2,390,80064,3,1,
2,8,811,2,390,80067,1,4,3
2,8,811,2,390,80067,2,1,2
2,8,811,2,390,80067,3,2,2
2,8,811,2,390,80068,3,7,7
2,8,802,2,1152,80075,1,3,2
2,8,802,2,1152,80075,2,2,4
2,8,802,2,1152,80075,3,1,1
2,8,802,2,1152,80079,1,6,2
2,8,802,2,1152,80079,2,1,1
2,8,802,2,1152,80079,3,1,3
2,8,802,2,1152,80079,4,1,1
2,8,812,2,866,80086,1,2,1
2,8,812,2,866,80086,2,2,2
2,8,812,2,866,80090,3,4,6
2,8,812,2,866,80090,4,4,5
2,8,805,2,46,80091,1,1,
2,8,805,2,46,80091,3,7,14
2,8,805,2,46,80099,2,2,5
2,8,805,2,46,80099,3,1,2
2,8,805,2,46,80099,4,1,1
2,8,827,2,804,80101,3,3,5
2,8,827,2,804,80101,4,4,6
2,8,827,2,804,80108,1,3,5
2,8,827,2,804,80108,3,2,3
2,8,807,2,946,80114,3,7,14
2,8,807,2,946,80120,2,3,4
2,8,807,2,2396,80121,1,2,3
2,8,807,2,2396,80121,2,4,8
2,8,807,2,2396,80121,3,5,10
2,8,807,2,2396,80127,1,2,4
2,8,807,2,2396,80127,2,5,5
2,8,807,2,2396,80128,1,1,4
2,8,807,2,2396,80128,2,1,5
2,8,807,2,1438,80132,3,7,14
2,8,820,2,1030,80144,3,4,6
2,8,824,2,768,80156,1,2,14
2,8,824,2,768,80156,2,2,14
2,8,824,2,768,80157,3,3,5
2,8,817,1,2476,80167,3,4,3
2,8,817,1,2476,80170,3,4,2
2,8,823,2,548,80171,3,2,3
2,8,823,2,548,80171,4,7,14
2,8,823,2,548,80177,2,2,2
2,8,823,2,548,80177,3,1,3
2,8,823,2,548,80178,1,2,2
2,8,823,2,548,80178,2,1,1
2,8,823,2,548,80178,3,3,4
2,8,823,2,548,80179,3,4,8
2,8,809,2,1748,80181,3,3,5
2,8,809,2,1748,80181,4,7,14
2,8,809,2,1748,80184,3,7,14
2,8,809,2,1748,80186,1,2,3
2,8,809,2,1748,80186,2,3,4
2,8,809,2,1748,80188,3,2,3
2,8,826,2,926,80195,4,7,14
2,8,815,2,362,80201,3,5,5
2,8,815,2,362,80204,1,3,1
2,8,815,2,362,80204,2,3,1
2,8,815,2,362,80204,3,4,2
2,8,815,2,362,80205,3,3,3
5,9,908,1,278,90005,3,1,3
5,9,908,1,278,90009,2,2,2
5,9,908,1,278,90010,3,2,2
5,9,903,2,48,90014,3,2,2
5,9,903,2,48,90018,3,1,1
5,9,903,2,48,90019,1,1,1
5,9,903,2,48,90019,2,1,1
5,9,903,2,48,90019,3,1,1
5,9,903,2,48,90019,4,2,2
5,9,903,2,48,90020,1,2,4
5,9,903,2,48,90020,2,3,6
5,9,903,2,48,90020,3,6,12
5,9,903,2,48,90020,4,7,10
5,9,915,1,1390,90026,2,2,1
5,9,915,1,1390,90026,3,1,1
5,9,917,1,1254,90035,3,3,2
5,9,917,1,1254,90036,4,7,1
5,9,917,1,1254,90037,3,2,2
5,9,917,1,1254,90038,3,4,1
5,9,917,1,1254,90039,1,3,2
5,9,917,1,1254,90039,3,1,2
5,9,901,2,398,90047,3,2,2
5,9,910,2,200,90051,1,2,
5,9,910,2,200,90054,3,1,7
5,9,910,2,200,90055,2,2,1
5,9,910,2,200,90055,3,2,1
5,9,910,2,200,90058,2,2,2
5,9,907,2,1446,90066,2,2,2
5,9,907,2,1446,90067,1,1,2
5,9,907,2,1446,90067,3,2,2
5,9,907,2,1446,90068,3,1,2
5,9,907,2,1446,90068,4,1,2
5,9,907,2,1446,90070,2,7,7
5,9,907,2,1446,90070,3,7,7
5,9,912,2,102,90071,2,2,1
5,9,912,2,102,90072,3,3,1
5,9,912,2,102,90073,1,7,1
5,9,912,2,102,90073,2,7,1
5,9,912,2,102,90074,2,1,1
5,9,912,2,102,90074,3,1,1
5,9,912,2,102,90076,3,1,1
5,9,912,2,102,90076,4,7,1
5,9,912,2,102,90080,3,2,2
5,9,916,2,1068,90082,4,7,7
5,9,916,2,1068,90086,3,2,2
5,9,916,2,1068,90087,2,2,1
5,9,916,2,1068,90087,3,2,1
5,9,916,2,1068,90087,4,1,1
5,9,916,2,1068,90090,2,2,3
5,9,916,2,1068,90090,3,2,2
5,9,918,2,834,90097,2,1,1
5,9,918,2,834,90099,2,4,4
5,9,918,2,834,90099,3,4,4
5,9,918,2,834,90100,3,3,6
5,9,905,2,978,90104,4,7,2
5,9,905,2,978,90106,3,1,1
5,9,905,2,978,90107,2,2,1
