"zone","state","lga","sector","ea","hhid","indiv","s4bq1","s4bq2","s4bq3","s4bq4","s4bq4b","s4bq5","s4bq6","s4bq7","s4bq8","s4bq9","s4bq10","s4bq11","s4bq12","s4bq13","s4bq14","s4bq15","s4bq16","s4bq17","s4bq18","s4bq19","s4bq20","s4bq21","s4bq22","s4bq23","s4bq23b","s4bq24","s4bq25","s4bq25b","s4bq26a","s4bq26b","s4bq26c","s4bq26d","s4bq26e","s4bq27","s4bq28"
2,2,221,2,18,20018,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20018,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20018,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20018,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20018,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20019,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20019,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20020,9,1,7,1,3,,4,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1,,,0,,,1,8,,,,,2
2,2,201,2,60,20021,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20022,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20022,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20022,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20023,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20023,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20023,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20023,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20023,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20023,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20023,7,1,2,1,3,,5,,2,1,1,1,1,1,1,1,1,1,2,2,1,1,,1,,,0,5,,2,5,7,,,5,2
2,2,201,2,60,20023,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20024,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20024,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20024,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20024,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20025,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
