"zone","state","lga","sector","ea","hhid","indiv","s3bq1a","s3bq1b","s3bq1c","s3bsept10","s3bq1d","s3bq1e","s3bq1f","s3boct10","s3bq1g","s3bq1h","s3bq1i","s3bnov10","s3bq1j","s3bq1k","s3bq1l","s3bdec10","s3bq1m","s3bq1n","s3bq1o","s3bjan11","s3bq1p","s3bq1q","s3bq1r","s3bfeb11","trackingobs"
4,1,111,1,1146,10035,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10036,1,14,,,,14,,,,8,,,,8,,,,14,,,,14,,,,0
4,1,111,1,1146,10036,2,14,,,,14,,,,8,,,,8,,,,14,,,,14,,,,0
4,1,111,1,1146,10036,4,14,,,,14,,,,8,,,,8,,,,14,,,,14,,,,0
4,1,111,1,1146,10036,5,14,,,,14,,,,8,,,,8,,,,14,,,,14,,,,0
4,1,111,1,1146,10036,6,14,,,,14,,,,8,,,,8,,,,14,,,,14,,,,0
4,1,111,1,1146,10037,1,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,111,1,1146,10037,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,111,1,1146,10037,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10037,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10037,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10038,1,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,111,1,1146,10038,2,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,111,1,1146,10038,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10038,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10038,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10039,1,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10039,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10039,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10039,4,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,111,1,1146,10039,5,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,111,1,1146,10039,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,111,1,1146,10040,1,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,0
4,1,102,1,536,10041,1,14,14,14,,14,14,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,2,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,3,13,,,"13    13    13    13",,,13,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,4,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,5,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,6,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,7,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10041,8,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10042,1,14,,,"14    14    14    14",,,14,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,1,7,,," 7     7     7     7",,,7,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10043,2,8,,," 8     8     8     8",,,8,,,,,,,,,,,,,,,,,,0
