"zone","state","lga","sector","ea","hhid","item_cd","s11aq1","s11aq2"
5,3,309,2,478,30036,102,1,30
5,3,309,2,478,30037,102,1,5
5,3,309,2,478,30037,104,1,100
5,3,309,2,478,30038,102,1,10
5,3,309,2,478,30038,104,1,1000
5,3,309,2,478,30039,104,1,2500
5,3,309,2,478,30040,102,1,30
5,3,307,1,634,30041,102,1,10
5,3,307,1,634,30042,102,1,5
5,3,307,1,634,30042,104,1,200
5,3,307,1,634,30043,102,1,20
5,3,307,1,634,30043,103,1,540
5,3,307,1,634,30044,102,1,30
5,3,307,1,634,30045,102,1,30
5,3,307,1,634,30045,103,1,200
5,3,307,1,634,30047,102,1,5
5,3,307,1,634,30047,104,1,120
5,3,307,1,634,30048,102,1,5
5,3,307,1,634,30049,102,1,40
5,3,307,1,634,30050,102,1,10
5,3,321,2,364,30051,102,1,20
5,3,321,2,364,30051,103,1,200
5,3,321,2,364,30053,102,1,20
5,3,321,2,364,30053,103,1,180
5,3,321,2,364,30053,104,1,500
5,3,321,2,364,30054,102,1,20
5,3,321,2,364,30056,102,1,10
5,3,321,2,364,30057,102,1,5
5,3,321,2,364,30058,101,1,200
5,3,321,2,364,30058,102,1,20
5,3,321,2,364,30059,102,1,50
5,3,321,2,364,30060,102,1,5
5,3,321,2,364,30060,104,1,300
5,3,329,2,696,30061,102,1,20
5,3,329,2,696,30062,101,1,300
5,3,329,2,696,30062,102,1,30
5,3,329,2,696,30062,104,1,700
5,3,329,2,696,30063,102,1,20
5,3,329,2,696,30064,102,1,10
5,3,329,2,696,30064,104,1,140
5,3,329,2,696,30065,102,1,20
5,3,329,2,696,30066,102,1,20
5,3,329,2,696,30067,102,1,20
5,3,329,2,696,30069,102,1,10
5,3,329,2,696,30070,102,1,10
5,3,329,2,696,30070,104,1,850
5,3,323,2,580,30071,102,1,20
5,3,323,2,580,30072,102,1,20
5,3,323,2,580,30072,104,1,400
5,3,323,2,580,30075,102,1,10
5,3,323,2,580,30075,104,1,400
5,3,323,2,580,30076,102,1,10
5,3,323,2,580,30077,102,1,10
5,3,323,2,580,30077,104,1,2500
5,3,323,2,580,30078,102,1,5
5,3,323,2,580,30078,104,1,300
5,3,323,2,580,30079,104,1,1000
5,3,318,2,1136,30082,102,1,15
5,3,318,2,1136,30082,104,1,600
5,3,318,2,1136,30083,102,1,20
5,3,318,2,1136,30084,102,1,10
5,3,318,2,1136,30084,104,1,250
5,3,318,2,1136,30085,102,1,50
5,3,318,2,1136,30086,102,1,20
5,3,318,2,1136,30087,102,1,10
5,3,318,2,1136,30087,104,1,300
5,3,318,2,1136,30088,102,1,5
5,3,318,2,1136,30088,104,1,1000
5,3,318,2,1136,30089,102,1,20
5,3,318,2,1136,30090,102,1,20
5,3,313,2,70,30091,102,1,10
5,3,313,2,70,30091,104,1,1800
5,3,313,2,70,30092,102,1,30
5,3,313,2,70,30094,103,1,20
5,3,313,2,70,30094,104,1,300
5,3,313,2,70,30095,102,1,10
5,3,313,2,70,30096,102,1,40
5,3,313,2,70,30096,104,1,200
5,3,313,2,70,30097,102,1,10
5,3,313,2,70,30099,102,1,50
5,3,313,2,70,30100,101,1,200
5,3,313,2,70,30100,102,1,10
5,3,301,1,1198,30101,102,1,20
5,3,301,1,1198,30101,103,1,400
5,3,301,1,1198,30101,104,1,600
5,3,301,1,1198,30102,102,1,10
5,3,301,1,1198,30102,104,1,400
5,3,301,1,1198,30103,102,1,10
5,3,301,1,1198,30103,104,1,300
5,3,301,1,1198,30104,102,1,20
5,3,301,1,1198,30106,102,1,20
5,3,301,1,1198,30107,102,1,20
5,3,301,1,1198,30108,102,1,20
5,3,301,1,1198,30108,104,1,600
5,3,301,1,1198,30109,102,1,40
5,3,326,2,74,30111,102,1,40
5,3,326,2,74,30112,102,1,40
5,3,326,2,74,30113,102,1,20
5,3,326,2,74,30113,104,1,350
5,3,326,2,74,30114,102,1,20
5,3,326,2,74,30115,102,1,20
5,3,326,2,74,30115,103,1,300
5,3,326,2,74,30115,104,1,400
5,3,326,2,74,30116,102,1,10
5,3,326,2,74,30117,102,1,20
5,3,326,2,74,30118,102,1,40
5,3,326,2,74,30119,101,1,170
5,3,305,2,1542,30121,102,1,10
5,3,305,2,1542,30122,102,1,20
5,3,305,2,1542,30123,102,1,10
5,3,305,2,1542,30124,104,1,300
5,3,305,2,1542,30125,102,1,20
5,3,305,2,1542,30127,102,1,15
5,3,305,2,1542,30127,104,1,500
5,3,305,2,1542,30128,102,1,20
5,3,305,2,1542,30130,102,1,30
5,3,312,2,20,30131,102,1,10
5,3,312,2,20,30131,104,1,1200
5,3,312,2,20,30132,101,1,140
5,3,312,2,20,30132,102,1,10
5,3,312,2,20,30132,104,1,700
5,3,312,2,20,30133,102,1,10
5,3,312,2,20,30134,102,1,10
5,3,312,2,20,30134,104,1,1000
5,3,312,2,20,30135,102,1,20
5,3,312,2,20,30139,102,1,5
5,3,312,2,20,30139,104,1,150
5,3,312,2,20,30140,102,1,20
5,3,305,2,4,30141,102,1,10
5,3,305,2,4,30142,102,1,10
5,3,305,2,4,30144,102,1,10
5,3,305,2,4,30145,102,1,20
5,3,305,2,4,30147,102,1,15
5,3,305,2,4,30147,104,1,200
5,3,305,2,4,30148,102,1,5
5,3,305,2,4,30149,102,1,20
4,4,418,1,44,40001,102,1,10
4,4,418,1,44,40001,104,1,250
4,4,418,1,44,40002,102,1,10
4,4,418,1,44,40002,104,1,700
4,4,418,1,44,40003,102,1,10
4,4,418,1,44,40003,104,1,100
4,4,418,1,44,40004,102,1,5
4,4,418,1,44,40004,104,1,200
4,4,418,1,44,40005,102,1,20
4,4,418,1,44,40005,104,1,1200
4,4,418,1,44,40006,102,1,20
4,4,418,1,44,40006,104,1,500
4,4,418,1,44,40007,102,1,10
4,4,418,1,44,40007,104,1,600
4,4,418,1,44,40008,102,1,20
4,4,418,1,44,40008,104,1,300
4,4,418,1,44,40009,102,1,10
4,4,418,1,44,40009,104,1,400
4,4,418,1,44,40010,102,1,5
4,4,418,1,44,40010,104,1,400
4,4,417,1,678,40011,102,1,10
4,4,417,1,678,40011,104,1,300
4,4,417,1,678,40012,102,1,5
4,4,417,1,678,40012,104,1,600
4,4,417,1,678,40013,102,1,10
4,4,417,1,678,40014,102,1,10
4,4,417,1,678,40015,102,1,15
4,4,417,1,678,40015,104,1,600
4,4,417,1,678,40016,102,1,10
4,4,417,1,678,40016,103,1,600
4,4,417,1,678,40017,101,1,100
4,4,417,1,678,40017,102,1,20
4,4,417,1,678,40017,103,1,150
4,4,417,1,678,40017,104,1,300
4,4,417,1,678,40018,102,1,10
4,4,417,1,678,40018,104,1,500
4,4,417,1,678,40019,102,1,10
4,4,417,1,678,40019,103,1,2
4,4,417,1,678,40019,104,1,500
4,4,417,1,678,40020,102,1,20
4,4,417,1,678,40020,104,1,700
4,4,416,1,616,40021,102,1,10
4,4,416,1,616,40021,104,1,400
4,4,416,1,616,40022,102,1,10
4,4,416,1,616,40022,104,1,400
4,4,416,1,616,40023,102,1,10
4,4,416,1,616,40023,104,1,300
4,4,416,1,616,40024,104,1,800
4,4,416,1,616,40025,102,1,40
4,4,416,1,616,40025,104,1,1200
4,4,416,1,616,40026,104,1,700
4,4,416,1,616,40027,102,1,20
4,4,416,1,616,40027,104,1,600
4,4,416,1,616,40028,102,1,5
4,4,416,1,616,40028,103,1,150
4,4,416,1,616,40028,104,1,500
4,4,416,1,616,40029,102,1,15
4,4,416,1,616,40029,104,1,400
4,4,416,1,616,40030,102,1,10
4,4,416,1,616,40030,104,1,800
4,4,414,1,2176,40031,102,1,5
4,4,414,1,2176,40031,104,1,250
4,4,414,1,2176,40032,104,1,300
4,4,414,1,2176,40033,102,1,10
4,4,414,1,2176,40033,104,1,400
4,4,414,1,2176,40034,102,1,10
4,4,414,1,2176,40034,104,1,1000
4,4,414,1,2176,40036,102,1,10
4,4,414,1,2176,40036,104,1,300
4,4,414,1,2176,40037,102,1,20
4,4,414,1,2176,40037,104,1,370
4,4,414,1,2176,40038,102,1,5
4,4,414,1,2176,40039,104,1,400
4,4,414,1,2176,40040,102,1,10
4,4,414,1,2176,40040,104,1,300
4,4,415,1,2108,40042,102,1,10
4,4,415,1,2108,40042,104,1,200
4,4,415,1,2108,40043,102,1,10
4,4,415,1,2108,40043,103,1,450
4,4,415,1,2108,40043,104,1,650
4,4,415,1,2108,40044,104,1,150
4,4,415,1,2108,40045,102,1,10
4,4,415,1,2108,40046,102,1,5
4,4,415,1,2108,40046,104,1,80
4,4,415,1,2108,40047,102,1,5
4,4,415,1,2108,40047,104,1,200
4,4,415,1,2108,40048,101,1,100
4,4,415,1,2108,40048,102,1,10
4,4,415,1,2108,40048,103,1,150
4,4,415,1,2108,40048,104,1,500
4,4,415,1,2108,40049,102,1,10
4,4,415,1,2108,40049,104,1,500
4,4,415,1,2108,40050,102,1,10
4,4,415,1,2108,40050,104,1,400
4,4,413,2,1540,40051,102,1,10
4,4,413,2,1540,40051,104,1,400
4,4,413,2,1540,40052,102,1,20
4,4,413,2,1540,40052,103,1,150
4,4,413,2,1540,40052,104,1,300
4,4,413,2,1540,40053,102,1,30
4,4,413,2,1540,40053,104,1,600
4,4,413,2,1540,40054,102,1,10
4,4,413,2,1540,40054,104,1,500
4,4,413,2,1540,40055,101,1,150
4,4,413,2,1540,40055,102,1,20
4,4,413,2,1540,40055,104,1,200
4,4,413,2,1540,40056,102,1,20
4,4,413,2,1540,40056,104,1,250
4,4,413,2,1540,40057,102,1,40
4,4,413,2,1540,40057,104,1,300
4,4,413,2,1540,40058,104,1,400
4,4,413,2,1540,40059,101,1,200
4,4,413,2,1540,40059,102,1,10
4,4,413,2,1540,40059,104,1,100
4,4,413,2,1540,40060,104,1,500
4,4,405,2,722,40061,104,1,100
4,4,405,2,722,40062,102,1,40
4,4,405,2,722,40062,104,1,250
4,4,405,2,722,40063,101,1,150
4,4,405,2,722,40063,102,1,20
4,4,405,2,722,40064,101,1,150
4,4,405,2,722,40064,102,1,20
4,4,405,2,722,40064,104,1,200
4,4,405,2,722,40065,101,1,100
4,4,405,2,722,40065,104,1,50
4,4,405,2,722,40066,102,1,20
4,4,405,2,722,40067,104,1,350
4,4,405,2,722,40068,102,1,20
4,4,405,2,722,40068,104,1,100
4,4,405,2,722,40069,104,1,400
