"zone","state","lga","sector","ea","hhid","indiv","s6q1","s6q2","s6q3","s6q4","s6q5","s6q5b","s6q6","s6q7","s6q7b","s6q8","s6q9","s6q10","s6q11","s6q11b","s6q12"
4,1,102,1,536,10047,2,2,,,,,,,,,,,,,,
4,1,102,1,536,10047,3,2,,,,,,,,,,,,,,
4,1,102,1,536,10047,4,2,,,,,,,,,,,,,,
4,1,102,1,536,10047,5,2,,,,,,,,,,,,,,
4,1,102,1,536,10047,6,2,,,,,,,,,,,,,,
4,1,102,1,536,10047,7,2,,,,,,,,,,,,,,
4,1,102,1,536,10047,8,2,,,,,,,,,,,,,,
4,1,102,1,536,10048,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10048,2,2,,,,,,,,,,,,,,
4,1,102,1,536,10048,3,2,,,,,,,,,,,,,,
4,1,102,1,536,10048,4,2,,,,,,,,,,,,,,
4,1,102,1,536,10048,5,2,,,,,,,,,,,,,,
4,1,102,1,536,10048,6,2,,,,,,,,,,,,,,
4,1,102,1,536,10048,7,2,,,,,,,,,,,,,,
4,1,102,1,536,10048,8,2,,,,,,,,,,,,,,
4,1,102,1,536,10049,1,2,,,,,,,,,,,,,,
4,1,102,1,536,10050,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10051,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10052,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10052,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10053,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10053,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10053,3,2,,,,,,,,,,,,,,
4,1,102,1,1690,10054,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10054,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10054,3,2,,,,,,,,,,,,,,
4,1,102,1,1690,10054,4,2,,,,,,,,,,,,,,
4,1,102,1,1690,10054,5,2,,,,,,,,,,,,,,
4,1,102,1,1690,10055,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10055,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10055,3,2,,,,,,,,,,,,,,
4,1,102,1,1690,10055,4,2,,,,,,,,,,,,,,
4,1,102,1,1690,10056,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10056,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10057,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10058,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10058,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10058,3,2,,,,,,,,,,,,,,
4,1,102,1,1690,10058,4,2,,,,,,,,,,,,,,
4,1,102,1,1690,10058,5,2,,,,,,,,,,,,,,
4,1,102,1,1690,10058,6,2,,,,,,,,,,,,,,
4,1,102,1,1690,10059,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10060,1,2,,,,,,,,,,,,,,
4,1,102,1,1690,10060,2,2,,,,,,,,,,,,,,
4,1,102,1,1690,10060,3,2,,,,,,,,,,,,,,
4,1,102,1,1690,10060,4,2,,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,2,,,,,,,,,,,,,,
4,1,107,2,1044,10063,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10063,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10063,3,2,,,,,,,,,,,,,,
4,1,107,2,1044,10063,4,2,,,,,,,,,,,,,,
4,1,107,2,1044,10063,5,2,,,,,,,,,,,,,,
4,1,107,2,1044,10064,1,2,,,,,,,,,,,,,,
4,1,107,2,1044,10064,2,2,,,,,,,,,,,,,,
4,1,107,2,1044,10064,3,2,,,,,,,,,,,,,,
4,1,107,2,1044,10064,4,2,,,,,,,,,,,,,,
