"cropname","cropcode","nscode","conversion","kg"
"unshelled rice",1111,24,120,1
"unshelled rice",1111,25,15,1
"unshelled rice",1111,26,30,1
"unshelled rice",1111,27,50,1
"unshelled rice",1111,28,75,1
"unshelled rice",1111,31,10,1
"unshelled rice",1111,32,25,1
"unshelled rice",1111,33,40,1
"unshelled rice",1111,34,75,1
"unshelled rice",1111,61,15,1
"unshelled rice",1111,62,25,1
"unshelled rice",1111,63,40,1
"shelled rice",1112,21,20,1
"shelled rice",1112,22,50,1
"shelled rice",1112,23,100,1
"shelled rice",1112,24,120,1
"shelled rice",1112,25,15,1
"shelled rice",1112,26,30,1
"shelled rice",1112,27,50,1
"shelled rice",1112,28,75,1
"shelled rice",1112,31,10,1
"shelled rice",1112,32,25,1
"shelled rice",1112,33,40,1
"shelled rice",1112,34,75,1
"shelled rice",1112,61,15,1
"shelled rice",1112,62,25,1
"shelled rice",1112,63,40,1
"yam",1120,21,20,1
"yam",1120,22,50,1
"yam",1120,23,100,1
"yam",1120,24,120,1
"yam",1120,25,15,1
"yam",1120,26,30,1
"yam",1120,27,50,1
"yam",1120,28,75,1
"yam",1120,31,10,1
"yam",1120,32,25,1
"yam",1120,33,40,1
"yam",1120,34,75,1
"yam",1120,51,3,1
"yam",1120,52,5,1
"yam",1120,53,8,1
"yam",1120,61,15,1
"yam",1120,62,25,1
"yam",1120,63,40,1
"yam",1120,71,60,1
"yam",1120,72,85,1
"yam",1120,73,110,1
"yam",1120,74,150,1
"YAM",1120,81,1500,1
"YAM",1120,82,2000,1
"YAM",1120,83,2500,1
"white yam",1121,21,20,1
"white yam",1121,22,50,1
"white yam",1121,23,100,1
"white yam",1121,24,120,1
"white yam",1121,25,15,1
"white yam",1121,26,30,1
"white yam",1121,27,50,1
"white yam",1121,28,75,1
"white yam",1121,31,10,1
"white yam",1121,32,25,1
"white yam",1121,33,40,1
"white yam",1121,34,75,1
"white yam",1121,51,3,1
"white yam",1121,52,5,1
"white yam",1121,53,8,1
"white yam",1121,61,15,1
"white yam",1121,62,25,1
"white yam",1121,63,40,1
"white yam",1121,71,60,1
"white yam",1121,72,85,1
"white yam",1121,73,110,1
"white yam",1121,74,150,1
"WHITE YAM",1121,81,1500,1
"WHITE YAM",1121,82,2000,1
"yellow yam",1122,21,20,1
"yellow yam",1122,22,50,1
"yellow yam",1122,23,100,1
"yellow yam",1122,24,120,1
"yellow yam",1122,25,15,1
"yellow yam",1122,26,30,1
"yellow yam",1122,27,50,1
"yellow yam",1122,28,75,1
"yellow yam",1122,31,10,1
"yellow yam",1122,32,25,1
"yellow yam",1122,33,40,1
"yellow yam",1122,34,75,1
"yellow yam",1122,51,3,1
"yellow yam",1122,52,5,1
"yellow yam",1122,53,8,1
"yellow yam",1122,61,15,1
"yellow yam",1122,62,25,1
"yellow yam",1122,63,40,1
"yellow yam",1122,71,60,1
"yellow yam",1122,72,85,1
"yellow yam",1122,73,110,1
"yellow yam",1122,74,150,1
"water yam",1123,21,20,1
"water yam",1123,22,50,1
"water yam",1123,23,100,1
"water yam",1123,24,120,1
"water yam",1123,25,15,1
