"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
4,1,102,1,536,10044,7,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,1,2,2,1,1,"TRADING",3416,"BUYING & SELLING",47,12,60,9,,2,,,,,,,,,0
4,1,102,1,536,10045,2,2,2,1,1,"TRADING",3416,"BUYING & SELLING",47,12,60,9,,2,,,,,,,,,0
4,1,102,1,536,10045,3,2,2,1,1,"TRADING",3416,"BUYING & SELLING",47,12,52,9,,2,,,,,,,,,0
4,1,102,1,536,10045,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10045,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,1,2,2,1,1,"SCHOOL ADMINISTRATOR",2412,"ADMINISTRATION",85,12,30,9,,2,,,,,,,,,0
4,1,102,1,536,10046,2,2,2,1,1,"TEACHING",2320,"TEACHING",85,12,30,9,,2,,,,,,,,,0
4,1,102,1,536,10046,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10046,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,2,2,2,1,1,"BUYING & SELLING",3416,"RETAILING",47,11,40,9,,2,,,,,,,,,0
4,1,102,1,536,10047,3,2,2,1,1,"BUSINESS SERVICES",3429,"SEEVICING OF HAND SETS",62,12,55,9,,2,,,,,,,,,0
4,1,102,1,536,10047,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,6,2,2,1,1,"BUYING & SELLING",3416,"RETAILING OF ELECTRONICS",47,4,40,9,,2,,,,,,,,,0
4,1,102,1,536,10047,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10047,9,2,2,1,1,"SEWING",8263,"MANUFACTURING",14,4,40,9,,2,,,,,,,,,0
4,1,102,1,536,10048,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,2,2,2,1,1,"TRADING",3416,"BUYING & SELLING",47,9,20,9,,2,,,,,,,,,0
4,1,102,1,536,10048,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10049,1,2,2,1,1,"TAILORING",7433,"MANUFACTURING",14,10,40,9,,2,,,,,,,,,0
4,1,102,1,536,10050,1,2,2,1,1,"TRADING",3416,"BUYING &  SELLING",47,10,40,9,,2,,,,,,,,,0
4,1,102,1,1690,10051,2,2,2,1,1,"MOTOR VEHICLE MECH. & FIL",7231,"OTHER PERSONAL SERVICE AC",96,12,40,9,,2,,,,,,,,,0
4,1,102,1,1690,10051,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10051,4,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10052,1,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"BUYING & SELLING",45,12,48,9,,2,,,,,,,,,0
4,1,102,1,1690,10052,2,2,2,1,1,"SHOP SALES PERSON & DEMON",5220,"BUYING & SELLING",45,12,48,9,,2,,,,,,,,,0
4,1,102,1,1690,10052,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10052,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10052,5,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10053,1,2,2,1,1,"TRADER",3416,"BUYING & SELLING",47,10,40,9,,2,,,,,,,,,0
4,1,102,1,1690,10053,2,2,2,1,1,"TRADER",3416,"BUYING & SELLING",47,10,40,9,,2,,,,,,,,,0
