"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d","tracked_obs"
2,2,207,2,1302,20094,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20095,4,2,0,0,0,0,0,0,0,2,3,1,,,,1,8,9,,8,9,,5,4,,,0
2,2,207,2,1302,20096,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20097,2,1,0,0,1,2,1,1,3,2,2,2,2,2,3,1,5,,,1,,,3,,,,0
2,2,207,2,1302,20098,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20099,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20100,0,0,1,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20101,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,9,,,,,1,2,,,0
2,2,205,2,712,20102,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20103,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20104,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20105,1,0,0,0,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20106,0,0,0,0,0,0,1,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20107,4,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20108,3,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20109,2,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20110,0,0,0,0,0,1,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20111,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,8,,,,,2,3,,,0
2,2,218,2,1592,20112,0,0,0,0,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20113,2,1,1,1,1,1,1,1,1,2,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20114,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20115,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20116,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20117,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20118,0,0,0,0,1,1,0,1,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20119,4,0,0,0,0,0,0,0,0,2,3,1,,,,1,6,7,8,6,7,8,4,8,5,,0
2,2,218,2,1592,20120,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,9,,,,,3,2,,,0
5,3,331,1,2322,30001,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30002,1,3,2,2,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30003,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30004,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30005,2,2,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30006,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30007,1,3,3,2,2,0,0,0,0,2,4,2,2,3,1,2,,,,,,,,,,,0
5,3,331,1,2322,30008,1,1,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30009,2,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,0
5,3,331,1,2322,30010,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,0
5,3,331,1,516,30011,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,516,30012,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
5,3,331,1,516,30013,2,2,2,1,2,0,0,2,0,2,4,1,,,,2,,,,,,,,,,,0
