"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10cq10","s10cq11","tracked_obs"
4,4,417,1,678,40013,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,417,1,678,40013,2,"CHILDREN 6-15 YEARS",3,6,0
4,4,417,1,678,40013,3,"ADULTS 16-65 YEARS",0,0,0
4,4,417,1,678,40013,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,417,1,678,40015,1,"CHILDREN 0-5 YEARS",1,1,0
4,4,417,1,678,40015,2,"CHILDREN 6-15 YEARS",0,0,0
4,4,417,1,678,40015,3,"ADULTS 16-65 YEARS",1,1,0
4,4,417,1,678,40015,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,417,1,678,40016,1,"CHILDREN 0-5 YEARS",1,1,0
4,4,417,1,678,40016,2,"CHILDREN 6-15 YEARS",1,1,0
4,4,417,1,678,40016,3,"ADULTS 16-65 YEARS",1,2,0
4,4,417,1,678,40016,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,414,1,2176,40032,1,"CHILDREN 0-5 YEARS",3,0,0
4,4,414,1,2176,40032,2,"CHILDREN 6-15 YEARS",0,0,0
4,4,414,1,2176,40032,3,"ADULTS 16-65 YEARS",6,8,0
4,4,414,1,2176,40032,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,414,1,2176,40034,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,414,1,2176,40034,2,"CHILDREN 6-15 YEARS",0,0,0
4,4,414,1,2176,40034,3,"ADULTS 16-65 YEARS",4,6,0
4,4,414,1,2176,40034,4,"PEOPLE OVER 65 YEARS OLD",2,4,0
4,4,414,1,2176,40036,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,414,1,2176,40036,2,"CHILDREN 6-15 YEARS",0,0,0
4,4,414,1,2176,40036,3,"ADULTS 16-65 YEARS",3,3,0
4,4,414,1,2176,40036,4,"PEOPLE OVER 65 YEARS OLD",0,0,0
4,4,414,1,2176,40037,1,"CHILDREN 0-5 YEARS",0,0,0
4,4,414,1,2176,40037,2,"CHILDREN 6-15 YEARS",0,0,0
