"zone","state","lga","sector","ea","hhid","plotid","sa1q1a","sa1q2","sa1q3","sa1q4","sa1q4b","sa1q5","sa1q5b","sa1q6","sa1q7","sa1q7b","sa1q8","sa1q9a","sa1q9b","sa1q9c","sa1q10a","sa1q10b","sa1q10bb","sa1q10c","sa1q11","sa1q11b","sa1q12","sa1q13","sa1q14","sa1q14b","sa1q15","sa1q16","sa1q17","sa1q18a","sa1q18b","sa1q18c","sa1q19","sa1q20","sa1q21","sa1q22a","sa1q22b","sa1q22c","sa1q22d","sa1q23","sa1q24a","sa1q24b","sa1q24c","sa1q25","sa1q25b"
2,2,209,2,1040,20007,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20007,4,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20007,5,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20007,6,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20008,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20008,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20008,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20009,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20009,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20010,1,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20010,2,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20010,3,1,6,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,209,2,1040,20010,4,1,6,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,34,3416,2,0,20011,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,34,3416,2,0,20011,2,2,1,2,1,2,,,,,,,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,2,,,,,
2,34,3416,2,0,20011,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,34,3416,2,0,20011,4,2,1,2,1,2,,,,,,,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,2,,,,,
2,34,3416,2,0,20011,5,2,1,2,1,2,,,,,,,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,2,,,,,
2,34,3416,2,0,20011,6,2,1,2,2,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,221,2,18,20012,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20012,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20012,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20012,4,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20013,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20013,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20013,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20014,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20014,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20014,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20015,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2,2,221,2,18,20015,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
