"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","sa3iq3","sa3iq4","sa3iq4a1","sa3iq4a2","sa3iq5a","sa3iq5b","sa3iq5c","sa3iq6i","sa3iq6ii","sa3iq6ii_os","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d2_os","sa3iq6e1","sa3iq6e2"
4,1,117,2,560,10074,1,1,"MAIZE",1080,1,,7,2015,1,4,100,6,130,,6000,1,10,2015,,,,1,2
4,1,117,2,560,10074,1,2,"CASSAVA",1020,1,,1,2016,0.2,4,20,4,131,,4800,2,,,16,131,,1,2
4,1,117,2,560,10074,1,3,"YAM",1120,1,,12,2015,1,4,100,50,81,,5000,1,1,2016,,,,2,4
4,1,117,2,560,10074,2,1,"CASSAVA",1020,1,,1,2016,0.3,4,30,6,131,,7200,2,,,20,131,,1,2
4,1,117,2,560,10074,2,2,"PUMPKIN",2190,1,,8,2015,1,4,100,39,160,,3900,1,10,2015,,,,1,4
4,1,117,2,560,10074,2,3,"YAM",1120,1,,12,2015,1,4,100,42,81,,4200,1,1,2016,,,,2,4
4,1,117,2,560,10075,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10075,1,2,"PUMPKIN FRULT",2192,1,,1,2016,22,1,40,32,91,,12000,1,2,2016,,,,1,
4,1,117,2,560,10075,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10075,2,2,"COCOYAM",1040,1,,10,2015,30,1,40,6,141,,7500,1,12,2015,,,,1,
4,1,117,2,560,10076,1,1,"OLD PALM TREE",3180,1,,10,2015,30,3,28,77,101,,18000,2,,,49,101,,1,
4,1,117,2,560,10076,1,2,"MANGO",3160,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10076,1,3,"PLANTIAN",2170,1,,12,2015,11,3,35,6,101,,9000,2,,,5,101,,1,
4,1,117,2,560,10076,1,4,"PEAR",3220,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10077,1,1,"OLD PALM TREE",3180,1,,9,2015,84,3,60,164,101,,31000,2,,,80,101,,2,
4,1,117,2,560,10077,1,2,"PLANTAIN",2170,1,,12,2015,17,3,20,9,101,,14000,2,,,8,101,,2,
4,1,117,2,560,10077,1,3,"ORANGE",3170,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10077,1,4,"ILOLA NUT",3111,2,9,,,,,,,,,,,,,,,,,
4,1,117,2,560,10077,2,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,
4,1,117,2,560,10077,2,2,"MAIZE",1080,1,,9,2015,137,3,30,8,141,,4000,1,10,2015,,,,2,
4,1,117,2,560,10077,2,3,"PUMPKIN SEED",2193,1,,12,2015,12,1,10,5,81,,2500,1,1,2016,,,,2,
4,1,117,2,560,10078,1,1,"CASSAVA",1020,1,,12,2015,0.1,4,10,2,141,,1600,2,,,14,141,,1,4
