"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","ag1","ag2","ag3","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","saq22b_os"
4,1,117,2,560,10075,1010,15,1,2,1,2,1,5,1,"02032016",2,3,2016,10,30,14,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,117,2,560,10076,1010,9,1,2,1,2,1,3,1,"02032016",2,3,2016,9,36,12,51,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,117,2,560,10077,1010,7,1,2,1,2,1,3,1,"02032016",2,3,2016,13,17,16,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,117,2,560,10078,1010,2,1,2,1,2,1,4,1,"02032016",2,3,2016,11,40,16,50,16,,"03032016",3,3,2016,10,22,11,53,16,,,,,,,,,,,,2,1,,1,
4,1,117,2,560,10079,1010,8,1,2,1,1,1,2,1,"03032016",3,3,2016,11,20,13,45,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,117,2,560,10080,1010,10,1,2,1,2,1,5,1,"02032016",2,3,2016,13,50,15,30,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,110,2,76,10081,1106,19,1,2,1,2,1,3,1,"05032016",5,3,2016,11,20,15,2,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,110,2,76,10082,1106,1,1,2,1,2,1,3,1,"04032016",4,3,2016,11,7,14,38,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,110,1,0,10083,0,0,1,1,2,2,2,4,1,"17032016",17,3,2016,12,10,15,30,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,110,2,76,10084,1106,25,1,1,2,2,2,4,1,"04032016",4,3,2016,13,15,16,48,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,110,2,76,10085,1106,7,1,2,1,1,1,4,1,"04032016",4,3,2016,9,42,12,52,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,110,2,76,10086,1106,16,1,2,1,2,1,2,1,"05032016",5,3,2016,11,12,13,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,110,2,76,10087,1106,40,1,2,1,2,1,2,1,"04032016",4,3,2016,10,30,13,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,110,2,76,10088,1106,10,1,2,1,2,1,5,1,"04032016",4,3,2016,14,6,17,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,110,2,76,10089,1106,13,1,2,1,2,1,5,1,"04032016",4,3,2016,11,30,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,105,2,638,10091,1507,18,1,2,1,2,1,4,1,"18032016",18,3,2016,10,20,13,44,2,,,,,,,,,,,,,,,,,,,,,,,1,,,
4,1,105,2,638,10092,1507,11,1,2,1,2,1,2,1,"25022016",25,2,2016,10,10,13,14,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
