"zone","state","sector","lga","ea","hhid","plotid","dist_household","srtmslp_nga","srtm_nga","twi_nga"
2,2,2,201,60,20024,2,1.6,2.9,244,13
2,2,2,201,60,20025,1,0.5,3.8,252,14
2,2,2,201,60,20025,2,0.4,4.5,251,14
2,2,2,201,60,20025,3,0.3,3.9,256,14
2,2,2,201,60,20025,4,1.1,1.9,238,15
2,2,2,201,60,20026,1,1.9,3.2,261,14
2,2,2,201,60,20026,2,0.8,5.3,267,13
2,2,2,201,60,20026,3,0.7,4.6,248,14
2,2,2,201,60,20027,1,1.3,2.7,223,16
2,2,2,201,60,20027,2,2.5,2.9,248,13
2,2,2,201,60,20027,3,14.2,2.5,209,13
2,2,2,201,60,20028,1,0.4,1,272,14
2,2,2,201,60,20028,2,0.9,3.7,267,13
2,2,2,201,60,20028,3,0.1,4.2,257,13
2,2,2,201,60,20028,4,9.6,2.6,165,16
2,2,2,201,60,20029,1,0.9,3.9,270,13
2,2,2,201,60,20029,2,13.9,2,209,14
2,2,2,201,60,20030,1,1.7,0.9,241,16
2,2,2,201,60,20030,2,0.7,3.8,242,15
2,2,2,201,60,20030,3,1.7,0.7,241,15
2,2,2,216,200,20031,1,0.1,1.7,137,14
2,2,2,216,200,20031,2,0.3,0.9,135,16
2,2,2,216,200,20031,3,0.2,0.8,136,15
2,2,2,216,200,20031,4,0,1.7,137,14
2,2,2,216,200,20032,1,0.8,1.2,138,14
2,2,2,216,200,20032,2,0.7,1.2,137,13
2,2,2,216,200,20032,3,0.2,1,135,16
2,2,2,216,200,20032,4,1.2,1.2,138,14
2,2,2,216,200,20033,1,1.7,29.7,208,11
2,2,2,216,200,20033,2,1.7,0.6,136,24
2,2,2,216,200,20033,3,0.7,1.7,138,14
2,2,2,216,200,20034,1,1.2,1.5,137,14
2,2,2,216,200,20034,2,0.8,0.1,138,14
2,2,2,216,200,20035,1,0.4,1,136,14
2,2,2,216,200,20035,2,1.5,1,136,15
2,2,2,216,200,20036,1,0.7,1.2,137,13
2,2,2,216,200,20036,2,0.7,0.8,137,15
2,2,2,216,200,20037,1,0.5,0.3,135,18
2,2,2,216,200,20038,1,0.3,0.4,136,15
2,2,2,216,200,20038,2,0.4,1.1,136,15
2,2,2,216,200,20040,1,0.7,0.3,136,15
2,2,2,216,200,20040,2,0.1,0.7,135,16
2,2,2,203,1224,20041,1,0.6,1.8,548,13
2,2,2,203,1224,20041,2,0.4,3.5,550,14
2,2,2,203,1224,20041,3,0.1,5.4,568,13
2,2,2,203,1224,20042,1,0.3,4.3,549,16
2,2,2,203,1224,20042,2,0.7,1.1,545,18
2,2,2,203,1224,20042,3,0.5,3.8,545,21
2,2,2,203,1224,20043,1,1.6,4.5,547,13
2,2,2,203,1224,20043,2,1.8,1.6,553,17
2,2,2,203,1224,20043,3,1.7,3.1,557,14
2,2,2,203,1224,20044,1,0.7,2.1,548,13
2,2,2,203,1224,20044,2,0.8,4,550,13
2,2,2,203,1224,20044,3,0.5,2.2,548,16
2,2,2,203,1224,20044,4,0.9,4.4,550,12
2,2,2,203,1224,20044,5,0.8,2.3,548,14
2,2,2,203,1224,20044,6,0.9,2.9,547,13
2,2,2,203,1224,20045,1,1.8,1.9,568,14
2,2,2,203,1224,20045,2,0.9,2.5,543,20
2,2,2,203,1224,20045,3,0.8,1.8,543,22
2,2,2,203,1224,20046,1,1,4,545,19
2,2,2,203,1224,20046,2,0.9,4.6,551,12
2,2,2,203,1224,20046,3,1,4.6,553,12
2,2,2,203,1224,20046,4,1,4.2,545,19
2,2,2,203,1224,20046,5,1,5.1,547,15
2,2,2,203,1224,20046,6,0.9,3.4,555,12
2,2,2,203,1224,20047,1,0.9,3.6,557,13
2,2,2,203,1224,20047,2,1,2.1,554,13
2,2,2,203,1224,20047,3,1.5,3.4,566,13
2,2,2,203,1224,20047,4,1.3,3.9,570,13
2,2,2,203,1224,20048,1,0.1,2.3,567,15
2,2,2,203,1224,20048,2,0.5,3.1,548,19
2,2,2,203,1224,20048,3,0.5,1.3,558,15
2,2,2,203,1224,20049,1,0.1,2.8,574,13
2,2,2,203,1224,20049,2,0.8,3.5,562,13
2,2,2,203,1224,20049,3,0.9,3.2,556,13
2,2,2,203,1224,20049,4,1.7,3,571,13
2,2,2,203,1224,20050,1,0.6,1.9,548,13
2,2,2,203,1224,20050,2,0.1,6.7,562,12
2,2,2,212,956,20051,1,0.1,3.4,365,13
2,2,2,212,956,20052,1,0.5,3.4,361,12
2,2,2,212,956,20053,1,0.6,2.8,346,13
2,2,2,212,956,20054,1,0.7,4.3,347,13
2,2,2,212,956,20054,2,0.5,5.2,352,13
2,2,2,212,956,20055,1,0.4,4,337,13
2,2,2,212,956,20055,2,0.2,3.4,352,13
2,2,2,212,956,20055,3,0.4,5,341,13
2,2,2,212,956,20056,1,0.3,4.5,351,14
2,2,2,212,956,20057,1,0.1,3.3,352,13
2,2,2,212,956,20058,1,0.2,5.2,350,12
2,2,2,212,956,20059,1,0.4,4.4,349,14
2,2,2,212,956,20060,1,0.4,2.7,353,13
2,2,2,210,1300,20061,1,0.1,1.5,487,16
2,2,2,210,1300,20061,2,0.4,1.1,484,14
2,2,2,210,1300,20061,3,1,0.7,484,19
2,2,2,210,1300,20062,1,0.1,3.2,488,13
2,2,2,210,1300,20062,2,0.1,1.5,487,16
2,2,2,210,1300,20062,3,0.1,2.1,487,16
2,2,2,210,1300,20063,1,0.2,1.6,489,17
2,2,2,210,1300,20063,2,0.5,1.7,486,15
2,2,2,210,1300,20063,3,0.6,2,486,13
2,2,2,210,1300,20064,1,0.6,0.7,482,18
2,2,2,210,1300,20064,2,2.3,2.4,475,13
2,2,2,210,1300,20065,1,0.3,2.1,487,15
2,2,2,210,1300,20065,2,0.7,0.9,486,16
2,2,2,210,1300,20065,3,0.2,1.7,490,15
2,2,2,210,1300,20066,1,0.2,2.5,492,13
2,2,2,210,1300,20066,2,0.3,2.2,495,13
2,2,2,210,1300,20068,1,0,1.3,486,14
2,2,2,210,1300,20068,2,0.5,1.5,486,16
2,2,2,210,1300,20068,3,1.7,2.8,477,13
2,2,2,210,1300,20069,1,0.1,1.6,488,14
2,2,2,210,1300,20069,2,0.3,1.6,489,13
2,2,2,210,1300,20070,1,0,2.6,491,15
2,2,2,210,1300,20070,2,0.9,1.7,485,15
2,2,2,214,898,20072,1,1.3,0.9,575,14
2,2,2,214,898,20072,2,1.3,1,575,15
2,2,2,214,898,20072,3,0.3,1.3,583,16
2,2,2,214,898,20074,1,3,0.6,574,15
2,2,2,214,898,20075,1,,,,
2,2,2,214,898,20077,1,8.1,1.7,586,14
2,2,2,214,898,20077,2,2.7,1.5,579,14
2,2,1,215,8,20081,1,1.4,1.4,601,14
2,2,1,215,8,20081,2,0.9,2.9,600,13
2,2,1,215,8,20082,1,1.8,1.8,574,17
2,2,1,215,8,20082,2,1.2,2.6,579,13
2,2,1,215,8,20082,3,1.5,1.8,579,13
2,2,1,215,8,20083,1,17.7,7.9,639,12
2,2,1,215,8,20085,1,2.9,2.2,577,13
2,2,1,215,8,20086,1,2.8,1.9,577,13
2,2,1,215,8,20086,2,3.1,1.6,584,13
2,2,1,215,8,20087,1,,,,
2,2,1,215,8,20088,1,0.9,1.9,581,15
2,2,1,215,8,20088,2,0.8,1.4,599,14
2,2,1,215,8,20089,1,1.1,2.5,579,13
2,2,1,215,8,20089,2,3.1,1.4,584,13
2,2,1,215,8,20090,1,1.4,1.4,590,14
2,2,1,215,8,20090,2,1.4,1.6,588,14
2,2,1,215,8,20090,3,1.3,1.2,591,14
2,2,2,207,1302,20091,1,0.6,1.6,499,14
2,2,2,207,1302,20091,2,0.8,0.7,499,13
2,2,2,207,1302,20091,3,1.3,1.6,502,14
2,2,2,207,1302,20092,1,0.3,1.1,497,15
2,2,2,207,1302,20092,2,0.7,2.7,487,14
2,2,2,207,1302,20092,3,0.5,2.2,489,14
2,2,2,207,1302,20093,1,1.3,1.6,502,14
2,2,2,207,1302,20093,2,1.1,1.6,498,15
2,2,2,207,1302,20093,3,0.7,1.3,497,15
2,2,2,207,1302,20094,1,0.3,0.8,495,15
2,2,2,207,1302,20094,2,1.9,2.5,489,15
2,2,2,207,1302,20095,1,1.7,0.9,480,19
2,2,2,207,1302,20095,2,1.2,1,482,14
2,2,2,207,1302,20096,1,1.7,1.6,501,13
2,2,2,207,1302,20096,2,1.8,1.2,504,14
2,2,2,207,1302,20096,3,1.7,1.4,504,16
2,2,2,207,1302,20097,1,0.3,1.5,497,14
2,2,2,207,1302,20097,2,0.8,1.5,489,14
2,2,2,207,1302,20097,3,1.6,2.5,484,15
2,2,2,207,1302,20098,1,0.3,0.7,495,15
2,2,2,207,1302,20098,2,0.2,1.1,497,14
2,2,2,207,1302,20098,3,0,2.1,495,14
2,2,2,207,1302,20099,1,0,2.3,497,14
2,2,2,207,1302,20100,1,0.4,1.2,492,14
2,2,2,207,1302,20100,2,0.1,2.1,498,14
2,2,2,205,712,20101,1,1.4,14.6,536,11
2,2,2,205,712,20101,2,1.2,10,526,13
2,2,2,205,712,20101,3,1.6,14.6,514,14
2,2,2,205,712,20102,1,0.3,3.2,524,17
2,2,2,205,712,20102,2,0.3,3.9,526,14
2,2,2,205,712,20102,3,0.2,3.2,524,18
2,2,2,205,712,20102,4,1.2,3.4,499,14
2,2,2,205,712,20102,5,1.9,2.1,585,13
2,2,2,205,712,20103,1,2.2,4.3,552,13
2,2,2,205,712,20103,2,2.8,3.6,535,13
2,2,2,205,712,20103,3,3,2.9,512,16
2,2,2,205,712,20103,4,4.1,4.6,494,13
2,2,2,205,712,20103,5,5.1,2.6,483,13
2,2,2,205,712,20104,1,0.2,5.2,531,14
2,2,2,205,712,20104,2,0.2,7.2,545,14
2,2,2,205,712,20104,3,0.8,4.7,527,13
2,2,2,205,712,20105,1,,,,
2,2,2,205,712,20106,1,0.1,4.8,530,16
2,2,2,205,712,20106,2,0.5,7.3,543,14
2,2,2,205,712,20106,3,0.3,3.6,537,15
2,2,2,205,712,20106,4,0.2,22.7,594,11
2,2,2,205,712,20106,5,1,7.7,527,14
2,2,2,205,712,20107,1,1.6,3.3,554,15
2,2,2,205,712,20107,2,0.1,13.6,553,12
2,2,2,205,712,20108,1,0,1.7,538,13
2,2,2,205,712,20109,1,,,,
2,2,2,205,712,20110,1,0.2,6.9,536,13
2,2,2,205,712,20110,2,1.3,2.2,507,15
2,2,2,205,712,20110,3,0.8,23.1,574,11
2,2,2,218,1592,20111,1,1,0.9,225,16
2,2,2,218,1592,20111,2,0.1,1.6,224,14
2,2,2,218,1592,20112,1,0.6,0.6,228,14
2,2,2,218,1592,20112,2,0.5,1.5,227,14
2,2,2,218,1592,20112,3,0.6,1.8,225,13
2,2,2,218,1592,20113,1,0.2,0.7,226,14
2,2,2,218,1592,20113,2,0.4,1.2,223,25
2,2,2,218,1592,20113,3,0.9,1.1,223,23
2,2,2,218,1592,20114,1,0.5,1.1,224,15
2,2,2,218,1592,20114,2,0.2,1.9,225,14
2,2,2,218,1592,20114,3,0.8,2.1,223,14
2,2,2,218,1592,20115,1,0.8,1.1,226,14
2,2,2,218,1592,20115,2,0.7,1,225,16
2,2,2,218,1592,20115,3,0.7,1.2,225,16
2,2,2,218,1592,20115,4,0.7,0.9,225,17
2,2,2,218,1592,20116,1,0.6,1.3,225,14
2,2,2,218,1592,20116,2,0.1,1.3,227,14
2,2,2,218,1592,20117,1,0.5,1.1,224,19
2,2,2,218,1592,20118,1,0.8,2.3,226,14
2,2,2,218,1592,20118,2,0.5,1.5,223,15
2,2,2,218,1592,20118,3,0.7,1.4,225,13
2,2,2,218,1592,20119,1,0.2,1,225,15
2,2,2,218,1592,20119,2,0.5,0.6,223,25
2,2,2,218,1592,20120,1,0.6,1.4,226,14
2,2,2,218,1592,20120,2,0.9,1.7,224,20
2,2,2,218,1592,20120,3,0.7,1.6,226,14
5,3,1,331,2322,30001,1,0,2.1,66,15
5,3,1,331,2322,30002,1,2,5.3,56,12
