"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7a_os","s12q7b","s12q7b_os","s12q7c","s12q7c_os"
5,3,322,2,0,10093,2,2,0,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10094,2,2,3,2,3,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10096,4,3,6,5,1,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10097,4,2,3,2,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,105,2,638,10098,4,3,2,2,0,0,3,1,0,2,0,1,,,,1,,,,1,,,5,,,,,
4,1,105,2,638,10099,3,4,0,0,0,0,2,0,0,3,0,1,,,,1,1,,,,,,5,,,,,
4,1,105,2,638,10100,2,3,2,0,0,0,1,2,0,3,3,1,,,,1,10,11,,,,,4,,5,,,
4,1,108,2,904,10102,2,3,2,2,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,,,,
4,1,108,2,904,10103,3,2,2,2,3,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,108,2,904,10104,2,4,2,0,0,0,0,0,0,3,0,1,,,,1,4,5,,,,,5,,,,,
4,1,108,2,904,10105,4,3,3,3,2,0,1,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,108,2,904,10106,4,5,4,0,0,0,0,2,0,2,3,1,,,,2,,,,,,,,,,,,
4,1,108,2,904,10107,2,3,1,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
4,1,108,2,904,10108,2,7,2,4,0,0,1,1,0,3,0,1,,,,1,9,,,,,,5,,,,,
4,1,108,2,904,10109,0,7,2,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
4,1,108,2,904,10110,2,2,4,5,0,1,1,1,0,3,3,1,,,,1,10,,,11,,,5,,,,,
2,2,209,2,1040,20001,5,2,2,0,0,0,0,0,0,3,0,1,,,,1,8,,,,,,1,,,,,
2,2,209,2,1040,20002,4,2,0,0,0,0,0,0,0,3,,1,,,,1,8,,,,,,4,,1,,,
2,34,3401,2,0,20003,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,209,2,0,20004,3,1,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,209,2,1040,20005,5,4,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,209,2,1040,20006,5,5,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,9,,,,3,,4,,5,
2,2,209,2,1040,20007,2,2,0,2,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,209,2,1040,20008,2,2,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,209,2,1040,20009,4,4,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
2,2,209,2,1040,20010,4,4,0,7,0,0,0,0,0,2,2,1,,,,1,9,,,,,,1,,,,,
2,34,3416,2,0,20011,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,221,2,18,20012,0,0,0,1,0,1,2,1,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,221,2,18,20013,2,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,4,,5,,8,
2,2,221,2,18,20014,7,7,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,4,,,,,
2,2,221,2,18,20015,3,3,2,2,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,221,2,18,20016,0,2,1,2,1,0,1,2,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,221,2,18,20017,6,6,2,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
2,2,221,2,18,20018,2,3,1,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,7,,4,,,
2,2,221,2,18,20019,7,7,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,4,,,,,
2,2,221,2,18,20020,3,6,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20021,6,2,2,0,0,0,0,1,0,2,,1,,,,1,8,,,,,,1,,5,,,
2,2,201,2,60,20022,3,3,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20023,0,2,1,0,3,2,0,1,2,2,2,1,,,,2,,,,,,,,,,,,
2,2,201,2,60,20024,6,6,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
