"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22b"
4,1,107,2,1044,10067,1504,5,1,2,2,1,"28082015",28,8,2015,10,10,13,44,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,107,2,1044,10068,1504,4,1,2,2,1,"27082015",27,8,2015,13,45,16,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,107,2,1044,10069,1504,1,1,2,4,1,"27082015",27,8,2015,14,6,17,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,107,2,0,10070,0,0,1,2,2,1,"09102015",9,10,2015,9,45,13,30,15,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10071,1010,3,1,2,5,1,"09092015",9,9,2015,10,30,14,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10072,1010,16,1,2,2,1,"09092015",9,9,2015,9,20,12,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10073,1010,6,1,2,4,1,"12092015",12,9,2015,12,10,15,33,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10074,1010,1,1,2,4,1,"09092015",9,9,2015,11,24,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10075,1010,15,1,2,5,1,"12092015",12,9,2015,11,0,3,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10076,1010,9,1,2,3,1,"09092015",9,9,2015,10,30,14,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10077,1010,7,1,2,3,1,"12092015",12,9,2015,12,28,13,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10078,1010,2,1,2,4,1,"09092015",9,9,2015,13,58,17,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10079,1010,8,1,2,2,1,"09092015",9,9,2015,13,13,15,14,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,117,2,560,10080,1010,10,1,2,5,1,"12092015",12,9,2015,14,0,17,5,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,110,2,76,10081,1106,19,1,2,3,1,"07092015",7,9,2015,10,14,13,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,110,2,76,10082,1106,1,1,2,3,1,"08092015",8,9,2015,11,5,14,35,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,110,1,0,10083,0,43,1,1,2,1,"15092015",15,9,2015,17,10,20,15,15,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,110,2,76,10084,1106,25,1,1,4,1,"07092015",7,9,2015,14,20,16,48,15,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,110,2,76,10085,1106,7,1,2,4,1,"07092015",7,9,2015,10,13,13,20,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,110,2,76,10086,1106,16,1,2,2,1,"07092015",7,9,2015,9,5,11,48,15,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,110,2,76,10087,1106,40,1,2,2,1,"07092015",7,9,2015,12,8,15,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,110,2,76,10088,1106,10,1,2,5,1,"07092015",7,9,2015,12,15,14,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,110,2,76,10089,1106,13,1,2,5,1,"07092015",7,9,2015,15,0,17,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,105,2,638,10091,1507,18,1,2,4,1,"25082015",25,8,2015,10,43,14,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,105,2,638,10092,1507,11,1,2,2,1,"25082015",25,8,2015,9,30,12,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
5,3,322,2,0,10093,0,0,1,2,2,1,"24102015",24,10,2015,11,30,16,57,15,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,105,2,638,10094,1507,7,1,2,2,1,"25082015",25,8,2015,13,6,16,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,105,2,638,10096,1507,5,1,2,3,1,"24082015",24,8,2015,10,56,13,45,9,,"25082015",25,8,2015,10,14,11,30,16,,,,,,,,,,,,1,1,1
4,1,105,2,638,10097,1507,14,1,2,3,1,"26082015",26,8,2015,11,2,14,25,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,105,2,638,10098,1507,10,1,1,5,1,"25082015",25,8,2015,10,48,13,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,105,2,638,10099,1507,4,1,2,5,1,"26082015",26,8,2015,10,40,13,5,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,105,2,638,10100,1507,17,1,2,4,1,"24082015",24,8,2015,14,3,16,52,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,108,2,904,10102,1205,12,1,2,2,1,"01092015",1,9,2015,9,20,12,30,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,1,108,2,904,10103,1205,23,1,2,2,1,"31082015",31,8,2015,10,10,13,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,108,2,904,10104,1205,1,1,2,4,1,"31082015",31,8,2015,15,20,16,50,9,,"01092015",1,9,2015,12,30,14,10,16,,,,,,,,,,,,1,1,1
4,1,108,2,904,10105,1205,7,1,2,5,1,"31082015",31,8,2015,15,25,18,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,108,2,904,10106,1205,21,1,2,5,1,"31082015",31,8,2015,13,35,15,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,108,2,904,10107,1205,3,1,2,4,1,"31082015",31,8,2015,11,7,14,36,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,108,2,904,10108,1205,18,1,2,3,1,"31082015",31,8,2015,14,10,16,35,7,,"01092015",1,9,2015,13,45,15,10,16,,,,,,,,,,,,1,1,1
4,1,108,2,904,10109,1205,32,1,2,3,1,"01092015",1,9,2015,10,37,13,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
4,1,108,2,904,10110,1205,14,1,2,3,1,"31082015",31,8,2015,11,14,13,48,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,2,209,2,1040,20001,1305,4,1,2,5,1,"26082015",26,8,2015,17,28,19,11,16,,"27082015",27,8,2015,11,30,14,6,,,,,,,,,,,,,2,1,
2,2,209,2,1040,20002,1305,9,1,2,5,1,"26082015",26,8,2015,15,0,17,22,15,,"27082015",27,8,2015,7,10,11,2,16,,,,,,,,,,,,2,1,1
2,34,3401,2,0,20003,0,0,1,2,1,,"19102015",19,10,2015,14,11,18,20,1,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,209,2,0,20004,0,0,1,2,4,1,"17102015",17,10,2015,9,5,12,9,15,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,209,2,1040,20005,1305,1,1,2,2,1,"26082015",26,8,2015,15,5,17,45,1,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,209,2,1040,20006,1305,14,1,3,3,1,"26082015",26,8,2015,15,1,16,48,16,,,,,,,,,,,,,,,,,,,,,,1,1,
2,2,209,2,1040,20007,1305,22,1,2,4,1,"27082015",27,8,2015,6,9,8,52,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,209,2,1040,20008,1305,6,1,2,4,1,"26082015",26,8,2015,12,8,14,40,16,,,,,,,,,,,,,,,,,,,,,,1,1,
2,2,209,2,1040,20009,1305,20,1,2,3,1,"27082015",27,8,2015,6,28,8,16,16,,,,,,,,,,,,,,,,,,,,,,2,1,
2,2,209,2,1040,20010,1305,36,1,2,2,1,"26082015",26,8,2015,13,3,15,49,16,,,,,,,,,,,,,,,,,,,,,,2,1,
