"zone","state","lga","sector","ea","hhid","s6aq01","s6aq02","s6aq03","s6aq04","s6aq05","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13","s6aq14","s6aq15","version"
2,2,203,2,1224,20041,1,1,1,,1,1,,1,1,,1,1,3,1,1,2
2,2,203,2,1224,20042,1,1,1,,2,,1,1,1,,2,2,2,2,1,2
2,2,203,2,1224,20043,2,1,1,,1,1,,1,1,,2,1,2,2,2,2
2,2,203,2,1224,20044,4,1,1,,2,,2,1,1,,2,2,2,2,1,1
2,2,203,2,1224,20045,1,1,2,,1,2,,2,,1,1,2,2,1,1,1
2,2,203,2,1224,20046,1,1,1,,2,,2,1,1,,2,2,2,2,1,1
2,2,203,2,1224,20047,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
2,2,203,2,1224,20048,1,1,1,,1,1,,1,1,,1,1,2,2,2,2
2,2,203,2,1224,20049,13,1,1,,1,2,,1,1,,1,2,2,3,2,1
2,2,203,2,1224,20050,1,2,,2,2,,2,2,,1,1,1,2,2,1,2
2,2,212,2,956,20051,1,1,1,,2,,1,1,1,,1,2,2,1,2,2
2,2,212,2,956,20052,1,1,1,,1,1,,1,1,,1,2,2,2,2,2
2,2,212,2,956,20053,1,1,1,,2,,1,1,1,,1,2,2,2,2,1
2,2,212,2,956,20054,1,1,1,,1,1,,1,1,,1,1,3,2,1,2
2,2,212,2,956,20055,1,2,,2,2,,2,1,1,,1,1,3,2,1,1
2,2,212,2,956,20056,1,1,1,,1,1,,1,1,,1,2,2,2,1,1
2,2,212,2,956,20057,1,1,1,,1,2,,1,1,,1,2,1,2,1,1
2,2,212,2,956,20058,1,1,1,,2,,1,1,1,,2,2,2,2,2,2
2,2,212,2,956,20059,1,1,1,,1,1,,1,1,,1,1,3,2,1,2
2,2,212,2,956,20060,1,1,1,,2,,2,1,1,,2,2,2,2,1,1
2,2,210,2,1300,20061,1,1,1,,1,1,,1,2,,1,2,2,1,2,1
2,2,210,2,1300,20062,1,1,1,,1,1,,1,1,,2,1,2,2,2,1
2,2,210,2,1300,20063,1,1,1,,1,1,,1,1,,2,2,2,2,1,1
2,2,210,2,1300,20064,2,1,1,,1,1,,1,1,,1,1,3,2,1,1
2,2,210,2,1300,20065,1,1,1,,1,1,,1,1,,1,1,3,2,1,2
2,2,210,2,1300,20066,1,1,1,,1,1,,1,1,,1,2,1,2,2,2
6,24,2404,1,0,20067,1,1,1,,1,1,,1,1,,1,2,1,1,1,1
2,2,210,2,1300,20068,2,1,1,,1,1,,1,1,,2,2,1,2,1,1
2,2,210,2,1300,20069,2,1,1,,1,1,,2,,1,1,2,2,2,1,2
2,2,210,2,1300,20070,3,1,2,,2,,2,1,1,,1,2,1,2,1,2
2,2,214,2,898,20071,1,1,1,,1,1,,1,1,,1,2,2,1,2,2
2,2,214,2,898,20072,13,2,,2,2,,2,1,1,,1,1,3,1,1,1
2,2,214,2,898,20073,1,1,1,,1,1,,1,1,,1,1,3,2,2,1
2,2,214,2,898,20074,1,1,1,,1,2,,1,1,,1,2,2,2,2,2
2,2,214,2,898,20075,1,1,1,,1,1,,1,1,,2,2,2,2,2,1
2,2,214,2,898,20076,1,1,1,,1,1,,1,1,,1,2,2,2,1,2
2,2,214,2,898,20077,1,1,1,,1,1,,1,1,,1,2,2,2,1,2
2,2,214,2,898,20078,1,2,,2,2,,2,1,1,,1,1,3,2,1,1
2,2,214,2,898,20080,1,1,1,,2,,2,1,1,,2,1,1,2,4,2
2,2,215,1,8,20081,1,2,,1,1,1,,1,1,,2,1,2,1,2,2
2,2,215,1,8,20082,3,1,2,,2,,2,1,1,,1,2,1,2,1,1
2,2,215,1,8,20083,1,1,1,,1,1,,1,1,,1,2,2,2,1,1
2,2,215,1,8,20084,1,1,1,,1,2,,1,1,,1,2,1,2,2,2
2,2,215,1,8,20085,3,1,1,,1,1,,1,1,,1,2,1,1,1,2
2,2,215,1,8,20086,3,1,1,,1,1,,1,1,,1,2,2,2,1,1
2,2,215,1,8,20087,1,1,1,,1,1,,1,1,,1,2,1,1,1,2
2,2,215,1,8,20088,1,1,1,,1,1,,2,,2,1,2,2,2,1,1
2,2,215,1,8,20089,3,1,1,,1,1,,1,1,,2,2,2,2,2,1
2,2,215,1,8,20090,3,1,1,,1,1,,1,1,,2,2,2,2,2,2
2,2,207,2,1302,20091,1,1,1,,1,1,,1,1,,2,2,1,2,1,2
2,2,207,2,1302,20092,1,2,,2,1,2,,1,1,,1,2,2,2,2,2
2,2,207,2,1302,20093,2,1,1,,1,1,,1,1,,2,2,2,2,1,2
