"zone","state","lga","sector","ea","hhid","fish_cd","fish_desc","fish_other","sa9aq2","sa9aq3","sa9aq4a1","sa9aq4a2","sa9aq4b1","sa9aq4b2","sa9aq5a","sa9aq5b","sa9aq6","sa9aq7a","sa9aq7b","sa9aq8","sa9aq9","sa9aq10a1","sa9aq10a2","sa9aq10b1","sa9aq10b2","sa9aq11","sa9aq12a1","sa9aq12a2","sa9aq12a3","sa9aq12b1","sa9aq12b2","sa9aq12b3","sa9aq13a","sa9aq13b","sa9aq14","sa9aq15a","sa9aq15b","sa9aq16","sa9aq17","sa9aq18a1","sa9aq18a2","sa9aq18a3","sa9aq18b1","sa9aq18b2","sa9aq18b3"
2,5,514,2,710,50067,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,514,2,710,50067,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,514,2,710,50068,1,"Catfish",,1,6,15,3,0,,14,3,3500,0,,,6,1,3,0,,0,,,,,,,,,,,,,,,,,,,
2,5,514,2,710,50068,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,514,2,710,50068,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,514,2,710,50068,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,514,2,710,50068,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,514,2,710,50068,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,514,2,710,50068,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,608,1,3978,60030,1,"Catfish",,1,18,101,81,,,30,81,45000,,,,18,10,81,,,8,21,81,3,40,81,1,11,81,12000,25,81,25000,10,10,81,3,15,81,1
5,6,608,1,3978,60030,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,608,1,3978,60030,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,608,1,3978,60030,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,608,1,3978,60030,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,608,1,3978,60030,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,608,1,3978,60030,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70151,1,"Catfish",,1,52,8,91,0,,6,91,1200,0,,,40,0,,0,,0,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70151,2,"Tilapia",,1,52,10,91,0,,10,91,1000,0,,,40,2,91,0,,40,2,91,3,,,,0,,,,,,0,2,91,3,,,
1,7,713,2,304,70151,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70151,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70151,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70151,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70151,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70154,1,"Catfish",,1,46,6,91,0,,5,91,1200,0,,,46,1,91,0,,0,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70154,2,"Tilapia",,1,46,6,91,0,,5,91,1200,0,,,46,1,91,0,,0,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70154,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70154,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70154,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70154,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70154,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70155,1,"Catfish",,1,40,9,91,0,,8,91,1300,0,,,40,1,91,0,,0,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70155,2,"Tilapia",,1,40,10,91,0,,9,91,1300,0,,,40,1,91,0,,0,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70155,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70155,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70155,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70155,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70155,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70157,1,"Catfish",,1,42,10,91,0,,10,91,1500,0,,,42,0,,0,,0,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70157,2,"Tilapia",,1,42,12,91,0,,9,91,1000,0,,,42,3,91,0,,42,3,91,3,,,,0,,,,,,0,3,91,3,,,
1,7,713,2,304,70157,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70157,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70157,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70157,6,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,713,2,304,70157,7,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,915,1,1390,90022,1,"Catfish",,1,6,40,81,0,,30,81,20000,0,,,6,10,81,0,,0,,,,,,,,,,,,,,,,,,,
5,9,915,1,1390,90022,2,"Tilapia",,1,6,70,80,0,,50,80,1000,0,,,6,20,80,0,,0,,,,,,,,,,,,,,,,,,,
5,9,915,1,1390,90022,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,915,1,1390,90022,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,915,1,1390,90022,5,"Other (Specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
