"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11eq3","s11eq3a","s11eq3b","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15a","s11eq15b","s11eq16","s11eq17","s11eq18a","s11eq18b","s11eq19","s11eq20","s11eq20b","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27a","s11eq27b","s11eq28","s11eq29","s11eq30a","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35","s11eq36","s11eq37"
4,1,107,2,1044,10062,3,5,"OIL PALM TREE",3180,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,1,1,"MAIZE",1080,1,2,3,1,1080,3,13,1,,2,,,,,,,,,1,3,,"N1",1080,2,161,1000,5,,1000,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10063,1,2,"CASSAVA",1020,1,2,3,1,1020,3,161,1,,2,,,,,,,,,1,3,,"N1",1020,1,13,50,5,,50,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10063,2,1,"YAM",1120,1,2,3,1,1120,50,80,1,,2,,,,,,,,,1,3,,"N1",1120,20,80,8000,5,,8000,1,,,,2,,,,,,,,,,,,,
4,1,107,2,1044,10063,3,1,"CASSAVA",1020,1,2,3,1,1020,4,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,3,2,"MAIZE",1080,1,2,3,1,1080,3,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,4,1,"YAM",1120,1,2,3,1,1120,35,80,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,4,2,"MAIZE",1080,1,2,3,1,1080,4,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,4,3,"PALM TREE",3180,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,4,4,"PLANTAIN",2170,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,1,1,"CASSAVA",1020,1,1,2,1,1020,13,160,1,,2,,,,,,,,,1,1,,"N2",1020,5,160,500,5,,3500,1,,,,1,1,,"N2",1020,2,160,400,5,1200,1,,,
4,1,107,2,1044,10064,1,2,"MAIZE",1080,1,1,2,1,1080,10,82,1,,2,,,,,,,,,1,1,,"N2",1080,4,82,200,5,,200,1,,,,1,1,,"N3",1080,2,82,100,5,100,1,,,
4,1,107,2,1044,10064,1,3,"MELON",1090,1,1,2,1,1090,4,13,1,,2,,,,,,,,,1,1,,"N2",1090,1,13,120,5,,120,1,,,,1,1,,"N2",1090,1,13,100,5,120,1,,,
4,1,107,2,1044,10064,1,4,"PALM TREE",3180,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,1,5,"YAM",1120,1,1,2,1,1120,76,161,1,,2,,,,,,,,,1,1,,"N2",1120,20,161,300,5,,13000,1,,,,1,1,,"N3",1120,30,161,500,5,4500,1,,,
4,1,107,2,1044,10064,2,1,"OLD CASSAVA",1020,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,0,10065,1,1,"CASSAVA",1020,1,2,4,1,1020,2,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,0,10065,1,2,"PUMPKIN",2190,1,2,4,2,,,,,,2,,,,,,,,,1,2,,"N3",2191,4,91,1200,6,,300,1,,,,2,,,,,,,,,,,,,
4,1,102,1,0,10065,1,3,"MAIZE",1080,1,2,4,2,,,,,,2,,,,,,,,,1,2,,"N3",1080,3,13,150,6,,300,1,,,,2,,,,,,,,,,,,,
4,1,102,1,0,10065,2,1,"CASSAVA",1020,1,2,4,1,1020,2,161,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
