"zone","state","lga","ea","sector","hhid","network_cd","s12q2","s12q2b","s12q3"
5,3,309,478,2,30039,"N02",2,,1
5,3,309,478,2,30039,"N03",2,,1
5,3,309,478,2,30040,"N01",1,,1
5,3,307,634,1,30043,"N01",9,,1
5,3,307,634,1,30043,"N02",9,,2
5,3,307,634,1,30043,"N03",9,,3
5,3,307,634,1,30045,"N01",17,,3
5,3,307,634,1,30045,"N02",2,,1
5,3,307,634,1,30047,"N01",1,,8
5,3,307,634,1,30048,"N01",2,,3
5,3,307,634,1,30049,"N01",1,,6
5,3,307,634,1,30049,"N02",2,,1
5,3,321,364,2,30051,"N01",4,,4
5,3,321,364,2,30052,"N01",1,,2
5,3,321,364,2,30052,"N02",2,,2
5,3,321,364,2,30052,"N03",2,,1
5,3,321,364,2,30053,"N01",28,,5
5,3,321,364,2,30053,"N02",28,,4
5,3,321,364,2,30054,"N01",8,,1
5,3,321,364,2,30055,"N01",3,,1
5,3,321,364,2,30055,"N02",2,,1
5,3,321,364,2,30055,"N03",9,,1
5,3,321,364,2,30056,"N01",9,,2
5,3,321,364,2,30056,"N02",9,,2
5,3,321,364,2,30056,"N03",9,,1
5,3,321,364,2,30056,"N04",16,,4
5,3,321,364,2,30057,"N01",1,,7
5,3,321,364,2,30058,"N01",9,,1
5,3,321,364,2,30058,"N02",9,,1
5,3,321,364,2,30058,"N03",9,,1
5,3,321,364,2,30059,"N01",1,,6
5,3,321,364,2,30060,"N01",3,,5
5,3,321,364,2,30060,"N02",12,,3
5,3,329,696,2,30066,"N01",4,,2
5,3,329,696,2,30069,"N01",2,,1
5,3,329,696,2,30070,"N01",1,,1
5,3,323,580,2,30071,"N01",15,,6
5,3,323,580,2,30074,"N01",1,,8
5,3,323,580,2,30074,"N02",2,,1
5,3,323,580,2,30075,"N01",1,,1
5,3,318,1136,2,30081,"N01",12,,3
5,3,318,1136,2,30081,"N02",12,,3
5,3,318,1136,2,30081,"N03",12,,3
5,3,318,1136,2,30085,"N01",1,,1
5,3,318,1136,2,30085,"N02",1,,1
5,3,318,1136,2,30085,"N03",12,,1
5,3,318,1136,2,30086,"N01",12,,2
5,3,318,1136,2,30090,"N01",1,,1
5,3,318,1136,2,30090,"N02",1,,1
5,3,313,70,2,30091,"N01",6,,1
5,3,313,70,2,30093,"N01",6,,1
5,3,313,70,2,30098,"N01",1,,6
5,3,313,70,2,30098,"N02",12,,3
5,3,313,70,2,30099,"N01",2,,2
5,3,301,1198,1,30104,"N01",4,,2
5,3,301,1198,1,30105,"N01",1,,1
5,3,301,1198,1,30105,"N02",6,,1
5,3,301,1198,1,30107,"N01",4,,2
5,3,326,74,2,30111,"N01",17,,6
5,3,326,74,2,30113,"N01",17,,6
5,3,326,74,2,30113,"N02",12,,6
5,3,326,74,2,30115,"N01",17,,3
5,3,326,74,2,30115,"N02",2,,2
5,3,326,74,2,30115,"N03",15,,3
5,3,326,74,2,30115,"N04",28,,3
5,3,326,74,2,30118,"N01",2,,2
5,3,326,74,2,30118,"N02",17,,4
5,3,326,74,2,30118,"N03",12,,4
5,3,326,74,2,30119,"N01",1,,2
5,3,326,74,2,30119,"N02",6,,1
5,3,326,74,2,30120,"N01",1,,1
5,3,305,1542,2,30121,"N01",15,,4
5,3,305,1542,2,30121,"N02",13,,4
5,3,305,1542,2,30121,"N03",2,,1
5,3,305,1542,2,30123,"N01",6,,3
5,3,305,1542,2,30123,"N02",12,,1
5,3,305,1542,2,30123,"N03",15,,3
5,3,305,1542,2,30123,"N04",31,,1
5,3,305,1542,2,30123,"N05",15,,2
5,3,305,1542,2,30123,"N06",,,
5,3,305,1542,2,30124,"N01",2,,6
5,3,312,20,2,30131,"N01",1,,8
5,3,312,20,2,30131,"N02",3,,2
5,3,312,20,2,30134,"N01",2,,1
5,3,312,20,2,30138,"N01",9,,2
5,3,312,20,2,30140,"N01",2,,1
5,3,305,4,2,30142,"N01",2,,2
5,3,305,4,2,30142,"N02",2,,2
5,3,305,4,2,30147,"N01",2,,2
5,3,305,4,2,30148,"N01",1,,7
5,3,305,4,2,30149,"N01",1,,7
5,3,305,4,2,30149,"N02",7,,2
5,3,305,4,2,30149,"N03",12,,3
5,3,305,4,2,30149,"N04",12,,3
5,3,305,4,2,30149,"N05",12,,2
5,3,305,4,2,30149,"N06",28,,4
4,4,414,2176,1,40033,"N01",1,,1
4,4,414,2176,1,40033,"N02",9,,3
4,4,414,2176,1,40034,"N01",9,,3
4,4,414,2176,1,40037,"N01",10,,4
4,4,415,2108,1,40041,"N01",1,,1
4,4,415,2108,1,40041,"N02",9,,3
4,4,415,2108,1,40043,"N01",1,,1
4,4,415,2108,1,40043,"N02",9,,3
4,4,415,0,1,40044,"N01",9,,3
4,4,415,2108,1,40045,"N01",1,,5
4,4,415,2108,1,40046,"N01",1,,1
4,4,415,2108,1,40046,"N02",10,,3
4,4,415,2108,1,40046,"N03",10,,3
4,4,415,2108,1,40046,"N04",10,,4
4,4,415,2108,1,40046,"N05",12,,4
4,4,415,2108,1,40046,"N06",9,,3
4,4,415,2108,1,40047,"N01",1,,1
4,4,415,2108,1,40047,"N02",2,,1
4,4,415,2108,1,40047,"N03",9,,3
4,4,415,2108,1,40049,"N01",1,,7
4,4,413,1540,2,40052,"N01",9,,4
4,4,413,1540,2,40053,"N01",8,,3
4,4,413,1540,2,40053,"N02",8,,3
4,4,413,1540,2,40053,"N03",8,,3
4,4,413,1540,2,40053,"N04",8,,3
4,4,413,1540,2,40053,"N05",8,,3
4,4,413,1540,2,40054,"N01",1,,1
4,4,413,1540,2,40054,"N02",13,,3
4,4,413,1540,2,40058,"N01",13,,1
4,4,413,1540,2,40058,"N02",31,"TRANSPORTER",1
4,4,413,1540,2,40058,"N03",7,,1
4,4,413,1540,2,40060,"N01",9,,1
4,4,413,1540,2,40060,"N02",2,,1
4,4,413,1540,2,40060,"N03",9,,1
4,4,413,1540,2,40060,"N04",9,,1
4,4,405,722,2,40062,"N01",31,"COMMUNITY SUPPLY",1
4,4,405,722,2,40062,"N02",31,"COMMUNITY SUPPLY",1
4,4,405,722,2,40062,"N03",31,"COMMUNITY SUPPLY",1
4,4,405,722,2,40064,"N01",9,,1
4,4,405,722,2,40064,"N02",2,,1
4,4,405,722,2,40065,"N01",1,,8
4,4,405,722,2,40066,"N01",31,"SON",8
4,4,405,722,2,40066,"N02",9,,3
4,4,405,722,2,40067,"N01",1,,7
4,4,405,722,2,40067,"N02",9,,3
4,4,405,722,2,40068,"N01",1,,1
4,4,405,722,2,40068,"N02",9,,2
4,4,405,722,2,40069,"N01",1,,8
4,4,405,722,2,40069,"N02",11,,1
4,4,405,722,2,40069,"N03",11,,1
4,4,405,722,2,40069,"N04",11,,1
4,4,405,722,2,40069,"N05",9,,1
4,4,405,722,2,40069,"N06",9,,1
4,4,405,722,2,40070,"N01",11,,1
4,4,405,722,2,40070,"N02",11,,1
4,4,405,722,2,40070,"N03",9,,1
4,4,405,722,2,40070,"N04",9,,1
4,4,405,484,2,40071,"N01",31,"SON",8
4,4,405,484,2,40071,"N02",1,,6
4,4,405,484,2,40071,"N03",2,,1
4,4,405,484,2,40071,"N04",9,,1
4,4,405,484,2,40074,"N01",9,,1
4,4,405,484,2,40074,"N02",2,,1
4,4,405,484,2,40075,"N01",1,,1
4,4,405,484,2,40076,"N01",9,,1
4,4,405,484,2,40076,"N02",10,,1
4,4,405,484,2,40078,"N01",2,,1
4,4,405,484,2,40078,"N02",9,,1
4,4,405,484,2,40078,"N03",10,,1
4,4,405,484,2,40080,"N01",4,,1
4,4,405,484,2,40080,"N02",9,,3
4,4,419,296,2,40082,"N01",1,,1
4,4,419,296,2,40082,"N02",9,,1
4,4,419,296,2,40082,"N03",5,,2
4,4,419,296,2,40082,"N04",9,,1
4,4,419,296,2,40082,"N05",2,,1
4,4,419,296,2,40082,"N06",10,,2
4,4,419,296,2,40082,"N07",8,,1
4,4,419,296,2,40084,"N01",9,,3
4,4,419,296,2,40085,"N01",31,"LAND OWNER FROM IHITE",3
4,4,419,296,2,40085,"N02",13,,4
4,4,419,296,2,40085,"N03",13,,4
4,4,419,296,2,40085,"N04",9,,1
4,4,419,296,2,40085,"N05",9,,1
4,4,419,296,2,40086,"N01",9,,1
4,4,419,296,2,40086,"N02",9,,1
4,4,419,296,2,40086,"N03",9,,1
4,4,419,296,2,40089,"N01",8,,2
4,4,419,296,2,40090,"N01",2,,1
4,4,401,1460,1,40092,"N01",9,,1
4,4,401,1460,1,40092,"N02",9,,1
4,4,401,1460,1,40092,"N03",1,,1
