"zone","state","lga","sector","ea","hhid","indiv","s3q1","s3q2","s3q3","s3q4","s3q4b","s3q5","s3q5b","s3q5c","s3q6","s3q6b","s3q6c","s3q7","s3q8","s3q9","s3q9b","s3q10","s3q11","s3q11b","s3q12b1","s3q13a","s3q13b","s3q14","s3q14b","s3q15","s3q15b","s3q15b1","s3q15c","s3q15d","s3q15e","s3q15f","s3q16","s3q17","s3q18","s3q21a","s3q21b","s3q22a","s3q22b","s3q23","s3q24a","s3q24b","s3q25","s3q26a","s3q26b","s3q27","s3q28","s3q28b","s3q28b1","s3q28c","s3q28d","s3q28e","s3q28f","s3q29","s3q30","s3q31","s3q34a","s3q34b","s3q35a","s3q35b","s3q36","s3q37a","s3q37b","s3q38","s3q38a","s3q39_new","s3q39a_new","s3q40_new"
4,1,104,2,1364,10016,4,1,2,3,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10016,5,1,2,3,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10016,6,1,2,3,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10017,1,1,2,2,2,,2,,,2,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10017,2,1,1,,2,,2,,,2,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10017,5,1,2,2,1,81,2,,,2,,,1,,,,,,,1,"COMPUTER PROGRAMMES",2133,10,,5,,2,1,2,2,2,12,46,54,30000,5,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10017,6,1,2,2,1,81,2,,,2,,,1,,,,,,,1,"COMPUTER PROGRAMMES",2133,10,,5,,2,1,2,2,2,12,46,54,25000,5,6,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10018,1,1,2,2,1,40,1,10,3,2,,,1,,,,,,,1,"CIVIL SERVANT (TAX COLLECTOR)",3442,13,,2,,2,4,1,1,2,12,52,40,30000,5,1,2,2,,,1,"CROP FARMING",6210,1,5,,2,1,2,2,2,10,38,6,25000,5,1,2,2,,,2,2,,2,
4,1,104,2,1364,10018,2,1,1,,2,,2,,,2,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,1
4,1,104,2,1364,10018,3,1,2,2,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10018,4,1,2,2,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10018,5,1,1,,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10019,1,1,1,,2,,1,8,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,2,
4,1,104,2,1364,10019,2,1,2,1,2,,1,5,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,3
4,1,104,2,1364,10019,3,1,2,1,2,,1,7,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10019,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,5,1,2,1,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10019,6,1,2,1,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,104,2,1364,10019,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,1,1,1,,1,8,1,6,3,2,,,1,,,,,,,1,"SERVING MENEY",7129,6,,5,,1,1,2,2,2,10,50,6,1000,2,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,106,2,880,10021,2,1,2,1,2,,1,7,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,106,2,880,10021,3,1,2,1,2,,1,7,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,3
4,1,106,2,880,10021,4,1,2,1,2,,1,7,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,3
4,1,106,2,880,10021,5,1,2,1,2,,1,7,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,106,2,880,10022,1,1,1,,2,,1,56,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,2,
4,1,106,2,880,10022,2,1,2,1,2,,1,25,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,106,2,880,10022,3,1,2,1,2,,1,8,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,2
4,1,106,2,880,10022,4,1,2,1,2,,1,5,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,106,2,880,10022,5,1,2,1,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,106,2,880,10022,6,1,1,,2,,2,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,106,2,880,10023,1,1,2,2,2,,1,35,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
4,1,106,2,880,10023,2,1,1,,2,,1,28,3,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,
