"zone","state","lga","ea","sector","hhid","sa9aq1"
2,5,520,1756,2,50170,2
5,6,602,1356,2,60005,2
5,6,602,0,2,60006,2
5,6,602,1356,2,60008,2
5,6,602,1356,2,60009,2
5,6,602,1356,2,60010,2
5,6,606,1372,2,60012,2
5,6,606,1372,2,60014,2
5,6,606,1372,2,60015,2
5,6,606,1372,2,60020,2
5,6,608,3978,1,60021,2
5,6,608,3978,1,60022,2
5,6,608,3978,1,60023,2
5,6,608,3978,1,60026,2
5,6,608,3978,1,60027,2
5,6,608,3978,1,60028,2
5,6,608,3978,1,60030,1
5,6,607,1892,2,60038,2
5,6,605,162,2,60052,2
5,6,605,162,2,60059,2
1,7,707,560,2,70001,2
1,7,707,560,2,70002,2
1,7,707,560,2,70003,2
1,7,707,560,2,70006,2
1,7,707,560,2,70007,2
1,7,707,560,2,70008,2
1,7,707,560,2,70009,2
1,7,707,560,2,70010,2
1,7,708,754,2,70011,2
1,7,708,754,2,70012,2
1,7,708,754,2,70013,2
1,7,708,754,2,70015,2
1,7,708,754,2,70016,2
1,7,708,754,2,70017,2
1,7,708,754,2,70018,2
1,7,708,754,2,70019,2
1,7,708,754,2,70020,2
1,7,705,4186,2,70021,2
1,7,705,4186,2,70022,2
1,7,705,4186,2,70023,2
1,7,705,4186,2,70024,2
1,7,705,4186,2,70025,2
1,7,705,4186,2,70026,2
1,7,705,4186,2,70027,2
1,7,705,4186,2,70028,2
1,7,705,4186,2,70029,2
1,7,705,4186,2,70030,2
1,7,722,234,2,70031,2
1,7,722,234,2,70032,2
1,7,722,234,2,70033,2
1,7,722,234,2,70034,2
1,7,722,234,2,70035,2
1,7,722,234,2,70036,2
1,7,722,234,2,70038,2
1,7,722,234,2,70039,2
1,7,722,234,2,70040,2
1,7,722,892,2,70041,2
1,7,722,892,2,70042,2
1,7,722,892,2,70043,2
1,7,722,892,2,70044,2
1,7,722,892,2,70045,2
1,7,722,892,2,70046,2
1,7,722,892,2,70047,2
1,7,722,892,2,70048,2
1,7,722,892,2,70049,2
1,7,722,892,2,70050,2
1,7,710,2726,2,70051,2
1,7,710,2726,2,70052,2
1,7,710,2726,2,70053,2
1,7,710,2726,2,70054,2
1,7,710,2726,2,70055,2
1,7,710,2726,2,70056,2
1,7,710,2726,2,70057,2
1,7,710,2726,2,70058,2
1,7,710,2726,2,70059,2
1,7,710,2726,2,70060,2
1,7,711,2532,2,70062,2
1,7,711,2532,2,70063,2
1,7,711,2532,2,70064,2
1,7,711,2532,2,70066,2
1,7,711,2532,2,70067,2
1,7,711,2532,2,70068,2
1,7,711,2532,2,70069,2
1,7,711,2532,2,70070,2
1,7,709,1226,2,70071,2
1,7,709,1226,2,70072,2
1,7,709,1226,2,70073,2
1,7,709,1226,2,70074,2
1,7,709,1226,2,70075,2
1,7,709,1226,2,70076,2
1,7,709,1226,2,70077,2
1,7,709,1226,2,70078,2
1,7,709,1226,2,70079,2
1,7,709,1226,2,70080,2
1,7,719,1612,1,70083,2
1,7,719,1612,1,70089,2
1,7,719,1612,1,70090,2
1,7,717,1248,2,70091,2
1,7,717,1248,2,70092,2
1,7,717,1248,2,70093,2
1,7,717,1248,2,70094,2
1,7,717,1248,2,70095,2
1,7,717,1248,2,70096,2
1,7,717,1248,2,70097,2
1,7,717,1248,2,70098,2
1,7,717,1248,2,70099,2
1,7,717,1248,2,70100,2
1,7,701,606,2,70101,2
1,7,701,606,2,70102,2
1,7,701,606,2,70103,2
1,7,701,606,2,70104,2
1,7,701,606,2,70105,2
1,7,701,606,2,70106,2
1,7,701,606,2,70107,2
1,7,701,606,2,70108,2
1,7,701,606,2,70109,2
1,7,701,606,2,70110,2
1,7,702,632,2,70111,2
1,7,702,632,2,70112,2
1,7,702,632,2,70113,2
1,7,702,632,2,70114,2
1,7,702,632,2,70115,2
1,7,702,632,2,70116,2
1,7,702,632,2,70117,2
1,7,702,632,2,70118,2
1,7,702,632,2,70119,2
1,7,702,632,2,70120,2
1,7,718,1640,2,70121,2
1,7,718,1640,2,70122,2
1,7,718,1640,2,70123,2
1,7,718,1640,2,70124,2
1,7,718,1640,2,70125,2
1,7,718,1640,2,70126,2
1,7,718,1640,2,70127,2
1,7,718,1640,2,70128,2
1,7,718,1640,2,70129,2
1,7,718,1640,2,70130,2
1,7,715,780,2,70131,2
1,7,715,780,2,70132,2
1,7,715,780,2,70133,2
1,7,715,780,2,70134,2
1,7,715,780,2,70135,2
1,7,715,780,2,70136,2
1,7,715,780,2,70137,2
1,7,715,780,2,70138,2
1,7,715,780,2,70139,2
1,7,715,780,2,70140,2
1,7,715,294,1,70141,2
1,7,715,294,1,70142,2
1,7,715,294,1,70144,2
1,7,715,294,1,70147,2
1,7,715,294,1,70149,2
1,7,715,294,1,70150,2
1,7,713,304,2,70151,1
1,7,713,304,2,70154,1
1,7,713,304,2,70155,1
1,7,713,304,2,70156,2
1,7,713,304,2,70157,1
1,7,713,304,2,70159,2
1,7,713,304,2,70160,2
2,8,821,1448,1,80011,2
2,8,812,866,2,80081,2
2,8,812,866,2,80082,2
2,8,812,866,2,80083,2
2,8,812,866,2,80084,2
2,8,812,866,2,80085,2
2,8,812,866,2,80086,2
2,8,812,866,2,80087,2
2,8,812,866,2,80088,2
2,8,812,866,2,80089,2
2,8,812,866,2,80090,2
2,8,827,804,2,80101,2
2,8,827,804,2,80102,2
2,8,827,804,2,80103,2
2,8,827,804,2,80104,2
2,8,827,804,2,80105,2
2,8,827,804,2,80106,2
2,8,827,804,2,80107,2
2,8,827,804,2,80108,2
2,8,827,804,2,80109,2
2,8,827,804,2,80110,2
2,8,820,1030,2,80141,2
2,8,820,1030,2,80142,2
2,8,820,1030,2,80143,2
2,8,820,1030,2,80144,2
2,8,820,1030,2,80145,2
2,8,820,1030,2,80146,2
2,8,820,1030,2,80147,2
2,8,820,1030,2,80148,2
2,8,820,1030,2,80149,2
2,8,820,1030,2,80150,2
2,8,824,768,2,80155,2
2,8,824,768,2,80156,2
2,8,824,768,2,80159,2
2,8,824,768,2,80160,2
2,8,815,362,2,80201,2
2,8,815,362,2,80202,2
2,8,815,362,2,80203,2
2,8,815,362,2,80204,2
2,8,815,362,2,80207,2
2,8,815,362,2,80208,2
2,8,815,362,2,80210,2
5,9,908,278,1,90004,2
5,9,908,0,1,90006,2
5,3,312,0,2,90007,2
5,9,908,278,1,90009,2
5,9,903,48,2,90011,2
5,9,903,0,2,90013,2
5,9,903,48,2,90014,2
5,9,903,48,2,90016,2
5,9,903,48,2,90018,2
5,9,903,48,2,90020,2
5,9,915,1390,1,90022,1
5,9,915,1390,1,90025,2
5,9,915,1390,1,90026,2
5,9,915,1390,1,90027,2
5,9,915,1390,1,90029,2
5,9,917,1254,1,90031,2
5,9,917,1254,1,90032,2
5,9,917,1254,1,90033,2
5,9,917,1254,1,90035,2
5,9,917,1254,1,90036,2
5,9,917,1254,1,90037,2
5,9,917,1254,1,90038,2
5,9,917,1254,1,90040,2
5,9,901,398,2,90041,2
5,9,901,398,2,90043,2
5,9,901,398,2,90044,2
5,9,901,398,2,90045,2
5,9,901,398,2,90046,2
5,9,901,398,2,90047,2
5,9,901,398,2,90048,2
5,3,331,0,1,90051,2
5,9,910,200,2,90052,2
5,9,910,200,2,90054,2
5,9,910,0,2,90055,2
5,9,910,200,2,90057,2
5,9,912,0,2,90058,2
5,9,910,200,2,90059,2
5,9,910,200,2,90060,2
5,9,907,1446,2,90062,2
5,9,907,1446,2,90063,2
5,9,907,1446,2,90064,2
5,9,907,1446,2,90065,2
5,9,907,1446,2,90066,2
5,9,907,1446,2,90067,2
5,9,907,1446,2,90069,2
5,9,907,0,2,90070,2
5,9,912,102,2,90071,2
5,9,912,0,2,90072,2
5,9,912,102,2,90074,2
5,9,912,102,2,90075,2
5,9,912,102,2,90076,2
5,9,912,102,2,90078,2
5,9,912,102,2,90079,2
5,9,912,102,2,90080,2
5,9,916,1068,2,90081,2
5,9,916,1068,2,90082,2
5,9,916,1068,2,90083,2
5,9,916,1068,2,90084,2
5,9,916,1068,2,90085,2
5,9,916,1068,2,90086,2
5,9,916,1068,2,90087,2
5,9,916,1068,2,90088,2
5,9,916,1068,2,90089,2
5,9,916,1068,2,90090,2
5,9,918,834,2,90091,2
5,9,918,834,2,90092,2
5,9,918,834,2,90093,2
5,9,918,834,2,90094,2
5,9,918,834,2,90095,2
5,9,918,834,2,90096,2
5,9,918,834,2,90097,2
5,9,918,834,2,90099,2
5,9,918,834,2,90100,2
5,9,905,978,2,90101,2
5,9,905,978,2,90102,2
1,25,2503,0,2,90103,2
5,9,905,978,2,90104,2
5,9,905,978,2,90106,2
5,9,905,978,2,90107,2
5,9,905,978,2,90108,2
5,9,905,0,2,90109,2
5,9,905,978,2,90110,2
5,9,914,1746,2,90112,2
5,9,914,1746,2,90113,2
5,9,914,1746,2,90114,2
5,9,914,1746,2,90115,2
5,9,914,1746,2,90116,2
5,9,914,1746,2,90118,2
5,9,907,0,2,90119,2
5,9,914,1746,2,90120,2
5,9,913,2266,2,90121,2
5,9,913,2266,2,90122,2
4,11,1107,0,2,90123,2
5,9,913,2266,2,90124,2
5,9,913,2266,2,90126,2
5,9,913,2266,2,90127,2
5,9,913,2266,2,90128,2
5,9,913,2266,2,90129,2
5,9,913,2266,2,90130,2
5,10,1014,80,2,100002,2
5,10,1014,80,2,100003,2
5,10,1014,80,2,100004,2
5,10,1014,80,2,100005,2
5,10,1014,80,2,100007,2
5,10,1014,80,2,100009,2
5,10,1001,172,2,100013,2
5,10,1001,172,2,100014,2
5,10,1001,172,2,100015,2
5,10,1001,172,2,100020,2
5,10,1002,0,2,100021,2
5,10,1007,1166,1,100024,2
5,10,1007,1166,1,100025,2
5,10,1007,1166,1,100029,2
5,10,1007,1166,1,100030,2
5,10,1008,1314,2,100031,2
5,10,1008,1314,2,100032,2
5,10,1008,1314,2,100033,2
5,10,1008,1314,2,100034,2
5,10,1008,1314,2,100035,2
5,10,1008,1314,2,100036,2
5,10,1008,1314,2,100038,2
5,10,1008,1314,2,100039,2
5,10,1008,1314,2,100040,2
5,10,1008,1718,2,100042,2
5,10,1008,1718,2,100043,2
5,10,1008,1718,2,100044,2
5,10,1008,1718,2,100045,2
5,10,1008,1718,2,100046,2
5,10,1008,1718,2,100047,2
5,10,1008,1718,2,100048,2
5,10,1008,1718,2,100049,2
5,10,1008,1718,2,100050,2
5,10,1012,936,2,100061,2
5,10,1012,936,2,100065,2
5,10,1010,20,2,100071,2
5,10,1010,20,2,100073,2
5,10,1010,20,2,100074,2
5,10,1010,20,2,100076,2
5,10,1010,20,2,100080,2
5,10,1005,1374,2,100082,2
5,10,1005,1374,2,100083,2
5,10,1005,1374,2,100085,2
5,10,1005,1374,2,100086,2
5,10,1005,1374,2,100090,2
5,10,1005,662,1,100092,2
5,10,1005,662,1,100094,2
5,10,1005,662,1,100095,2
5,10,1005,662,1,100096,2
5,10,1005,662,1,100097,2
5,10,1005,662,1,100098,2
5,10,1018,898,2,100101,2
5,10,1018,898,2,100102,2
5,10,1018,898,2,100103,2
