"zone","state","lga","sector","ea","hhid","plotid","s11b1q1","s11b1q2","s11b1q3","s11b1q4","s11b1q5","s11b1q6a","s11b1q6b","s11b1q7","s11b1q8","s11b1q8b","s11b1q8a","s11b1q8b1","s11b1q8b2","s11b1q8b3","s11b1q9","s11b1q9_os","s11b1q9a","s11b1q10a","s11b1q10b","s11b1q10c","s11b1q10d","s11b1q11","s11b1q12a","s11b1q12b","s11b1q12c","s11b1q12d","s11b1q13","s11b1q14","s11b1q15","s11b1q16a1","s11b1q16a2","s11b1q16b1","s11b1q16b2","s11b1q17","s11b1q18","s11b1q19","s11b1q19a","s11b1q20","s11b1q21","s11b1q22a","s11b1q22b","s11b1q22c","s11b1q23a","s11b1q23b","s11b1q23c","s11b1q23d","s11b1q24","s11b1q25a","s11b1q25b","s11b1q26","s11b1q27","s11b1q28","s11b1q28a","s11b1q29","s11b1q30a","s11b1q30b","s11b1q31","s11b1q32","s11b1q33","s11b1q34","s11b1q35","s11b1q39","s11b1q40","s11b1q41a","s11b1q41b","s11b1q42","s11b1q43","s11b1q43b","s11b1q44","s11b1q44_os","s11b1q45","s11b1q46","s11b1q47","s11b1q48","s11b1q49","s11b1q50a","s11b1q50a_os","s11b1q50b","s11b1q51"
4,1,107,2,1044,10068,2,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,25000,0,"N1",2,,2,,3,1,,,,,,,,,,,,,,,300000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10068,3,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,15000,0,"N2",2,,2,,3,1,,,,,,,,,,,,,,,350000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10069,1,1,,1972,5,,2,1,2,,,,,,,1,,1,8,,,,1,1,2,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,54,,250000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,1044,10069,2,1,,1972,5,,2,1,2,,,,,,,1,,1,8,,,,1,1,2,,,,,,,,,,,,2,2,1,2,,,,,2,,,1,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,0,10070,1,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,7000,0,"N1",2,,2,,3,1,,,,,,,,,,,,,,,150000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,0,10070,2,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,7000,0,"N1",2,,2,,3,1,,,,,,,,,,,,,,,150000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,107,2,0,10070,3,1,,2015,5,,2,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,,2,2,2,,,,,4,,,2,54,,170000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,117,2,560,10071,1,1,,1972,5,,1,2,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,54,,200000,1,,,,,,,,,,,2,,,,,,,4,,1,3,2,,,,,,
4,1,117,2,560,10071,2,1,,1972,5,,1,2,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,3,,,1,54,,150000,1,,,,,,,,,,,2,,,,,,,4,,1,3,2,,,,,,
4,1,117,2,560,10072,1,1,,2015,2,,,,,,,,,,,,,,,,,,,,,,,1500,0,"N1",1,,1,2,3,1,,,,,,,,,,,,,,,150000,1,,,,,,,,,,,2,,,,,,,5,,1,2,2,,,,,,
4,1,117,2,560,10072,2,1,,2013,5,,1,2,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,,3,,,2,54,,200000,2,1,2,,,,,,,,,,,,,,,,4,,1,2,2,,,,,,
4,1,117,2,560,10073,1,1,,1993,5,,1,2,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,2,2,2,1,2,,,,2,,,1,53,,340000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,117,2,560,10073,2,1,,1993,5,,1,2,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,2,2,2,1,2,,,,2,,,1,53,,500000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,117,2,560,10074,1,1,,1975,5,,1,2,2,,,,,,,1,,2,,,,,1,4,,,,,,,,,,,,,1,2,1,1,1,,,,2,,,1,53,,270000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,117,2,560,10074,2,1,,1975,5,,1,2,2,,,,,,,1,,2,,,,,1,4,,,,,,,,,,,,,1,2,1,1,1,,,,2,,,1,53,,240000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,117,2,560,10075,1,1,,1981,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,2,2,,,,,3,,,1,54,,150000,1,,,,,,,,,,,2,,,,,,,2,,1,2,2,,,,,,
4,1,117,2,560,10075,2,1,,1981,5,,1,,2,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,1,2,2,2,,,,,3,,,1,54,,100000,1,,,,,,,,,,,2,,,,,,,2,,1,2,2,,,,,,
4,1,117,2,560,10076,1,1,,1970,5,,1,,2,,,,,,,3,"NOT IN DISPUT",2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,2,,,1,1,,200000,1,,,,,,,,,,,2,,,,,,,4,,1,2,2,,,,,,
4,1,117,2,560,10077,1,1,,,5,,1,,2,,,,,,,3,"NOT IN DISPUT",2,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,1,1,,220000,1,,,,,,,,,,,2,,,,,,,4,,1,2,2,,,,,,
4,1,117,2,560,10077,2,1,,,5,,1,,2,,,,,,,3,"NOT IN DISPUT",2,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,1,1,,200000,1,,,,,,,,,,,2,,,,,,,4,,1,2,2,,,,,,
4,1,117,2,560,10078,1,1,,1932,5,,1,,2,,,,,,,1,,2,,,,,1,1,4,,,,,,,,,,,,1,2,1,2,,,,"N1",,,,1,54,,320000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,117,2,560,10078,2,1,,1932,5,,1,,2,,,,,,,1,,2,,,,,1,1,4,,,,,,,,,,,,1,2,1,2,,,,"N1",,,,1,54,,400000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,117,2,560,10078,3,1,,1932,5,,1,,2,,,,,,,1,,2,,,,,1,1,4,,,,,,,,,,,,1,2,1,2,,,,"N1",,,,1,54,,450000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,117,2,560,10079,1,1,,2015,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,,2,,,,,,
4,1,117,2,560,10080,1,1,,,5,,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,1,,,2,54,,200000,1,,,,,,,,,,,2,,,,,,,2,,1,2,2,,,,,,
4,1,117,2,560,10080,2,1,,,5,,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,,1,,,2,54,,250000,1,,,,,,,,,,,2,,,,,,,2,,1,2,2,,,,,,
4,1,110,2,76,10081,1,1,,,4,,1,,2,,,,,,,3,"COMMUNAL LAND",2,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,52,,50000,1,,,,,,,,,,,2,,,,,,,4,,1,2,2,,,,,,
4,1,110,2,76,10082,1,1,,,4,,1,,2,,,,,,,3,"COMMUNITY LAND2",2,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,52,,248500,1,,,,,,,,,,,2,,,,,,,4,,1,2,2,,,,,,
4,1,110,2,76,10082,2,1,,,4,,1,,2,,,,,,,3,"COMMUNITY LAND",2,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,52,,239800,1,,,,,,,,,,,2,,,,,,,4,,1,2,2,,,,,,
4,1,110,2,76,10082,3,1,,,4,,1,,2,,,,,,,3,"COMMUNITY LAND",2,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,52,,245600,1,,,,,,,,,,,2,,,,,,,4,,1,2,2,,,,,,
4,1,110,2,76,10085,1,1,,1978,5,,1,,2,,,,,,,2,,2,,,,,2,,,,,,,,,,,,,,1,2,1,2,,,,"N1",,,,1,54,,200000,1,,,,,,,,,,,2,,,,,,,5,,1,1,2,,,,,,
4,1,110,2,76,10085,2,1,,1982,4,,1,,2,,,,,,,3,"COMMUNAL LAND",2,,,,,2,,,,,,,,,,,,,,2,2,2,2,,,,"N1",,,,2,55,,650000,1,,,,,,,,,,,2,,,,,,,2,,1,1,2,,,,,,
