"zone","state","lga","sector","ea","hhid","source_cd","source_desc","sa5bq1","sa5bq2a","sa5bq2b","sa5bq2c","sa5bq2d","sa5bq3","sa5bq4","sa5bq5","sa5bq6","sa5bq7","sa5bq8","sa5bq9"
1,23,2316,1,140,230106,12,"Electronic Media (TV","X",1,2,,,,,,,,,
1,23,2303,2,2348,230112,11,"Peer Farmer (Neighbo","X",1,,,,2,0,2,,2,,2
1,23,2303,2,2348,230116,12,"Electronic Media (TV","X",1,,,,,,,,,,
1,23,2303,2,2348,230118,12,"Electronic Media (TV","X",1,2,6,,,,,,,,
1,23,2303,2,2348,230120,12,"Electronic Media (TV","X",1,,,,,,,,,,
6,24,2407,2,396,240161,4,"NGO","X",1,,,,0,,1,,2,,1
1,25,2508,1,2788,250008,11,"Peer Farmer (Neighbo","X",5,,,,2,0,2,,2,,1
1,25,2508,1,2788,250008,12,"Electronic Media (TV","X",5,,,,,,,,,,
1,25,2504,2,0,250013,11,"Peer Farmer (Neighbo","X",1,2,,,4,3,4,,2,,1
1,25,2504,2,0,250013,12,"Electronic Media (TV","X",1,2,,,,,,,,,
1,25,2504,2,0,250013,13,"Paper Media (Handout","X",1,2,,,,,,,,,
1,25,2504,2,222,250015,11,"Peer Farmer (Neighbo","X",1,2,,,20,14,12,,2,,1
1,25,2504,2,222,250016,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
1,25,2504,2,222,250017,11,"Peer Farmer (Neighbo","X",1,,,,20,18,10,,2,,1
1,25,2504,2,222,250018,11,"Peer Farmer (Neighbo","X",1,,,,10,8,6,,2,,1
1,25,2504,2,222,250020,12,"Electronic Media (TV","X",1,,,,,,,,,,
1,25,2509,2,248,250023,11,"Peer Farmer (Neighbo","X",1,,,,0,,1,,2,,1
1,25,2509,2,248,250025,11,"Peer Farmer (Neighbo","X",1,2,6,11,11,7,8,,2,,1
1,25,2509,2,248,250026,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
1,25,2509,2,248,250027,11,"Peer Farmer (Neighbo","X",1,,,,10,6,4,,2,,1
1,25,2509,2,248,250030,11,"Peer Farmer (Neighbo","X",1,,,,1,0,1,,2,,1
1,25,2507,2,814,250034,11,"Peer Farmer (Neighbo","X",1,,,,4,2,2,,2,,1
1,25,2507,2,814,250037,11,"Peer Farmer (Neighbo","X",2,,,,2,0,2,,2,,1
1,25,2507,2,814,250037,12,"Electronic Media (TV","X",2,,,,,,,,,,
1,25,2507,2,814,250038,11,"Peer Farmer (Neighbo","X",1,3,4,8,11,3,6,,2,,2
1,25,2507,2,814,250039,11,"Peer Farmer (Neighbo","X",1,4,,,10,6,4,,2,,1
1,25,2507,2,814,250040,11,"Peer Farmer (Neighbo","X",1,5,6,,1,1,1,,2,,1
1,25,2513,2,128,250042,10,"Lead Farmer","X",1,4,5,,2,1,2,,2,,2
1,25,2513,2,128,250044,11,"Peer Farmer (Neighbo","X",1,2,,,0,,10,,2,,2
1,25,2513,2,128,250046,10,"Lead Farmer","X",1,2,,,4,4,5,,2,,1
1,25,2513,2,128,250046,11,"Peer Farmer (Neighbo","X",1,2,,,6,6,4,,2,,1
1,25,2513,2,128,250048,11,"Peer Farmer (Neighbo","X",3,,,,2,0,2,,2,,2
1,25,2513,2,128,250049,10,"Lead Farmer","X",1,2,,,0,,2,,2,,1
1,25,2513,2,128,250049,11,"Peer Farmer (Neighbo","X",1,2,,,0,,4,,2,,2
1,25,2502,2,728,250054,8,"Village Agricultural","X",1,,,,,,,4,2,,2
1,25,2502,2,728,250056,10,"Lead Farmer","X",1,,,,6,6,4,,2,,1
1,25,2502,2,728,250056,11,"Peer Farmer (Neighbo","X",1,,,,10,10,2,,2,,1
1,25,2502,2,728,250059,8,"Village Agricultural","X",1,,,,,,,4,2,,1
1,25,2502,2,728,250059,10,"Lead Farmer","X",1,,,,5,5,5,,2,,1
1,25,2502,2,728,250059,11,"Peer Farmer (Neighbo","X",1,,,,10,10,9,,2,,1
1,25,2511,2,1424,250062,10,"Lead Farmer","X",1,,,,4,0,0,,2,,1
1,25,2511,2,1424,250062,11,"Peer Farmer (Neighbo","X",1,,,,6,0,0,,2,,1
1,25,2511,2,1424,250062,12,"Electronic Media (TV","X",1,,,,,,,,,,
1,25,2511,2,1424,250063,10,"Lead Farmer","X",1,,,,0,,1,,2,,1
1,25,2511,2,1424,250063,11,"Peer Farmer (Neighbo","X",1,,,,0,,1,,2,,1
1,25,2511,2,1424,250063,12,"Electronic Media (TV","X",1,,,,,,,,,,
3,33,3304,2,0,250069,11,"Peer Farmer (Neighbo","X",1,,,,3,1,2,,2,,1
1,26,2605,2,594,260091,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
1,26,2605,2,594,260093,11,"Peer Farmer (Neighbo","X",1,,,,3,0,3,,2,,1
1,26,2605,2,594,260096,1,"Government Agricultu","X",1,4,,,0,,0,,2,,1
1,26,2605,2,594,260096,11,"Peer Farmer (Neighbo","X",1,,,,3,0,0,,2,,1
1,26,2603,1,1786,260109,11,"Peer Farmer (Neighbo","X",1,,,,2,0,1,,2,,1
1,26,2613,2,2248,260121,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
