"zone","state","lga","sector","ea","group_cd","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
5,3,305,2,1542,308,1,2,2,,18,10,6
5,3,305,2,1542,309,2,,,,,,
5,3,305,2,1542,310,1,1,3,,10,3,2
5,3,305,2,1542,311,1,1,3,,50,18,12
5,3,305,2,1542,312,2,,,,,,
5,3,305,2,1542,313,1,1,2,,30,0,10
5,3,305,2,1542,314,2,,,,,,
5,3,305,2,1542,315,2,,,,,,
5,3,307,1,634,301,2,,,,,,
5,3,307,1,634,302,2,,,,,,
5,3,307,1,634,303,2,,,,,,
5,3,307,1,634,304,2,,,,,,
5,3,307,1,634,305,1,1,2,,68,68,35
5,3,307,1,634,306,1,1,2,,50,15,20
5,3,307,1,634,307,1,2,2,,45,10,12
5,3,307,1,634,308,2,,,,,,
5,3,307,1,634,309,2,,,,,,
5,3,307,1,634,310,1,1,3,,60,20,10
5,3,307,1,634,311,1,1,3,,150,58,36
5,3,307,1,634,312,2,,,,,,
5,3,307,1,634,313,1,1,2,,35,0,5
5,3,307,1,634,314,2,,,,,,
5,3,307,1,634,315,2,,,,,,
5,3,309,2,478,301,2,,,,,,
5,3,309,2,478,302,2,,,,,,
5,3,309,2,478,303,2,,,,,,
5,3,309,2,478,304,2,,,,,,
5,3,309,2,478,305,1,1,2,,80,80,35
5,3,309,2,478,306,1,1,2,,75,25,20
5,3,309,2,478,307,1,3,2,,50,20,15
5,3,309,2,478,308,2,,,,,,
5,3,309,2,478,309,2,,,,,,
5,3,309,2,478,310,2,,,,,,
5,3,309,2,478,311,2,,,,,,
5,3,309,2,478,312,2,,,,,,
5,3,309,2,478,313,2,,,,,,
5,3,309,2,478,314,2,,,,,,
5,3,309,2,478,315,2,,,,,,
5,3,312,2,20,301,2,,,,,,
5,3,312,2,20,302,2,,,,,,
5,3,312,2,20,303,2,,,,,,
5,3,312,2,20,304,2,,,,,,
5,3,312,2,20,305,1,1,2,,58,58,30
5,3,312,2,20,306,1,1,2,,40,15,15
5,3,312,2,20,307,1,2,2,,48,15,20
5,3,312,2,20,308,1,1,2,,20,12,10
5,3,312,2,20,309,2,,,,,,
5,3,312,2,20,310,1,1,3,,12,4,5
5,3,312,2,20,311,1,1,3,,68,25,20
5,3,312,2,20,312,2,,,,,,
5,3,312,2,20,313,2,,,,,,
5,3,312,2,20,314,2,,,,,,
5,3,312,2,20,315,2,,,,,,
5,3,313,2,70,301,1,1,2,,7,2,0
5,3,313,2,70,302,2,,,,,,
5,3,313,2,70,303,1,1,2,,112,50,10
5,3,313,2,70,304,2,,,,,,
5,3,313,2,70,305,1,1,2,,90,90,40
