"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11fc5","s11fq1a","s11fq1b","s11fq2","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq5","s11fq6","s11fq7","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq12a","s11fq12b","s11fq12b_os","s11fq13","s11fq14a","s11fq14b","s11fq14c","s11fq14c_os","s11fq15"
4,1,106,2,880,10029,2,1,,1020,1,55,2,4,4,2015,,,,,,,,,,,,,,,,52,131,,1,,18,131,,18000
4,1,106,2,880,10029,2,2,,1080,1,28,2,4,4,2015,,,,,,,,,,,,,,,,5,132,,1,,4,132,,9000
4,1,106,2,880,10030,1,1,,1080,1,120,3,4,3,2015,,,,,,,,,,,,,,,,8,140,,1,63,5,140,,8000
4,1,106,2,880,10030,1,2,,1020,1,200,1,4,3,2015,,,,,,,,,,,,,,,,6,150,,1,33,2,150,,3500
4,1,106,2,880,10030,2,1,,1020,1,150,1,4,3,2015,,,,,,,,,,,,,,,,5,150,,1,60,3,150,,5000
4,1,106,2,880,10030,2,2,,1120,1,100,3,4,3,2015,,,,,,,,,,,,,,,,48,81,,1,54,26,81,,12000
4,1,106,2,880,10030,2,3,,1090,1,150,1,4,3,2015,,,,,,,,,,,,,,,,24,11,,1,50,12,11,,8000
4,1,106,2,880,10030,3,1,,1020,1,200,1,4,4,2015,,,,,,,,,,,,,,,,12,150,,1,67,8,150,,14500
4,1,111,1,1146,10033,1,1,,1020,1,30,3,4,3,2015,,,,,,,,,,,,,,,,5,130,,2,,,,,
4,1,111,1,1146,10033,1,2,,2170,2,,,,,,20,3,30,1998,0,4,2015,6,2015,2,,,8,161,,7,161,,1,,5,161,,7000
4,1,102,1,1690,10057,1,1,,2120,1,44,3,4,3,2015,,,,,,,,,,,,,,,,2,131,,2,,,,,
4,1,102,1,1690,10057,1,2,,2190,1,10,1,4,3,2015,,,,,,,,,,,,,,,,16,161,,1,,8,161,,2400
4,1,102,1,1690,10057,1,3,,1120,1,54,1,4,4,2015,,,,,,,,,,,,,,,,74,81,,1,,40,81,,10000
4,1,102,1,1690,10057,1,4,,2170,2,,,,,,25,3,25,2008,0,7,2015,7,2015,2,,,3,111,,6,111,,1,,3,111,,3000
4,1,107,2,1044,10061,1,1,,2060,1,1200,1,4,4,2015,,,,,,,,,,,,,,,,6,130,,1,,5,130,,17500
4,1,107,2,1044,10061,1,2,,1080,1,283,3,4,4,2015,,,,,,,,,,,,,,,,8,130,,1,,7,130,,1750
4,1,107,2,1044,10061,1,3,,1020,1,215,1,4,5,2015,,,,,,,,,,,,,,,,10,130,,1,,10,130,,25000
4,1,107,2,1044,10061,1,4,,1090,1,12,1,4,4,2015,,,,,,,,,,,,,,,,4,150,,1,,3,150,,3600
4,1,107,2,1044,10061,1,5,,2260,1,40,1,4,3,2015,,,,,,,,,,,,,,,,5,140,,1,,4,140,,8000
4,1,107,2,1044,10061,2,1,,2140,1,10,1,4,5,2015,,,,,,,,,,,,,,,,4,140,,1,,3,140,,2100
4,1,107,2,1044,10061,2,2,,1120,1,14,1,4,3,2015,,,,,,,,,,,,,,,,62,80,,1,,40,81,,8000
4,1,107,2,1044,10061,2,3,,2120,1,82,3,4,5,2015,,,,,,,,,,,,,,,,10,150,,1,,8,150,,5600
4,1,107,2,1044,10061,2,4,,1124,1,41,1,4,3,2015,,,,,,,,,,,,,,,,63,81,,1,,40,81,,4000
4,1,107,2,1044,10061,2,5,,2190,1,10,1,4,4,2015,,,,,,,,,,,,,,,,45,161,,1,,35,161,,8500
4,1,107,2,1044,10061,2,6,,1020,1,215,1,4,5,2015,,,,,,,,,,,,,,,,12,130,,1,,10,130,,25000
4,1,107,2,1044,10062,1,1,,1020,1,560,1,4,4,2015,,,,,,,,,,,,,,,,14,131,,1,100,14,131,,35000
4,1,107,2,1044,10062,1,2,,2060,1,620,1,4,3,2015,,,,,,,,,,,,,,,,4,130,,1,80,3,130,,4500
4,1,107,2,1044,10062,1,3,,1080,1,370,3,4,4,2015,,,,,,,,,,,,,,,,18,130,,1,100,18,130,,27000
4,1,107,2,1044,10062,1,4,,2193,1,150,1,4,3,2015,,,,,,,,,,,,,,,,52,161,,1,90,42,161,,14700
4,1,107,2,1044,10062,2,1,,1020,1,400,1,4,3,2015,,,,,,,,,,,,,,,,10,131,,2,,,,,
4,1,107,2,1044,10062,2,2,,1080,1,200,3,4,3,2015,,,,,,,,,,,,,,,,8,130,,1,100,8,130,,20000
4,1,107,2,1044,10062,3,1,,1020,1,200,1,4,5,2015,,,,,,,,,,,,,,,,7,131,,1,100,7,131,,14000
4,1,107,2,1044,10062,3,2,,1080,1,150,3,4,4,2015,,,,,,,,,,,,,,,,6,130,,1,50,3,130,,3600
4,1,107,2,1044,10062,3,3,,2193,1,100,1,4,3,2015,,,,,,,,,,,,,,,,24,161,,1,50,12,161,,3000
4,1,107,2,1044,10062,3,4,,2170,2,,,,,,15,1,15,,0,4,2015,6,2015,2,,,14,111,,16,111,,1,50,8,111,,10000
4,1,107,2,1044,10062,3,5,,3180,2,,,,,,20,1,20,,0,4,2015,7,2015,2,,,80,101,,100,101,,1,50,50,101,,20000
4,1,107,2,1044,10063,1,1,,1080,1,150,3,4,3,2015,,,,,,,,,,,,,,,,3,140,,1,,2,140,,6000
4,1,107,2,1044,10063,1,2,,1020,1,260,1,4,4,2015,,,,,,,,,,,,,,,,4,130,,1,,3,130,,8000
4,1,107,2,1044,10063,2,1,,1120,1,100,3,4,3,2015,,,,,,,,,,,,,,,,3,151,,1,,3,151,,13000
4,1,107,2,1044,10063,3,1,,1020,1,200,1,4,4,2015,,,,,,,,,,,,,,,,5,140,,1,,3,140,,9000
4,1,107,2,1044,10063,3,2,,1080,1,100,3,4,3,2015,,,,,,,,,,,,,,,,4,140,,1,,3,140,,8000
4,1,107,2,1044,10063,4,1,,1120,1,80,1,4,3,2015,,,,,,,,,,,,,,,,5,151,,1,,4,151,,18000
4,1,107,2,1044,10063,4,2,,1080,1,50,3,4,3,2015,,,,,,,,,,,,,,,,6,130,,1,,4,130,,10000
4,1,107,2,1044,10063,4,3,,3180,2,,,,,,50,1,50,,0,2,2015,5,2015,2,,,100,101,,140,101,,1,,80,101,,25000
4,1,107,2,1044,10063,4,4,,2170,2,,,,,,40,1,40,,0,3,2015,5,2015,2,,,10,111,,15,111,,1,,9,111,,12000
4,1,107,2,1044,10064,1,1,,1020,1,500,3,4,4,2015,,,,,,,,,,,,,,,,37,131,,1,,15,131,,15000
4,1,107,2,1044,10064,1,2,,1080,1,470,3,4,4,2015,,,,,,,,,,,,,,,,6,131,,1,,4,131,,4800
4,1,107,2,1044,10064,1,3,,1090,1,128,3,4,4,2015,,,,,,,,,,,,,,,,80,13,,1,,50,13,,6000
4,1,107,2,1044,10064,1,4,,3180,2,,,,,,51,3,51,1975,0,2,2015,8,2015,2,,,8,101,,69,101,,1,,40,101,,12000
4,1,107,2,1044,10064,1,5,,1120,1,76,3,4,4,2015,,,,,,,,,,,,,,,,100,81,,1,,38,81,,11400
4,1,107,2,1044,10064,2,1,,1020,1,1340,3,1,4,2014,,,,,,,,,,,,,,,,50,131,,1,,29,131,,29000
4,1,102,1,0,10065,1,1,,1020,1,400,1,4,4,2015,,,,,,,,,,,,,,,,7,131,,1,,4,131,,6000
4,1,102,1,0,10065,1,2,,2190,1,100,1,4,4,2015,,,,,,,,,,,,,,,,10,160,,1,,5,160,,1000
4,1,102,1,0,10065,1,3,,1080,1,150,3,4,4,2015,,,,,,,,,,,,,,,,5,140,,1,,3,140,,3000
4,1,102,1,0,10065,2,1,,1020,1,300,1,4,6,2015,,,,,,,,,,,,,,,,6,131,,1,,3,131,,4500
4,1,102,1,0,10065,2,2,,2140,1,100,1,4,6,2015,,,,,,,,,,,,,,,,3,150,,1,,2,150,,2000
4,1,102,1,0,10065,3,1,,2190,1,80,1,4,6,2015,,,,,,,,,,,,,,,,12,160,,1,,5,160,,1000
4,1,102,1,0,10065,3,2,,1020,1,300,1,4,6,2015,,,,,,,,,,,,,,,,10,131,,1,,5,131,,7500
4,1,107,2,1044,10066,1,1,,1020,1,900,1,4,3,2015,,,,,,,,,,,,,,,,25,130,,1,32,8,130,,8000
4,1,107,2,1044,10066,1,2,,1080,1,50,3,4,2,2015,,,,,,,,,,,,,,,,20,140,,1,25,5,140,,3500
4,1,107,2,1044,10066,2,1,,2170,2,,,,,,40,3,,2014,25,11,2014,4,2015,2,,,28,110,,100,102,,1,90,90,102,,90000
4,1,107,2,1044,10066,3,1,,1020,1,800,1,4,3,2015,,,,,,,,,,,,,,,,20,130,,1,25,5,130,,5000
4,1,107,2,1044,10066,3,2,,1080,1,100,1,4,4,2015,,,,,,,,,,,,,,,,15,140,,2,,,,,
4,1,107,2,1044,10066,4,1,,1020,1,800,1,4,3,2015,,,,,,,,,,,,,,,,20,130,,2,,,,,
4,1,107,2,1044,10066,4,2,,2060,1,1000,1,4,4,2015,,,,,,,,,,,,,,,,15,131,,1,100,15,130,,15000
4,1,107,2,1044,10066,5,1,,1020,1,900,1,4,3,2015,,,,,,,,,,,,,,,,18,130,,2,,,,,
4,1,107,2,1044,10066,5,2,,3180,2,,,,,,30,3,30,1985,0,4,2015,12,2015,2,,,1,14,,2,14,,1,50,1,14,,4000
4,1,107,2,1044,10067,1,1,,1020,1,800,1,4,3,2015,,,,,,,,,,,,,,,,20,131,,1,,5,131,,5000
4,1,107,2,1044,10067,1,2,,1080,1,300,3,4,3,2015,,,,,,,,,,,,,,,,10,140,,1,,3,140,,2100
4,1,107,2,1044,10067,2,1,,1020,1,900,1,4,3,2015,,,,,,,,,,,,,,,,12,131,,1,,2,131,,2000
4,1,107,2,1044,10067,2,2,,2190,1,200,1,4,3,2015,,,,,,,,,,,,,,,,20,161,,2,,,,,
4,1,107,2,1044,10067,3,1,,1020,1,700,1,4,3,2015,,,,,,,,,,,,,,,,20,131,,1,,5,131,,5000
4,1,107,2,1044,10067,3,2,,1080,1,100,3,4,3,2015,,,,,,,,,,,,,,,,10,140,,1,,5,140,,3500
4,1,107,2,1044,10067,3,3,,3180,2,,,,,,40,3,,1995,0,3,2015,12,2015,2,,,2,191,,3,191,,1,,1,191,,5000
4,1,107,2,1044,10068,1,1,,1020,1,1000,1,4,3,2015,,,,,,,,,,,,,,,,25,131,,1,,5,131,,5000
4,1,107,2,1044,10068,1,2,,1080,1,800,3,4,3,2015,,,,,,,,,,,,,,,,15,141,,1,,5,141,,3500
4,1,107,2,1044,10068,2,1,,1020,1,1900,1,4,3,2015,,,,,,,,,,,,,,,,40,131,,1,,10,131,,10000
4,1,107,2,1044,10068,2,2,,1080,1,700,3,4,3,2015,,,,,,,,,,,,,,,,20,141,,1,,5,141,,3500
4,1,107,2,1044,10068,3,1,,1020,1,1200,1,4,3,2015,,,,,,,,,,,,,,,,35,131,,1,,15,131,,15000
4,1,107,2,1044,10068,3,2,,1080,1,900,3,4,3,2015,,,,,,,,,,,,,,,,20,141,,1,,10,141,,5000
4,1,107,2,1044,10068,3,3,,3180,2,,,,,,35,3,,1995,0,4,2015,12,2015,2,,,20,3,,40,3,,1,,10,3,,2000
4,1,107,2,1044,10069,1,1,,1020,1,800,3,4,4,2015,,,,,,,,,,,,,,,,48,132,,1,,18,132,,18000
4,1,107,2,1044,10069,1,2,,1080,1,368,3,4,4,2015,,,,,,,,,,,,,,,,9,131,,1,,6,131,,4800
4,1,107,2,1044,10069,1,3,,1124,1,50,3,4,4,2015,,,,,,,,,,,,,,,,140,81,,1,,100,81,,5000
4,1,107,2,1044,10069,2,1,,1020,1,1200,3,4,4,2015,,,,,,,,,,,,,,,,60,132,,1,,32,132,,32000
4,1,107,2,1044,10069,2,2,,1090,1,135,3,4,4,2015,,,,,,,,,,,,,,,,2,131,,1,,1.5,131,,7200
4,1,107,2,0,10070,1,1,,1020,1,100,1,4,4,2015,,,,,,,,,,,,,,,,30,130,,1,,15,130,,15000
4,1,107,2,0,10070,2,1,,2060,1,200,1,4,4,2015,,,,,,,,,,,,,,,,4,130,,1,,3,130,,14000
4,1,107,2,0,10070,2,2,,2120,1,50,3,4,4,2015,,,,,,,,,,,,,,,,3,140,,1,,2,140,,3000
4,1,107,2,0,10070,3,1,,2170,2,,,,,,17,3,17,2010,17,9,2015,12,2015,2,,,10,111,,15,111,,1,,5,111,,5000
4,1,107,2,0,10070,3,2,,1020,1,150,1,4,4,2015,,,,,,,,,,,,,,,,25,130,,1,,15,130,,15000
4,1,107,2,0,10070,3,3,,1080,1,180,3,4,4,2015,,,,,,,,,,,,,,,,15,140,,1,,10,140,,5000
4,1,117,2,560,10071,1,1,,1020,1,150,1,1,3,2015,,,,,,,,,,,,,,,,10,131,,1,,5,131,,7500
4,1,117,2,560,10071,1,2,,1120,1,40,1,1,3,2015,,,,,,,,,,,,,,,,5,140,,1,,2,140,,4000
4,1,117,2,560,10071,1,3,,1040,1,35,1,1,3,2015,,,,,,,,,,,,,,,,6,140,,1,,2,140,,1500
4,1,117,2,560,10071,2,1,,1020,1,250,1,1,3,2015,,,,,,,,,,,,,,,,7,131,,1,,3,131,,4500
4,1,117,2,560,10071,2,2,,2193,1,15,1,1,3,2015,,,,,,,,,,,,,,,,4,140,,1,,1,140,,1500
4,1,117,2,560,10071,2,3,,2170,2,,,,,,20,3,20,,0,4,2015,7,2015,2,,,8,101,,11,111,,1,,7,111,,8000
4,1,117,2,560,10071,2,4,,3180,2,,,,,,25,3,25,,0,4,2015,6,2015,2,,,5,192,,7,192,,1,,5,192,,18000
4,1,117,2,560,10072,1,1,,1020,1,900,1,4,4,2015,,,,,,,,,,,,,,,,30,131,,2,,,,,
4,1,117,2,560,10072,1,2,,1080,1,700,3,4,4,2015,,,,,,,,,,,,,,,,12,140,,1,10,6,14,,6000
4,1,117,2,560,10073,1,1,,1020,1,308,3,1,4,2014,,,,,,,,,,,,,,,,28,132,,1,,10,132,,13200
4,1,117,2,560,10073,2,1,,1020,1,500,3,4,4,2015,,,,,,,,,,,,,,,,34,132,,1,,18,132,,18000
4,1,117,2,560,10073,2,2,,1120,1,73,3,4,4,2015,,,,,,,,,,,,,,,,120,81,,1,,40,81,,8000
4,1,117,2,560,10073,2,3,,2190,1,93,3,4,4,2015,,,,,,,,,,,,,,,,50,161,,1,,38,161,,5700
4,1,117,2,560,10074,1,1,,1080,1,300,3,4,4,2015,,,,,,,,,,,,,,,,10,131,,1,,7,131,,7000
4,1,117,2,560,10074,1,2,,1020,1,290,3,4,4,2015,,,,,,,,,,,,,,,,26,151,,1,,10,151,,12000
4,1,117,2,560,10074,1,3,,1120,1,100,3,4,4,2015,,,,,,,,,,,,,,,,150,81,,1,,80,81,,12000
4,1,117,2,560,10074,2,1,,1020,1,263,3,4,4,2015,,,,,,,,,,,,,,,,15,151,,1,,8,151,,9600
4,1,117,2,560,10074,2,2,,2190,1,23,1,4,4,2015,,,,,,,,,,,,,,,,30,160,,1,,20,160,,2000
