"zone","state","lga","sector","ea","hhid","network_cd","sa10q2","sa10q2b","sa10q3"
2,2,218,2,1592,20119,"N01",12,,5
2,2,218,2,1592,20119,"N02",13,,4
2,2,218,2,1592,20119,"N03",10,,3
2,2,218,2,1592,20120,"N01",2,,1
5,3,331,1,2322,30002,"N01",1,,3
5,3,331,1,516,30011,"N01",1,,3
5,3,331,1,516,30011,"N02",6,,1
5,3,331,1,516,30011,"N03",6,,1
5,3,331,1,516,30011,"N04",12,,5
5,3,331,1,516,30011,"N05",12,,5
5,3,331,1,516,30012,"N01",31,"FARM GATE BUYER",3
5,3,331,1,516,30020,"N01",1,,1
5,3,331,1,516,30020,"N02",1,,1
5,3,331,1,516,30020,"N03",12,,2
5,3,331,1,516,30020,"N04",12,,2
5,3,331,1,516,30020,"N05",6,,1
5,3,316,2,874,30021,"N01",12,,2
5,3,316,2,874,30022,"N01",12,,5
5,3,316,2,874,30022,"N02",2,,1
5,3,316,2,874,30026,"N01",12,,3
5,3,309,2,478,30035,"N01",9,,2
5,3,309,2,478,30036,"N01",2,,2
5,3,309,2,478,30036,"N02",9,,2
5,3,309,2,478,30039,"N01",10,,2
5,3,309,2,478,30040,"N01",1,,3
5,3,307,1,634,30043,"N01",15,,4
5,3,307,1,634,30045,"N01",12,,3
5,3,307,1,634,30047,"N01",9,,1
5,3,307,1,634,30048,"N01",12,,2
5,3,321,2,364,30051,"N01",31,"student",2
5,3,321,2,364,30051,"N02",12,,2
5,3,321,2,364,30051,"N03",6,,2
5,3,321,2,364,30052,"N01",1,,1
5,3,321,2,364,30056,"N01",9,,1
5,3,321,2,364,30056,"N02",9,,2
5,3,321,2,364,30058,"N01",1,,1
5,3,321,2,364,30058,"N02",1,,1
5,3,321,2,364,30058,"N03",12,,2
5,3,321,2,364,30058,"N04",12,,2
5,3,329,2,696,30062,"N01",2,,1
5,3,329,2,696,30066,"N01",1,,1
5,3,329,2,696,30069,"N01",1,,1
5,3,329,2,696,30069,"N02",1,,1
5,3,329,2,696,30069,"N03",1,,1
5,3,329,2,696,30069,"N04",1,,1
5,3,329,2,696,30069,"N05",6,,1
5,3,323,2,580,30074,"N01",12,,1
5,3,323,2,580,30075,"N01",9,,2
5,3,323,2,580,30077,"N01",1,,1
5,3,323,2,580,30077,"N02",2,,2
5,3,318,2,1136,30081,"N01",1,,2
5,3,318,2,1136,30081,"N02",1,,1
5,3,318,2,1136,30081,"N03",6,,1
5,3,318,2,1136,30085,"N01",1,,1
5,3,318,2,1136,30086,"N01",9,,1
5,3,318,2,1136,30087,"N01",1,,1
5,3,318,2,1136,30087,"N02",1,,1
5,3,318,2,1136,30087,"N03",2,,1
5,3,318,2,1136,30090,"N01",7,,1
5,3,313,2,70,30098,"N01",9,,1
5,3,313,2,70,30098,"N02",9,,1
5,3,313,2,70,30099,"N01",2,,1
5,3,301,1,1198,30105,"N01",1,,1
5,3,301,1,1198,30105,"N02",15,,3
5,3,326,2,74,30111,"N01",1,,1
5,3,326,2,74,30113,"N01",2,,2
5,3,326,2,74,30113,"N02",2,,2
5,3,326,2,74,30116,"N01",9,,3
5,3,326,2,74,30117,"N01",2,,1
5,3,326,2,74,30118,"N01",2,,1
5,3,326,2,74,30119,"N01",2,,1
5,3,326,2,74,30119,"N02",2,,1
5,3,326,2,74,30120,"N01",2,,1
5,3,305,2,1542,30122,"N01",2,,1
5,3,305,2,1542,30123,"N01",1,,1
5,3,305,2,1542,30123,"N02",1,,1
5,3,305,2,1542,30125,"N01",2,,1
5,3,312,2,20,30131,"N01",9,,3
5,3,305,2,4,30146,"N01",1,,1
5,3,305,2,4,30148,"N01",2,,1
5,3,305,2,4,30149,"N01",12,,4
5,3,305,2,4,30149,"N02",6,,1
4,4,414,1,2176,40033,"N01",31,"POUTRY FARM",2
4,4,414,1,2176,40033,"N02",9,,1
4,4,414,1,2176,40037,"N01",9,,4
4,4,415,1,2108,40041,"N01",2,,1
4,4,415,1,2108,40041,"N02",9,,3
4,4,415,1,2108,40042,"N01",6,,1
4,4,415,1,2108,40043,"N01",9,,3
4,4,415,1,2108,40043,"N02",9,,3
4,4,415,1,0,40044,"N01",10,,3
4,4,415,1,0,40044,"N02",15,,3
4,4,415,1,2108,40045,"N01",9,,1
4,4,415,1,2108,40046,"N01",10,,3
4,4,415,1,2108,40049,"N01",9,,4
4,4,415,1,2108,40049,"N02",9,,3
4,4,413,2,1540,40052,"N01",9,,5
4,4,413,2,1540,40052,"N02",9,,4
4,4,413,2,1540,40055,"N01",9,,3
4,4,413,2,1540,40056,"N01",9,,1
4,4,413,2,1540,40060,"N01",10,,1
4,4,405,2,722,40064,"N01",12,,6
4,4,405,2,722,40064,"N02",13,,1
4,4,405,2,722,40066,"N01",9,,1
4,4,405,2,722,40067,"N01",6,,1
4,4,405,2,0,40068,"N01",9,,3
4,4,405,2,0,40068,"N02",2,,1
4,4,405,2,0,40068,"N03",9,,3
4,4,405,2,484,40071,"N01",13,,4
4,4,405,2,484,40071,"N02",9,,1
4,4,405,2,484,40072,"N01",9,,2
4,4,405,2,484,40073,"N01",9,,2
4,4,405,2,484,40074,"N01",9,,2
4,4,405,2,484,40075,"N01",9,,2
4,4,405,2,484,40076,"N01",13,,4
4,4,405,2,484,40076,"N02",9,,1
4,4,405,2,484,40077,"N01",12,,4
4,4,405,2,484,40078,"N01",12,,5
4,4,405,2,484,40080,"N01",8,,3
4,4,405,2,484,40080,"N02",8,,3
4,4,419,2,296,40081,"N01",2,,3
4,4,419,2,296,40081,"N02",9,,3
4,4,419,2,296,40082,"N01",9,,4
4,4,419,2,296,40082,"N02",12,,3
4,4,419,2,296,40085,"N01",9,,1
4,4,419,2,296,40085,"N02",6,,1
4,4,419,2,296,40086,"N01",10,,1
4,4,419,2,296,40089,"N01",9,,2
4,4,401,1,1460,40092,"N01",7,,3
4,4,401,1,1460,40093,"N01",2,,2
4,4,401,1,1460,40093,"N02",12,,3
4,4,401,1,1460,40096,"N01",31,"home product",1
4,4,401,1,1460,40099,"N01",9,,1
4,4,412,2,2592,40101,"N01",12,,5
4,4,412,2,2592,40101,"N02",10,,2
4,4,412,2,2592,40101,"N03",10,,3
4,4,412,2,2592,40101,"N04",2,,1
4,4,412,2,2592,40102,"N01",13,,5
4,4,412,2,2592,40102,"N02",10,,3
4,4,412,2,2592,40102,"N03",12,,5
4,4,412,2,2592,40103,"N01",13,,5
4,4,412,2,2592,40103,"N02",10,,3
4,4,412,2,2592,40103,"N03",2,,2
4,4,412,2,2592,40103,"N04",10,,2
4,4,412,2,2592,40103,"N05",2,,1
4,4,412,2,2592,40103,"N06",12,,5
4,4,412,2,2592,40104,"N01",12,,4
4,4,412,2,2592,40104,"N02",12,,4
4,4,412,2,2592,40104,"N03",2,,2
4,4,412,2,2592,40105,"N01",12,,4
4,4,412,2,2592,40106,"N01",12,,4
4,4,412,2,2592,40106,"N02",13,,4
4,4,412,2,2592,40106,"N03",12,,4
4,4,412,2,2592,40109,"N01",1,,1
4,4,412,2,2592,40109,"N02",2,,1
4,4,412,2,2592,40109,"N03",2,,1
4,4,412,2,2592,40109,"N04",10,,1
4,4,412,2,2592,40110,"N01",12,,4
4,4,412,2,1606,40111,"N01",12,,5
4,4,412,2,1606,40111,"N02",10,,3
4,4,412,2,1606,40111,"N03",2,,1
4,4,412,2,1606,40111,"N04",1,,1
4,4,412,2,1606,40112,"N01",12,,5
4,4,412,2,1606,40112,"N02",10,,3
4,4,412,2,1606,40113,"N01",9,,4
4,4,412,2,1606,40114,"N01",9,,4
4,4,412,2,1606,40117,"N01",9,,3
4,4,412,2,1606,40117,"N02",9,,3
4,4,412,2,1606,40118,"N01",9,,3
4,4,412,2,1606,40120,"N01",2,,1
4,4,412,2,1606,40120,"N02",1,,1
4,4,412,2,1606,40120,"N03",8,,2
4,4,412,2,1606,40120,"N04",10,,3
4,4,410,2,4036,40124,"N01",9,,1
4,4,410,2,4036,40125,"N01",10,,3
4,4,410,2,4036,40125,"N02",1,,1
4,4,410,2,4036,40125,"N03",10,,4
4,4,410,2,4036,40126,"N01",10,,4
4,4,410,2,4036,40128,"N01",9,,3
4,4,410,2,4036,40129,"N01",9,,3
4,4,410,2,4036,40130,"N01",9,,3
4,4,407,2,796,40131,"N01",9,,1
4,4,407,2,796,40131,"N02",17,,2
4,4,407,2,796,40133,"N01",9,,1
4,4,407,2,796,40133,"N02",17,,2
4,4,407,2,796,40134,"N01",10,,1
4,4,407,2,796,40134,"N02",12,,4
4,4,407,2,796,40134,"N03",13,,4
4,4,407,2,796,40135,"N01",2,,5
4,4,407,2,796,40135,"N02",13,,4
4,4,407,2,796,40135,"N03",10,,1
4,4,407,2,796,40136,"N01",12,,4
4,4,407,2,796,40136,"N02",15,,2
4,4,407,2,796,40136,"N03",13,,4
4,4,407,2,796,40137,"N01",9,,4
4,4,407,2,796,40137,"N02",9,,3
4,4,407,2,796,40137,"N03",2,,8
4,4,407,2,796,40138,"N01",13,,1
4,4,407,2,796,40138,"N02",13,,1
4,4,407,2,796,40138,"N03",13,,1
4,4,407,2,796,40140,"N01",9,,3
4,4,407,2,796,40140,"N02",9,,3
4,4,407,2,796,40140,"N03",9,,3
4,4,410,1,3192,40141,"N01",9,,3
4,4,410,1,3192,40141,"N02",9,,3
4,4,410,1,3192,40144,"N01",9,,1
4,4,410,1,3192,40144,"N02",9,,1
4,4,410,1,3192,40147,"N01",9,,3
4,4,410,1,3192,40147,"N02",1,,3
4,4,410,1,3192,40148,"N01",9,,4
4,4,410,1,3192,40148,"N02",9,,4
4,4,410,1,3414,40151,"N01",9,,3
4,4,410,1,3414,40151,"N02",9,,3
4,4,410,1,3414,40152,"N01",9,,2
4,4,410,1,3414,40153,"N01",9,,2
4,4,410,1,3414,40154,"N01",2,,2
4,4,410,1,0,40155,"N01",9,,1
4,4,410,1,3414,40157,"N01",9,,1
4,4,410,1,3414,40158,"N01",9,,2
4,4,410,1,3414,40158,"N02",9,,4
4,4,410,1,3414,40159,"N01",9,,3
4,4,410,1,3414,40159,"N02",9,,3
4,4,410,1,3414,40159,"N03",9,,3
4,4,410,1,3414,40159,"N04",9,,3
4,4,410,1,3414,40159,"N05",9,,3
4,4,401,1,738,40162,"N01",9,,3
4,4,401,1,738,40162,"N02",9,,3
4,4,401,1,738,40164,"N01",9,,2
4,4,401,1,738,40164,"N02",9,,2
4,4,401,1,738,40169,"N01",9,,2
4,4,401,1,738,40170,"N01",9,,2
4,4,401,1,738,40170,"N02",31,"home product",1
4,4,421,1,0,40173,"N01",9,,1
4,4,421,1,0,40173,"N02",10,,1
4,4,421,1,800,40174,"N01",9,,1
4,4,421,1,0,40176,"N01",9,,3
4,4,421,1,0,40176,"N02",9,,3
4,4,421,1,800,40178,"N01",9,,2
