"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7a_os","s9q7b","s9q7b_os","s9q7c","s9q7c_os"
2,2,205,2,712,20101,1,3,2,1,2,0,1,2,1,2,2,1,,,,1,1,,,2,,,1,,4,,,
2,2,205,2,712,20102,3,3,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20103,2,2,2,2,1,0,1,1,1,2,2,1,,,,1,7,,,8,,,4,,,,,
2,2,205,2,712,20104,1,2,1,2,3,1,2,1,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20105,2,3,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20106,3,4,2,0,1,2,3,0,1,3,3,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20107,6,6,3,0,0,0,0,0,0,2,3,1,,,,1,8,9,,8,9,,4,,5,,9,
2,2,205,2,712,20108,7,7,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,8,,,4,,5,,,
2,2,205,2,712,20109,0,2,0,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,205,2,712,20110,2,2,2,2,1,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20111,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20112,2,1,2,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20113,0,2,1,2,1,2,1,3,2,2,2,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20114,2,1,2,1,2,0,1,1,2,3,3,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20115,7,4,0,0,0,4,2,2,2,3,3,1,,,,1,8,,,,,,4,,5,,9,
2,2,218,2,1592,20116,2,2,2,2,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20117,3,1,2,1,2,1,0,1,2,2,2,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20118,2,2,2,2,1,0,2,1,1,2,2,1,,,,1,7,,,8,,,4,,,,,
2,2,218,2,1592,20119,2,2,1,2,0,1,2,0,1,2,2,1,,,,2,,,,,,,,,,,,
2,2,218,2,1592,20120,2,2,2,1,0,0,2,0,0,2,2,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30001,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30002,2,2,2,2,0,2,3,2,1,0,2,1,,,,1,11,,,1,,,3,,5,,,
5,3,331,1,2322,30003,0,0,0,2,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30004,0,2,0,0,0,0,3,0,0,3,0,1,,,,2,,,,,,,,,,,,
5,3,331,1,2322,30005,0,4,4,3,3,3,4,2,0,3,3,1,,,,1,4,,,7,,,1,,,,,
5,3,331,1,2322,30006,3,2,2,7,0,0,0,0,0,2,0,1,,,,1,7,,,7,,,10,"LACK INCOME",,,,
