"zone","state","lga","sector","ea","hhid","indiv","s3dq1a","s3dq1b","s3dq1c","s3dq1d","s3dq1e","s3dq1f","s3dq1g","s3dq1h","s3dq1i","s3dq1j","s3dq1k","s3dq1l","s3dq1m","s3dq1n","s3dq1o","s3dq1p","s3dq1q","s3dq1r","s3dq2a","s3dq2b","s3dq3a","s3dq3b","s3dq4","s3dq5","s3dq6","s3dq6b","s3dq7","s3dq8a","s3dq8b","s3dq9a","s3dq9b","s3dq10","s3dq11","s3dq12","s3dq12b","tracked_obs"
2,2,209,2,1040,20006,1,1,,,12,,,12,,,12,,,12,,,12,,,"HERBAL MEDICINE PRACTITIO",2229,"TRADITIONAL MEDICINE",86,6,40,9,,2,,,,,,,,,0
2,2,209,2,1040,20006,2,8,,,8,,,8,,,8,,,8,,,8,,,"BUYING AND SELLING",3415,"TRADER",47,6,30,9,,2,,,,,,,,,0
2,2,209,2,1040,20006,3,1,,,1,,,1,,,1,,,1,,,1,,,"FARMING",6130,"ANIMAL AND CROP GROWER",1,6,30,9,,2,,,,,,,,,0
2,2,209,2,1040,20006,4,1,,,1,,,1,,,1,,,1,,,1,,,"FARMING",6130,"ANIMAL AND CROP GROWER",1,6,30,9,,2,,,,,,,,,0
2,2,209,2,1040,20006,5,1,,,1,,,1,,,1,,,1,,,1,,,"FARMING",6130,"ANIMAL AND  CROP GROWER",1,6,18,9,,2,,,,,,,,,0
2,2,209,2,1040,20006,6,1,,,1,,,1,,,1,,,1,,,1,,,"FARMING",6130,"ANIMAL AND CROP GROWER",1,6,18,9,,2,,,,,,,,,0
2,2,209,2,1040,20006,7,1,,,1,,,1,,,1,,,1,,,1,,,"FARMING",6130,"ANIMAL AND CROP GROWER",1,6,18,9,,2,,,,,,,,,0
2,2,209,2,1040,20006,8,1,,,1,,,1,,,1,,,1,,,1,,,"FARMING",6130,"ANIMAL AND  CROP GROWER",1,6,18,9,,2,,,,,,,,,0
2,2,209,2,1040,20006,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20006,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20006,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20006,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20006,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
