"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s8q9","s8q10","s8q11","tracked_obs"
2,2,203,2,1224,20048,519,"Grass for thatching roof or ot",1,400,400,0
2,2,203,2,1224,20049,518,"Woodpoles, bamboo",2,,,0
2,2,203,2,1224,20049,519,"Grass for thatching roof or ot",2,,,0
2,2,203,2,1224,20050,518,"Woodpoles, bamboo",2,,,0
2,2,203,2,1224,20050,519,"Grass for thatching roof or ot",2,,,0
2,2,212,2,956,20051,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20051,519,"Grass for thatching roof or ot",2,,,0
2,2,212,2,956,20052,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20052,519,"Grass for thatching roof or ot",2,,,0
2,2,212,2,956,20053,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20053,519,"Grass for thatching roof or ot",2,,,0
2,2,212,2,956,20054,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20054,519,"Grass for thatching roof or ot",1,1000,1000,0
2,2,212,2,956,20055,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20055,519,"Grass for thatching roof or ot",1,1000,500,0
2,2,212,2,956,20056,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20056,519,"Grass for thatching roof or ot",2,,,0
2,2,212,2,956,20057,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20057,519,"Grass for thatching roof or ot",2,,,0
2,2,212,2,956,20058,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20058,519,"Grass for thatching roof or ot",2,,,0
2,2,212,2,956,20059,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20059,519,"Grass for thatching roof or ot",2,,,0
2,2,212,2,956,20060,518,"Woodpoles, bamboo",2,,,0
2,2,212,2,956,20060,519,"Grass for thatching roof or ot",2,,,0
2,2,210,2,1300,20061,518,"Woodpoles, bamboo",2,,,0
2,2,210,2,1300,20061,519,"Grass for thatching roof or ot",2,,,0
2,2,210,2,1300,20062,518,"Woodpoles, bamboo",2,,,0
2,2,210,2,1300,20062,519,"Grass for thatching roof or ot",2,,,0
2,2,210,2,1300,20063,518,"Woodpoles, bamboo",2,,,0
2,2,210,2,1300,20063,519,"Grass for thatching roof or ot",2,,,0
2,2,210,2,1300,20064,518,"Woodpoles, bamboo",2,,,0
2,2,210,2,1300,20064,519,"Grass for thatching roof or ot",2,,,0
2,2,210,2,1300,20065,518,"Woodpoles, bamboo",2,,,0
2,2,210,2,1300,20065,519,"Grass for thatching roof or ot",2,,,0
2,2,210,2,1300,20066,518,"Woodpoles, bamboo",1,2000,2000,0
2,2,210,2,1300,20066,519,"Grass for thatching roof or ot",1,1000,1000,0
2,2,210,2,1300,20067,518,"Woodpoles, bamboo",1,600,600,0
2,2,210,2,1300,20067,519,"Grass for thatching roof or ot",1,3500,3500,0
2,2,210,2,1300,20068,518,"Woodpoles, bamboo",2,,,0
2,2,210,2,1300,20068,519,"Grass for thatching roof or ot",2,,,0
2,2,210,2,1300,20069,518,"Woodpoles, bamboo",2,,,0
2,2,210,2,1300,20069,519,"Grass for thatching roof or ot",2,,,0
2,2,210,2,1300,20070,518,"Woodpoles, bamboo",2,,,0
2,2,210,2,1300,20070,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20071,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20071,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20072,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20072,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20073,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20073,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20074,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20074,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20075,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20075,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20076,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20076,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20077,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20077,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20078,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20078,519,"Grass for thatching roof or ot",2,,,0
2,2,214,1,898,20080,518,"Woodpoles, bamboo",2,,,0
2,2,214,1,898,20080,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20081,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20081,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20082,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20082,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20083,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20083,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20084,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20084,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20085,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20085,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20086,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20086,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20087,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20087,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20088,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20088,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20089,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20089,519,"Grass for thatching roof or ot",2,,,0
2,2,215,1,8,20090,518,"Woodpoles, bamboo",2,,,0
2,2,215,1,8,20090,519,"Grass for thatching roof or ot",2,,,0
2,2,207,2,1302,20091,518,"Woodpoles, bamboo",2,,,0
2,2,207,2,1302,20091,519,"Grass for thatching roof or ot",2,,,0
2,2,207,2,1302,20092,518,"Woodpoles, bamboo",1,1000,1000,0
2,2,207,2,1302,20092,519,"Grass for thatching roof or ot",1,1000,1000,0
2,2,207,2,1302,20093,518,"Woodpoles, bamboo",2,,,0
