"zone","state","lga","sector","ea","hhid","indiv","s3cq1","s3cq2","s3cq3","s3cq4","s3cq5a","s3cq5b","s3cq6a","s3cq6b","s3cq7","s3cq8","s3cq9","s3cq9b","s3cq10","s3cq11a","s3cq11b","s3cq12a","s3cq12b","s3cq13","s3cq14","s3cq15","s3cq15b","tracked_obs"
4,1,117,2,560,10074,3,2,2,1,1,"BUS & TRAIN DRIVERS",8323,"TRANSPORTATION",49,6,84,4,,2,,,,,,,,,0
4,1,117,2,560,10078,1,2,1,2,1,"FARMLAND & LABOURER",9211,"AGRICULTURE",1,6,36,9,,2,,,,,,,,,0
4,1,117,2,560,10078,2,2,1,2,1,"FARMLAND & LABOURER",9211,"AGRICULTURE",1,6,36,9,,2,,,,,,,,,0
4,1,117,2,560,10078,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10078,4,2,1,2,1,"FARMLAND & LABOURE",9211,"AGRICULTURE",1,6,36,9,,2,,,,,,,,,0
4,1,117,2,560,10078,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10078,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10081,1,2,1,2,1,"CROP FARMING",9211,"CROP FARMING",1,6,16,9,,2,,,,,,,,,0
4,1,110,2,76,10081,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10102,1,2,1,2,1,"FARMING",6210,"AGRICULTURE",1,6,6,9,,2,,,,,,,,,0
4,1,108,2,904,10102,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10102,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10110,1,2,1,2,1,"CROPN FARMING",9211,"CROP FARMING",1,5,20,9,,2,,,,,,,,,0
4,1,108,2,904,10110,2,2,1,1,1,"CENTRESS",7433,"CENTRESS",14,6,45,9,,2,,,,,,,,,0
4,1,108,2,904,10110,3,2,1,2,1,"CROP FARMING",9211,"CROP FARMING",1,2,8,10,"UNPAID FAMILY WORKER",2,,,,,,,,,0
4,1,108,2,904,10110,4,2,2,1,1,"CARPENTRY",7437,"CARPENTRY",31,6,30,9,,2,,,,,,,,,0
4,1,108,2,904,10110,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20009,1,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,46,9,,2,,,,,,,,,0
2,2,209,2,1040,20009,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20009,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20009,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20009,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20009,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20009,7,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,40,9,,2,,,,,,,,,0
2,2,209,2,1040,20009,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20010,1,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,24,9,,2,,,,,,,,,0
