"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
2,2,203,2,1224,20049,16,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
2,2,203,2,1224,20050,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20050,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20050,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20051,1,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
2,2,212,2,956,20051,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20051,3,2,1,2,1,"LIVESTOCK PRODUCER",6121,"AGRICULTURE",1,12,63,9,,2,,,,,,,,,0
2,2,212,2,956,20051,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20051,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20051,6,2,1,2,1,"LIVESTOCK PRODUCER",6121,"AGRICULTURE",1,12,63,9,,2,,,,,,,,,0
2,2,212,2,956,20051,7,2,1,2,1,"LIVESTOCK PRODUCER",6121,"AGRICULTURE",1,12,63,9,,2,,,,,,,,,0
2,2,212,2,956,20051,8,2,1,2,1,"LIVESTOCK PRODUCER",6121,"AGRICULTURE",1,12,63,9,,2,,,,,,,,,0
2,2,212,2,956,20051,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20051,10,2,1,2,1,"LIVESTOCK PRODUCER",6121,"AGRICULTURE",1,12,63,9,,2,,,,,,,,,0
2,2,212,2,956,20051,11,2,1,2,1,"LIVESTOCK PRODUCER",6121,"AGRICULTURE",1,12,63,9,,2,,,,,,,,,0
2,2,212,2,956,20051,13,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20051,14,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20052,1,2,1,2,1,"CROP AND ANIMAL PRODUCTIO",1311,"AGRICULTURE",1,9,28,9,,2,,,,,,,,,0
2,2,212,2,956,20052,2,2,1,2,1,"CROP AND ANIMAL PRODUCTIO",1311,"AGRICULTURE",1,7,15,9,,2,,,,,,,,,0
2,2,212,2,956,20052,3,2,1,2,1,"CROP AND ANIMAL PRODUCTIO",1311,"AGRICULTURE",1,5,10,9,,2,,,,,,,,,0
2,2,212,2,956,20052,4,2,1,2,1,"CROP AND ANIMAL PRODUCTIO",1311,"AGRICULTURE",1,4,16,9,,2,,,,,,,,,0
2,2,212,2,956,20052,5,2,1,2,1,"CROP AND ANIMAL PRODUCTIO",1311,"AGRICULTURE",1,4,12,9,,2,,,,,,,,,0
2,2,212,2,956,20052,6,2,1,2,1,"CROP AND ANIMAL PRODUCTIO",1311,"AGRICULTURE",1,3,10,9,,2,,,,,,,,,0
2,2,212,2,956,20052,7,2,1,2,1,"CROP AND ANIMAL PRODUCTIO",1311,"AGRICULTURE",1,2,11,9,,2,,,,,,,,,0
2,2,212,2,956,20053,1,2,1,2,1,"LIVESTOCK",6121,"AGRICULTURE",1,12,38,9,,1,"FARMING",6111,"AGRICULTURE",1,6,18,9,,0
2,2,212,2,956,20053,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20053,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20059,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20059,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20059,3,2,2,1,1,,,"AGRICULTURE",1,6,63,9,,2,,,,,,,,,0
2,2,212,2,956,20059,4,2,2,1,1,,,"AGRICULTURE",1,6,63,9,,2,,,,,,,,,0
2,2,212,2,956,20059,5,2,2,1,1,,,"AGRICULTURE",1,6,63,9,,2,,,,,,,,,0
2,2,212,2,956,20059,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20059,7,2,2,1,1,,,"AGRICULTURE",1,6,63,9,,2,,,,,,,,,0
2,2,212,2,956,20059,8,2,2,1,1,,,"AGRICULTURE",1,6,63,9,,2,,,,,,,,,0
2,2,212,2,956,20059,9,2,2,1,1,,,"AGRICULTURE",1,6,63,9,,2,,,,,,,,,0
2,2,212,2,956,20059,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20059,11,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20068,2,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,36,9,,2,,,,,,,,,0
