"zone","state","lga","sector","ea","hhid","indiv","s3eq1a","s3eq1b","s3eq1c","s3eq1d","s3eq1e","s3eq2a","s3eq2b","s3eq3a","s3eq3b","s3eq4","s3eq5","s3eq6","s3eq6b","s3eq7","s3eq8a","s3eq8b","s3eq9a","s3eq9b","s3eq10","s3eq11","s3eq12","s3eq12b","tracked_obs"
4,1,117,2,560,10079,2,"FARMING",,,,,"FARMING",6210,"AGRICULTURE",1,6,40,9,,2,,,,,,,,,0
4,1,110,2,76,10082,1,"CROP FARMING",,,,,"CROP FARMING",9211,"CROP FARMING",1,2,16,9,,2,,,,,,,,,0
4,1,110,2,76,10084,1,"FARMING",,,,,"FARMLAND & LABOURERS",9211,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
4,1,110,2,76,10084,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10084,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10084,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10086,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10086,2,"FARMING",,,,,"FARMING ( LABOURER )",6210,"AGRICULTURE",1,3,5,4,,2,,,,,,,,,0
4,1,110,2,76,10086,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10087,1,"FARMING",,,,,"FARMING",6210,"AGRICULTURE",1,6,24,9,,2,,,,,,,,,0
4,1,110,2,76,10088,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10088,2,"FARMING",,,,,"FARMING",6210,"AGRICULTURE",1,6,20,9,,2,,,,,,,,,0
4,1,110,2,76,10088,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10088,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10088,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10088,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10088,7,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10089,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10089,2,"CROP FARMING","PETTY TRADING",,,,"CROP FARMING",9211,"AGRICULTURE",1,6,10,9,,1,"PETTY TRADING",3416,"PETTY TRADING",47,6,36,9,,0
4,1,105,2,638,10091,1,"CROP FARMING","CARING 4 LIVESTOCK& CHICK",,,,"CROP FARMING",9211,"AGRICULTURE",1,3,30,9,,2,,,,,,,,,0
4,1,105,2,638,10091,2,"CROP FARMING","------------DO-----------",,,,"CROP FARMING",9211,"AGRICULTURE",1,4,30,9,,2,,,,,,,,,0
4,1,105,2,638,10091,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10091,4,,,,,,,,,,,,,,,,,,,,,,,0
