"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c","s9q7d","tracked_obs"
2,2,216,2,200,20037,0,0,2,3,1,0,0,0,0,2,2,1,,,,1,8,,,9,,,1,2,,,0
2,2,216,2,200,20038,0,2,1,2,1,1,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20039,7,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20040,0,1,2,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20041,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20042,6,0,0,0,0,0,3,0,0,3,2,1,,,,1,5,,,6,,,1,2,,,0
2,2,203,2,1224,20043,1,2,0,0,1,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20044,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20045,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20046,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20047,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,203,2,1224,20048,3,2,0,0,0,0,0,0,0,2,3,1,,,,1,8,9,,8,9,,4,5,,,0
2,2,203,2,1224,20049,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,,,7,,,3,,,,0
2,2,203,2,1224,20050,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20051,7,7,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20052,0,1,2,3,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20053,3,7,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20054,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20055,1,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20056,0,0,0,1,0,1,2,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20057,0,0,0,0,0,0,0,0,0,0,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20058,0,0,0,0,0,0,0,0,0,3,2,1,,,,1,7,,,7,,,1,,,,0
2,2,212,2,956,20059,7,0,0,0,0,0,0,0,0,3,2,1,,,,2,,,,,,,,,,,0
2,2,212,2,956,20060,7,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20061,0,0,0,0,1,0,0,0,1,3,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20062,1,2,0,1,0,1,0,2,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20063,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20064,0,0,0,0,0,1,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20065,7,7,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20066,3,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20067,4,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20068,0,0,0,0,0,0,0,2,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20069,3,7,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,210,2,1300,20070,3,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20071,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20072,0,0,0,0,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20073,5,7,0,3,0,0,0,0,0,3,3,1,,,,1,7,,,7,,,5,9,9,,0
2,2,214,1,898,20074,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20075,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20076,1,0,1,0,2,0,1,0,1,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20077,1,2,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20078,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,214,1,898,20080,0,2,0,1,0,0,0,1,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20081,0,1,0,2,1,0,0,1,2,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20082,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20083,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20084,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20085,2,3,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,9,7,8,9,4,5,9,,0
2,2,215,1,8,20086,2,1,0,2,0,1,1,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20087,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20088,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20089,2,1,0,1,1,1,0,2,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,215,1,8,20090,4,2,2,2,2,0,0,0,0,3,4,1,,,,1,7,8,9,7,8,9,4,5,9,,0
2,2,207,2,1302,20091,4,7,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20092,2,2,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20093,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20094,0,0,0,0,0,0,0,0,0,0,0,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20095,5,5,2,2,2,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20096,0,2,0,1,2,0,0,1,1,2,2,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20097,0,1,2,0,0,0,0,1,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20098,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20099,3,3,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,207,2,1302,20100,7,7,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20101,0,0,0,0,0,0,0,0,0,0,2,1,,,,1,7,,,7,,,1,2,,,0
2,2,205,2,712,20102,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20103,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20104,0,0,0,1,0,0,1,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20105,7,7,0,0,0,7,7,0,0,3,,1,,,,1,9,,,9,,,10,10,10,"TOO OLD TO TAKE CARE",0
2,2,205,2,712,20106,1,0,2,1,0,0,0,1,2,2,2,1,,,,1,2,,,3,,,3,5,,,0
2,2,205,2,712,20107,5,5,2,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20108,4,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,,,8,,,4,,,,0
2,2,205,2,712,20109,7,7,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
2,2,205,2,712,20110,7,7,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20111,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20112,1,0,2,1,0,2,1,1,1,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20113,1,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20114,0,0,0,0,0,0,1,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20115,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,218,2,1592,20116,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
