"zone","state","sector","lga","ea","hhid","plotid","plot_qa_type","dist_household","srtmslp_nga","srtm_nga","twi_nga"
2,2,2,207,1302,20091,2,1,2.04,1.6,505,14
2,2,2,207,1302,20092,2,1,0.09,1.8,494,14
2,2,2,207,1302,20092,3,1,1.7,1.3,490,14
2,2,2,207,1302,20092,1,1,1.56,1.2,492,15
2,2,2,207,1302,20093,2,1,0.23,1.5,494,14
2,2,2,207,1302,20093,1,1,0.14,2,499,14
2,2,2,207,1302,20094,2,1,0.71,2.3,486,14
2,2,2,207,1302,20094,1,1,0.95,1.5,485,14
2,2,2,207,1302,20095,3,1,2.5,1.9,505,15
2,2,2,207,1302,20095,1,1,1.17,0.5,486,16
2,2,2,207,1302,20095,2,1,1.28,1.5,487,13
2,2,2,207,1302,20096,1,1,0.48,2.5,491,14
2,2,2,207,1302,20096,2,1,1.23,1.5,501,14
2,2,2,207,1302,20096,3,1,2.72,1.8,500,13
2,2,2,207,1302,20096,4,1,2.88,0.8,491,20
2,2,2,207,1302,20097,1,1,0.4,3.8,498,13
2,2,2,207,1302,20097,3,1,2.16,1.9,500,14
2,2,2,207,1302,20097,4,1,2.67,1.9,491,15
2,2,2,207,1302,20097,5,1,2.74,1,490,17
2,2,2,207,1302,20097,2,1,1.57,1.4,482,15
2,2,2,207,1302,20098,2,1,0.78,1,486,15
2,2,2,207,1302,20098,1,1,2.78,0.8,479,14
2,2,2,207,1302,20099,1,1,1.03,1.4,500,13
2,2,2,207,1302,20099,2,1,1.09,2.4,488,14
2,2,2,207,1302,20100,4,1,3.18,1.5,494,16
2,2,2,207,1302,20100,3,1,1.99,1.6,501,15
2,2,2,207,1302,20100,1,1,2,1.7,504,14
2,2,2,207,1302,20100,6,1,1.61,1,482,15
2,2,2,207,1302,20100,5,1,1.37,2.1,496,14
2,2,2,207,1302,20100,2,1,3.46,1.7,498,14
2,2,2,207,1302,20100,7,1,1.02,1.5,503,14
2,2,2,205,712,20101,1,1,1.28,12.5,552,12
2,2,2,205,712,20101,2,1,0.19,18.1,571,11
2,2,2,205,712,20102,4,1,0.61,11,542,12
2,2,2,205,712,20102,7,1,2.22,6.9,549,14
2,2,2,205,712,20102,8,1,0.78,7,522,14
2,2,2,205,712,20102,5,1,0.49,3.9,541,13
2,2,2,205,712,20102,1,1,1.3,3.1,497,19
2,2,2,205,712,20102,2,1,1.2,4.1,497,18
2,2,2,205,712,20102,6,1,1.18,5.1,500,17
2,2,2,205,712,20102,3,1,1.34,1.7,498,18
2,2,2,205,712,20103,2,1,3.52,3.7,509,13
2,2,2,205,712,20103,3,1,2.97,6.1,479,12
2,2,2,205,712,20103,1,1,2.7,4.4,488,13
2,2,2,205,712,20104,1,1,3.08,2.1,479,14
2,2,2,205,712,20105,2,1,0.63,17.8,541,12
2,2,2,205,712,20105,1,1,0.03,13,541,12
2,2,2,205,712,20106,2,1,4.05,3.2,501,13
2,2,2,205,712,20106,1,1,2.37,6.1,477,16
2,2,2,205,712,20107,2,1,0.06,5.2,543,12
2,2,2,205,712,20107,1,1,0.49,9.9,545,12
2,2,2,205,712,20108,2,1,0.52,13.9,539,12
2,2,2,205,712,20108,1,1,0.46,5.6,527,13
2,2,2,205,712,20108,3,1,0.22,3.6,531,12
2,2,2,205,712,20108,4,1,0.44,27.6,570,10
2,2,2,205,712,20109,2,1,0.06,2.1,537,14
2,2,2,205,712,20109,1,1,0.02,3.8,537,15
2,2,2,205,712,20110,2,1,5.32,13.9,495,12
2,2,2,205,712,20110,1,1,5.34,12.9,493,12
2,2,2,218,1592,20111,1,1,0.19,1.6,224,14
2,2,2,218,1592,20112,2,1,0.91,2.1,224,17
2,2,2,218,1592,20112,3,1,0.98,0.7,222,22
2,2,2,218,1592,20112,4,1,0.15,1.1,226,15
2,2,2,218,1592,20112,1,1,0.71,1.1,222,22
2,2,2,218,1592,20113,3,1,0.03,1.8,226,14
2,2,2,218,1592,20113,2,1,0.32,1.7,225,14
2,2,2,218,1592,20113,4,1,1.14,1.5,223,14
2,2,2,218,1592,20113,1,1,1.34,1,224,14
2,2,2,218,1592,20114,3,1,4.18,1.3,234,15
2,2,2,218,1592,20114,1,1,0.63,1.4,227,14
2,2,2,218,1592,20114,2,1,0.9,0.2,224,19
2,2,2,218,1592,20115,1,1,0.71,0.9,224,15
2,2,2,218,1592,20115,2,1,0.95,1.2,223,15
2,2,2,218,1592,20116,1,1,0.73,0.8,222,28
2,2,2,218,1592,20116,2,1,0.42,2,224,14
2,2,2,218,1592,20117,1,1,0.36,0.6,224,16
2,2,2,218,1592,20117,4,1,0.12,1.4,228,14
2,2,2,218,1592,20117,3,1,0.57,1.1,224,15
2,2,2,218,1592,20117,2,1,0.3,1.1,225,14
2,2,2,218,1592,20118,1,1,0.48,0.8,225,18
2,2,2,218,1592,20118,3,1,0.77,1.5,225,14
2,2,2,218,1592,20118,2,1,0.92,1.9,225,14
2,2,2,218,1592,20119,1,1,0.93,0.8,222,14
2,2,2,218,1592,20119,2,1,0.19,1.3,225,15
2,2,2,218,1592,20119,3,1,0.3,1.4,224,16
2,2,2,218,1592,20120,2,3,0.35,1.4,225,14
2,2,2,218,1592,20120,1,3,1.29,1.5,224,14
5,3,1,331,2322,30005,1,1,0.01,2,65,16
5,3,1,331,2322,30005,2,1,0.03,1.6,65,16
5,3,2,316,874,30021,1,1,0.03,1.2,73,15
5,3,2,316,0,30029,1,1,0.21,0.8,74,22
5,3,2,309,478,30032,4,5,107.64,1,29,15
5,3,2,309,478,30032,3,1,0.16,1.4,62,16
5,3,2,309,478,30032,1,1,0.91,0.8,62,16
5,3,2,309,478,30032,2,1,0.75,1.3,62,14
5,3,2,309,478,30036,1,1,0.64,1,60,15
5,3,2,309,478,30037,3,1,0.25,4.2,63,13
5,3,1,307,634,30043,5,1,0.04,2,42,14
5,3,1,307,634,30043,1,1,0.05,2.5,42,15
5,3,1,307,634,30043,3,1,0.04,2.5,41,15
5,3,1,307,634,30043,4,1,0.03,2.1,42,14
5,3,1,307,634,30043,2,1,0.06,1.9,41,15
5,3,1,307,634,30047,1,1,0.01,1.4,41,15
5,3,1,307,634,30048,1,1,0.01,2.5,41,15
5,3,1,307,634,30049,1,1,0.02,2.5,42,15
5,3,1,307,634,30049,2,1,0.04,2.4,41,15
5,3,2,321,364,30053,1,1,0.01,2,41,14
5,3,2,321,364,30056,6,1,0.07,2.1,43,13
5,3,2,321,364,30057,2,1,0.01,1.7,43,14
5,3,2,321,364,30057,1,1,0.01,1.8,43,14
5,3,2,321,364,30057,3,1,0.04,1.9,43,14
5,3,2,321,364,30058,1,1,0.62,0.4,41,17
5,3,2,321,364,30059,1,1,0.1,1.2,43,14
5,3,2,321,364,30059,3,1,0.07,1.4,43,14
5,3,2,321,364,30059,4,1,0.09,1.4,43,14
5,3,2,321,364,30059,2,1,0.95,0.6,42,15
5,3,2,321,364,30060,1,1,0.68,1.7,40,14
5,3,2,321,364,30060,3,1,0.92,0.8,41,14
5,3,2,321,364,30060,2,1,0.75,1.9,39,15
5,3,2,329,696,30061,1,1,1.49,1.2,49,17
5,3,2,329,696,30062,1,1,1.53,0.8,49,19
5,3,2,329,696,30062,2,1,1.48,1.5,50,14
5,3,2,329,696,30063,1,1,0.4,1.2,49,16
5,3,2,329,696,30068,1,1,1.51,1.4,49,16
5,3,2,329,696,30068,2,1,0.99,0,49,27
5,3,2,329,696,30069,1,2,1.38,1.2,52,14
