"zone","state","lga","sector","ea","hhid","hhno","qno1","qno2","s1q10","s1q11","tracked_obs"
5,3,318,2,1136,30085,20,2,2,3,1,0
5,3,318,2,1136,30086,27,2,2,2,1,0
5,3,318,2,1136,30087,30,2,2,2,1,0
5,3,318,2,1136,30088,33,2,2,2,1,0
5,3,318,2,1136,30090,43,2,2,4,1,0
5,3,313,2,70,30091,2,2,2,2,1,0
5,3,313,2,70,30093,18,2,2,4,1,0
5,3,313,2,70,30094,20,2,2,4,1,0
5,3,313,2,70,30096,25,2,2,3,1,0
5,3,313,2,70,30097,27,2,2,3,1,0
5,3,313,2,70,30098,29,2,2,4,1,0
5,3,313,2,70,30099,31,2,2,2,1,0
5,3,313,2,70,30100,34,2,2,4,1,0
5,3,301,1,1198,30101,17,2,2,2,1,0
5,3,301,1,1198,30102,21,2,2,2,1,0
5,3,301,1,1198,30105,35,2,2,2,1,0
5,3,301,1,1198,30107,44,2,2,4,1,0
5,3,301,1,1198,30108,48,2,2,4,1,0
5,3,301,1,1198,30109,53,2,2,3,1,0
5,3,301,1,1198,30110,57,2,2,4,1,0
5,3,326,2,74,30111,1,2,2,3,1,0
5,3,326,2,74,30113,6,2,2,2,1,0
5,3,326,2,74,30114,10,2,2,2,1,0
5,3,326,2,74,30115,15,2,2,4,1,0
5,3,326,2,74,30116,19,2,2,4,1,0
5,3,326,2,74,30117,21,2,2,4,1,0
5,3,326,2,74,30118,26,2,2,3,1,0
5,3,326,2,74,30119,28,2,2,2,1,0
5,3,326,2,74,30120,30,2,2,2,1,0
5,3,305,2,1542,30121,2,2,2,2,1,0
5,3,305,2,1542,30122,3,2,2,2,1,0
5,3,305,2,1542,30123,5,2,2,2,1,0
5,3,305,2,1542,30125,10,2,2,3,1,0
5,3,305,2,1542,30127,13,2,2,4,1,0
5,3,305,2,1542,30128,14,2,2,4,1,0
5,3,305,2,1542,30130,16,2,2,4,1,0
5,3,312,2,20,30131,1,2,2,3,1,0
5,3,312,2,20,30133,6,2,2,2,1,0
5,3,312,2,20,30134,9,2,2,2,1,0
5,3,312,2,20,30135,14,2,2,2,1,0
5,3,312,2,20,30137,22,2,2,4,1,0
5,3,312,2,20,30138,27,2,2,4,1,0
5,3,312,2,20,30139,30,2,2,3,1,0
5,3,312,2,20,30140,37,2,2,3,1,0
5,3,305,2,4,30141,1,2,2,3,1,0
5,3,305,2,4,30143,3,2,2,4,1,0
5,3,305,2,4,30144,4,1,1,4,1,0
5,3,305,2,4,30145,5,2,2,2,1,0
5,3,305,2,4,30146,6,2,2,3,1,0
5,3,305,2,4,30147,7,2,2,3,1,0
5,3,305,2,4,30148,8,2,2,2,1,0
5,3,305,2,4,30149,9,2,2,2,1,0
4,4,417,1,678,40013,27,2,2,5,2,0
4,4,414,1,2176,40031,1,1,1,3,2,0
4,4,414,1,2176,40033,18,1,1,10,2,0
4,4,414,1,2176,40034,5,1,1,3,2,0
4,4,414,1,2176,40037,8,1,1,10,2,0
4,4,415,1,2108,40042,4,1,1,3,2,0
4,4,415,1,2108,40043,1,1,1,4,2,0
4,4,415,2,0,40044,,2,2,2,1,1
4,4,415,1,2108,40045,9,1,1,3,2,0
4,4,415,1,2108,40047,11,1,1,4,2,0
4,4,415,1,2108,40049,18,1,1,10,2,0
4,4,415,1,2108,40050,21,1,1,10,2,0
4,4,413,2,1540,40051,6,2,2,7,1,0
4,4,413,2,1540,40053,10,2,2,9,1,0
4,4,413,2,1540,40054,4,2,2,9,1,0
4,4,413,2,1540,40055,5,2,2,8,1,0
4,4,413,2,1540,40056,3,2,2,8,1,0
4,4,413,2,1540,40060,9,2,2,5,1,0
4,4,405,2,722,40062,14,2,2,5,1,0
4,4,405,2,722,40063,19,2,2,8,1,0
4,4,405,2,722,40064,12,2,2,8,1,0
4,4,405,2,722,40065,,2,2,7,1,0
4,4,405,2,722,40066,6,2,2,8,1,0
4,4,405,2,722,40067,3,2,2,5,1,0
4,4,405,2,722,40069,5,2,2,9,1,0
4,4,405,2,722,40070,8,2,2,9,1,0
4,4,405,2,484,40071,10,2,2,8,1,0
4,4,405,2,484,40072,8,2,2,7,1,0
4,4,405,2,484,40073,2,2,2,7,1,0
4,4,405,2,484,40074,1,2,2,8,1,0
4,4,405,2,484,40075,7,2,2,7,1,0
4,4,405,2,484,40076,9,2,2,5,1,0
4,4,405,2,484,40077,6,2,2,5,1,0
4,4,405,2,484,40080,3,2,2,9,1,0
4,4,419,2,296,40081,19,2,2,8,1,0
4,4,419,2,296,40082,1,2,2,8,1,0
4,4,419,2,296,40083,21,2,2,9,1,0
4,4,419,2,296,40084,8,2,2,9,1,0
4,4,419,2,296,40085,6,2,2,5,1,0
4,4,419,2,296,40086,12,2,2,5,1,0
4,4,419,2,296,40087,3,2,2,9,1,0
4,4,419,2,296,40088,10,2,2,7,1,0
4,4,419,2,296,40089,15,2,2,8,1,0
4,4,419,2,296,40090,17,2,2,7,1,0
4,4,401,1,1460,40093,12,2,2,8,1,0
4,4,401,1,1460,40094,9,2,2,8,1,0
4,4,401,1,1460,40095,10,2,2,9,1,0
4,4,401,1,1460,40097,5,2,2,7,1,0
4,4,401,1,1460,40099,1,2,2,5,1,0
4,4,412,2,2592,40101,1,1,1,4,2,0
4,4,412,2,2592,40103,3,1,1,4,2,0
4,4,412,2,2592,40104,6,1,1,10,2,0
4,4,412,2,2592,40105,5,1,1,10,2,0
4,4,412,2,2592,40106,4,1,1,10,2,0
4,4,412,2,2592,40107,7,1,1,10,2,0
4,4,412,2,2592,40108,8,1,1,3,2,0
4,4,412,2,2592,40109,10,1,1,3,2,0
4,4,412,2,2592,40110,9,1,1,3,2,0
4,4,412,2,1606,40111,19,1,1,4,2,0
4,4,412,2,1606,40112,3,1,1,4,2,0
4,4,412,2,1606,40113,6,1,1,10,2,0
4,4,412,2,1606,40114,4,1,1,10,2,0
4,4,412,2,1606,40115,7,1,1,10,2,0
4,4,412,2,1606,40116,9,1,1,4,2,0
4,4,412,2,1606,40117,11,1,1,3,2,0
4,4,412,2,1606,40118,12,1,1,3,2,0
4,4,412,2,1606,40120,22,1,1,3,2,0
4,4,410,2,4036,40123,3,1,1,3,2,0
4,4,410,2,4036,40124,15,1,1,3,2,0
4,4,410,2,4036,40125,5,1,1,4,2,0
4,4,410,2,4036,40126,7,1,1,4,2,0
4,4,410,2,4036,40128,8,1,1,10,2,0
4,4,410,2,4036,40129,10,1,1,10,2,0
4,4,410,2,4036,40130,11,1,1,10,2,0
4,4,407,2,796,40131,1,2,2,7,1,0
4,4,407,2,796,40132,4,2,2,7,1,0
4,4,407,2,796,40133,10,2,2,7,1,0
4,4,407,2,796,40134,6,2,2,5,1,0
4,4,407,2,796,40135,7,2,2,5,1,0
4,4,407,2,796,40136,9,2,2,5,1,0
4,4,407,2,796,40137,8,2,2,8,1,0
4,4,407,2,796,40138,3,2,2,9,1,0
4,4,407,2,796,40139,2,2,2,8,1,0
4,4,407,2,796,40140,5,2,2,9,1,0
4,4,410,1,3192,40141,9,2,2,9,1,0
4,4,410,1,3192,40142,10,2,2,9,1,0
4,4,410,1,3192,40144,5,2,2,5,1,0
4,4,410,1,3192,40146,8,2,2,5,1,0
4,4,410,1,3192,40147,2,2,2,8,1,0
4,4,410,1,3192,40148,7,2,2,8,1,0
