"zone","state","lga","sector","ea","hhid","boat_cd","boat_desc","boat_other","sa9bq3","sa9bq4","sa9bq5","sa9bq6","sa9bq7","sa9bq8","sa9bq9","tracked_obs"
5,32,3201,2,2034,320106,2,"Canoe with engine",,0,,,,,,,0
5,32,3201,2,2034,320106,3,"Outboard engine",,0,,,,,,,0
5,32,3201,2,2034,320106,4,"Other Specify 1",,0,,,,,,,0
5,32,3201,2,2034,320106,5,"Other Specify 2",,0,,,,,,,0
5,32,3201,2,2034,320106,6,"Other Specify 3",,0,,,,,,,0
5,32,3216,2,1184,320187,1,"Canoe without engine",,2,100000,2,,,0,15000,0
5,32,3216,2,1184,320187,2,"Canoe with engine",,0,,,,,,,0
5,32,3216,2,1184,320187,3,"Outboard engine",,0,,,,,,,0
5,32,3216,2,1184,320187,4,"Other Specify 1",,0,,,,,,,0
5,32,3216,2,1184,320187,5,"Other Specify 2",,0,,,,,,,0
5,32,3216,2,1184,320187,6,"Other Specify 3",,0,,,,,,,0
5,32,3212,2,314,320194,1,"Canoe without engine",,1,50000,2,,,0,500,0
5,32,3212,2,314,320194,2,"Canoe with engine",,0,,,,,,,0
5,32,3212,2,314,320194,3,"Outboard engine",,0,,,,,,,0
5,32,3212,2,314,320194,4,"Other Specify 1",,0,,,,,,,0
5,32,3212,2,314,320194,5,"Other Specify 2",,0,,,,,,,0
5,32,3212,2,314,320194,6,"Other Specify 3",,0,,,,,,,0
5,32,3207,2,1464,320202,1,"Canoe without engine",,0,,,,,,,0
5,32,3207,2,1464,320202,2,"Canoe with engine",,1,1350000,2,,,200000,2000,0
5,32,3207,2,1464,320202,3,"Outboard engine",,0,,,,,,,0
5,32,3207,2,1464,320202,4,"Other Specify 1",,0,,,,,,,0
5,32,3207,2,1464,320202,5,"Other Specify 2",,0,,,,,,,0
5,32,3207,2,1464,320202,6,"Other Specify 3",,0,,,,,,,0
2,35,3501,1,702,350095,1,"Canoe without engine",,0,,,,,,,0
2,35,3501,1,702,350095,2,"Canoe with engine",,0,,,,,,,0
2,35,3501,1,702,350095,3,"Outboard engine",,0,,,,,,,0
2,35,3501,1,702,350095,4,"Other Specify 1",,0,,,,,,,0
2,35,3501,1,702,350095,5,"Other Specify 2",,0,,,,,,,0
2,35,3501,1,702,350095,6,"Other Specify 3","NETS",1,7000,2,,,0,0,0
2,35,3501,1,702,350095,7,,"CALABASH",1,500,2,,,0,0,0
