"zone","state","lga","sector","ea","hhid","fish_cd","fish_desc","fish_other","sa9aq2","sa9aq3","sa9aq4a1","sa9aq4a2","sa9aq4b1","sa9aq4b2","sa9aq5a","sa9aq5b","sa9aq6","sa9aq7a","sa9aq7b","sa9aq8","sa9aq9","sa9aq10a1","sa9aq10a2","sa9aq10b1","sa9aq10b2","sa9aq11","sa9aq12a1","sa9aq12a2","sa9aq12a3","sa9aq12a4","sa9aq12b1","sa9aq12b2","sa9aq12b3","sa9aq12b4","sa9aq13a","sa9aq13b","sa9aq14","sa9aq15a","sa9aq15b","sa9aq16","sa9aq17","sa9aq18a1","sa9aq18a2","sa9aq18a3","sa9aq18a4","sa9aq18b1","sa9aq18b2","sa9aq18b3","sa9aq18b4","tracked_obs"
2,5,514,2,710,50070,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50070,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50070,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60003,1,"Catfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60003,2,"Tilapia",,1,8,10,3,,,0,,,0,,,0,5,2,,,2,5,2,3,,5,2,1,,0,,,,,,,5,2,3,,5,2,1,,0
5,6,602,2,1356,60003,3,"Carpfish",,1,8,5,2,,,0,,,0,,,0,5,2,,,2,5,2,3,,,,,,0,,,,,,,5,2,3,,,,,,0
5,6,602,2,1356,60003,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60003,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60003,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60003,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60009,1,"Catfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60009,2,"Tilapia",,1,4,12,2,,,0,,,0,,,0,6,2,,,4,6,2,3,,5,2,1,,,,,,,,,6,2,3,,5,2,1,,0
5,6,602,2,1356,60009,3,"Carpfish",,1,4,7,3,,,0,,,0,,,0,4,3,,,4,4,3,3,,,,,,,,,,,,,4,3,3,,,,,,0
5,6,602,2,1356,60009,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60009,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60009,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60009,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60010,1,"Catfish",,1,8,12,4,,,6,4,20000,,,,12,5,4,,,3,1,4,3,,,,,,1,3,18000,,,,1,3,2,3,,,,,,0
5,6,602,2,1356,60010,2,"Tilapia",,1,8,12,4,,,3,4,12000,,,,12,8,4,,,3,1,4,3,,,,,,2,3,10000,,,,1,1,2,3,,,,,,0
5,6,602,2,1356,60010,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60010,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60010,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60010,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60010,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60021,1,"Catfish",,1,5,9,2,0,,0,,,0,,,0,9,2,0,,4,4,2,3,,3,2,3,,0,,0,0,,,0,2,2,3,,2,2,3,,0
5,6,608,1,3978,60021,2,"Tilapia",,1,6,7,2,0,,0,,,0,,,0,8,2,0,,4,3,2,3,,3,2,3,,0,,0,0,,,0,2,2,3,,2,2,3,,0
