"zone","state","lga","sector","ea","hhid","byprod_cd","byprod_desc","byprod_other","sa8q1","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6","sa8q7a","sa8q7b","sa8q8a","sa8q8b","tracked_obs"
4,1,107,2,1044,10070,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10070,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10070,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10070,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,117,2,560,10071,1,"MILK",,2,,,,,,,,,,,,0
4,1,117,2,560,10071,2,"EGGS",,2,,,,,,,,,,,,0
4,1,117,2,560,10071,3,"HONEY",,2,,,,,,,,,,,,0
4,1,117,2,560,10071,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,117,2,560,10071,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,117,2,560,10071,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,117,2,560,10071,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,117,2,560,10071,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,117,2,560,10072,1,"MILK",,2,,,,,,,,,,,,0
4,1,117,2,560,10072,2,"EGGS",,2,,,,,,,,,,,,0
4,1,117,2,560,10072,3,"HONEY",,2,,,,,,,,,,,,0
4,1,117,2,560,10072,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,117,2,560,10072,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,117,2,560,10072,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,117,2,560,10072,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,117,2,560,10072,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,117,2,560,10073,1,"MILK",,2,,,,,,,,,,,,0
4,1,117,2,560,10073,2,"EGGS",,2,,,,,,,,,,,,0
4,1,117,2,560,10073,3,"HONEY",,2,,,,,,,,,,,,0
4,1,117,2,560,10073,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,117,2,560,10073,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,117,2,560,10073,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,117,2,560,10073,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,117,2,560,10073,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,117,2,560,10074,1,"MILK",,2,,,,,,,,,,,,0
4,1,117,2,560,10074,2,"EGGS",,2,,,,,,,,,,,,0
4,1,117,2,560,10074,3,"HONEY",,2,,,,,,,,,,,,0
4,1,117,2,560,10074,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,117,2,560,10074,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,117,2,560,10074,6,"MUSHROOMS",,2,,,,,,,,,,,,0
