"cropname","agcropid","nscode","conversion"
"pepper",2140,62,25
"pepper",2140,63,40
"sweet pepper",2141,11,20
"sweet pepper",2141,12,50
"sweet pepper",2141,13,100
"sweet pepper",2141,14,120
"sweet pepper",2141,21,15
"sweet pepper",2141,22,30
"sweet pepper",2141,23,50
"sweet pepper",2141,24,75
"sweet pepper",2141,31,10
"sweet pepper",2141,32,25
"sweet pepper",2141,33,40
"sweet pepper",2141,34,75
"sweet pepper",2141,61,15
"sweet pepper",2141,62,25
"sweet pepper",2141,63,40
"small pepper",2142,11,20
"small pepper",2142,12,50
"small pepper",2142,13,100
"small pepper",2142,14,120
"small pepper",2142,21,15
"small pepper",2142,22,30
"small pepper",2142,23,50
"small pepper",2142,24,75
"small pepper",2142,31,10
"small pepper",2142,32,25
"small pepper",2142,33,40
"small pepper",2142,34,75
"small pepper",2142,61,15
"small pepper",2142,62,25
"small pepper",2142,63,40
"atare",2143,11,20
"atare",2143,12,50
"atare",2143,13,100
"atare",2143,14,120
"atare",2143,21,15
"atare",2143,22,30
"atare",2143,23,50
"atare",2143,24,75
"atare",2143,31,10
"atare",2143,32,25
"atare",2143,33,40
"atare",2143,34,75
"atare",2143,61,15
"atare",2143,62,25
"atare",2143,63,40
"pigeon pea",2150,11,20
"pigeon pea",2150,12,50
"pigeon pea",2150,13,100
"pigeon pea",2150,14,120
"pigeon pea",2150,21,15
"pigeon pea",2150,22,30
"pigeon pea",2150,23,50
"pigeon pea",2150,24,75
"pigeon pea",2150,31,10
"pigeon pea",2150,32,25
"pigeon pea",2150,33,40
"pigeon pea",2150,34,75
"pigeon pea",2150,61,15
"pigeon pea",2150,62,25
"pigeon pea",2150,63,40
"pineapple",2160,11,20
"pineapple",2160,12,50
"pineapple",2160,13,100
"pineapple",2160,14,120
"pineapple",2160,21,15
"pineapple",2160,22,30
"pineapple",2160,23,50
"pineapple",2160,24,75
"pineapple",2160,31,10
"pineapple",2160,32,25
"pineapple",2160,33,40
"pineapple",2160,34,75
"pineapple",2160,61,15
"pineapple",2160,62,25
"pineapple",2160,63,40
"pineapple",2160,71,60
"pineapple",2160,72,85
"pineapple",2160,73,110
"pineapple",2160,74,150
"pineapple",2160,81,1500
"pineapple",2160,82,2000
"pineapple",2160,83,2500
"plantain",2170,11,20
"plantain",2170,12,50
"plantain",2170,13,100
"plantain",2170,14,120
"plantain",2170,21,15
"plantain",2170,22,30
"plantain",2170,23,50
"plantain",2170,24,75
"plantain",2170,31,10
